ID,SC,DC,EC,IC,LAC,BC,NC
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,55367.555,3,0.006263409,1.9174383,0.6666667,186.17867,1
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,2.9913816,1,2.67E-05,1.2963322,0,0,0
10,15013.029,5,0.003265545,2.281868,2.4,2412.2214,3
11,256.55023,1,0.000424,1.2963322,0,0,0
12,14969.469,2,0.00320015,1.6533737,0,344.61514,0
13,0,0,0,0,0,0,0
14,14772.189,7,0.002359717,2.5214915,1.7142857,10512.006,2
15,12321.175,5,0.002973306,2.281868,0,12064.863,0
16,8.637901,1,5.49E-05,1.2963322,0,0,0
17,163509.75,9,0.010670835,2.6910641,0.8888889,13783.161,1.125
18,6380.338,3,0.002096047,1.9174383,0,8650.0625,0
19,696.4503,2,0.000679,1.6533737,0,733.9006,0
20,15046.819,1,0.003257366,1.2963322,0,0,0
21,1067850.1,10,0.027571999,2.7584841,1.4,1581.898,1.5555556
22,551109.3,12,0.019320894,2.8691468,1.8333334,6966.865,2.6272728
23,99920.836,5,0.00844909,2.281868,0.8,3966.275,1.0833334
24,205099.02,6,0.01184605,2.4128819,0.33333334,19331.682,0.4
25,184749.72,5,0.011428233,2.281868,0,12054.323,0
26,549809.25,10,0.019915158,2.7584841,1.4,9405.522,1.5833334
27,0,0,0,0,0,0,0
28,139.09904,1,0.000236,1.2963322,0,0,0
29,428819,5,0.017461484,2.281868,0.4,4343.974,0.5
30,4565.473,1,0.001490069,1.2963322,0,0,0
31,250.32747,3,0.000417,1.9174383,0,1077.9214,0
32,12419.17,4,0.002988075,2.1206374,0.5,982.7772,0.6666667
33,8817.429,3,0.002502598,1.9174383,0,1104.243,0
34,81367.79,8,0.00753426,2.6129625,0.25,4727.019,0.2857143
35,19.360044,1,0.000107,1.2963322,0,0,0
36,285087.44,3,0.014172304,1.9174383,0.6666667,1734.0178,1
37,518514.56,20,0.019102259,3.1323743,2.9,34683.73,5.953801
38,85.03417,1,0.00024,1.2963322,0,0,0
39,6190.999,1,0.002088915,1.2963322,0,0,0
40,46202.09,4,0.005634411,2.1206374,0,6210.668,0
41,63.15764,1,0.000209,1.2963322,0,0,0
42,17647.494,3,0.003459721,1.9174383,0.6666667,2122.3555,1
43,0,0,0,0,0,0,0
44,267267.47,5,0.013699156,2.281868,1.2,1499.3159,1.5833334
45,838812.5,22,0.02469344,3.173501,0.8181818,58175.68,1.6771709
46,0,0,0,0,0,0,0
47,334491.6,19,0.014901652,3.1091092,8.526316,15726.897,12.265706
48,495.66245,1,0.000593,1.2963322,0,0,0
49,346113.97,14,0.015811699,2.9560783,0.71428573,39922.145,1.8871795
50,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
53,150.24619,3,0.000302,1.9174383,0,998.28815,0
54,0,0,0,0,0,0,0
55,1846.5547,5,0.001127658,2.281868,2,2363.9478,2.75
56,30.246817,1,0.000141,1.2963322,0,0,0
57,8.44887,2,3.77E-05,1.6533737,0,7932,0
58,60219.51,6,0.006443188,2.4128819,0,8558.165,0
59,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0
63,68428.375,3,0.006587801,1.917438,0,5915.187,0
64,98.92245,1,0.000255,1.2963322,0,0,0
65,20100.756,1,0.003677994,1.2963322,0,0,0
66,8418.556,2,0.002412002,1.6533737,0,9472.617,0
67,9814.811,1,0.002546414,1.2963322,0,0,0
68,52.892643,1,0.000112,1.2963322,0,0,0
69,873843.3,9,0.02503128,2.6910641,3.1111112,13004.5625,3.725
70,88384.766,13,0.007964264,2.9150703,2,28683.107,3.0083334
71,222112.39,11,0.012571849,2.8172953,1.0909091,22687.902,1.5
72,9074.776,4,0.002559079,2.1206374,1.5,257.4111,2
73,955097.4,28,0.02624511,3.2666924,0.35714287,82086.79,1.033207
74,336421.78,10,0.015597878,2.7584841,0.2,20534.783,0.25396827
75,732906.56,7,0.022935057,2.5214915,0.85714287,3506.589,1
76,1814.6675,2,0.000913,1.6533737,0,830.3847,0
77,46619.46,26,0.004965789,3.23965,0.84615386,102647.24,1.9533334
78,10994.098,9,0.002180589,2.6910641,0.8888889,14813.3955,1.5833334
79,22788.977,2,0.003914197,1.6533737,0,5134.6084,0
80,89264.266,8,0.007840055,2.6129625,0,18223.879,0
81,12153.096,6,0.001844931,2.4128819,2,391.01044,2.5333333
82,1.541594,1,0,1.2963322,0,0,0
83,59340.027,3,0.006427157,1.917438,0,5533.2666,0
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0
86,17291.982,3,0.003479759,1.917438,0,11072.173,0
87,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0
89,2540.938,1,0.001342368,1.2963322,0,0,0
90,43718.46,3,0.005037846,1.917438,0,4692.9595,0
91,47252.91,2,0.005742907,1.6533737,0,7932,0
92,0,0,0,0,0,0,0
93,1309.2582,1,0.000955,1.2963322,0,0,0
94,1562403.8,16,0.028108982,3.026145,2.75,12479.374,3.2444444
95,43126.26,3,0.005482557,1.917438,0,726.9444,0
96,0,0,0,0,0,0,0
97,9.975336,1,7.42E-05,1.2963322,0,0,0
98,18400000,88,0.1099154,3.5350554,2.6818182,421738.22,17.439484
99,16038.164,6,0.003304453,2.4128819,2,3499.746,2.8
100,90668.664,7,0.007367762,2.5214915,0.2857143,5545.8164,0.33333334
101,174.69583,1,0.000335,1.2963322,0,0,0
102,116261.08,1,0.009003648,1.2963322,0,0,0
103,71.57535,2,0.000221,1.6533737,0,213.78386,0
104,7807.024,2,0.002359444,1.6533737,0,108.74835,0
105,1127803.4,23,0.028600123,3.1918278,1.1304348,41592.297,1.7097763
106,139049.67,3,0.009871638,1.917438,0.6666667,508.5338,1
107,622.07446,1,0.000619,1.2963322,0,0,0
108,0,0,0,0,0,0,0
109,1482.7134,1,0.001000698,1.2963322,0,0,0
110,81.596695,2,0.000237,1.6533737,0,302.89102,0
111,94531.23,3,0.00824887,1.917438,0,1798.7704,0
112,95671.664,12,0.008235758,2.8691468,1.5,21307.281,2.6810606
113,135.07079,1,0.00029,1.2963322,0,0,0
114,251900.84,10,0.013485767,2.7584841,1,7177.42,1.1111112
115,6493370.5,59,0.06818998,3.4684176,2.5762713,252588.39,9.42666
116,0,0,0,0,0,0,0
117,2881.7566,1,0.001431536,1.2963322,0,0,0
118,1265563.1,14,0.030118445,2.9560783,0.42857143,35743.41,1.5576923
119,5660.4146,1,0.001997704,1.2963322,0,0,0
120,8345.174,4,0.002387079,2.1206374,0,8067.2583,0
121,0,0,0,0,0,0,0
122,1810.8439,1,0.001118049,1.2963322,0,0,0
123,24188.658,9,0.004155509,2.6910641,1.5555556,15920.491,2.4583333
124,39791.758,5,0.005355077,2.281868,0,881.7725,0
125,122086.195,6,0.009069097,2.4128819,1.3333334,5763.114,1.7
126,8906.624,8,0.002532636,2.6129625,0,17337.678,0
127,1248859.4,13,0.029979067,2.9150703,1.0769231,12353.663,1.1833333
128,4109.9307,4,0.001291739,2.1206374,0,1167.7031,0
129,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0
132,824.5821,1,0.000762,1.2963322,0,0,0
133,0,0,0,0,0,0,0
134,2377.9746,4,0.001305121,2.1206374,1,575.74994,1.3333334
135,165516.9,8,0.010683455,2.6129625,1,6221.4785,1.5
136,91752.89,7,0.008067266,2.5214915,0.85714287,11859.636,3.5
137,162181.62,20,0.010755982,3.1323743,0.8,69016.805,2.098371
138,72546.19,5,0.007232587,2.281868,0.4,3919.23,0.5
139,6557.9653,4,0.002171197,2.1206374,0,1602.3739,0
140,20100.766,1,0.003677995,1.2963322,0,0,0
141,0,0,0,0,0,0,0
142,971346.44,18,0.026482986,3.083976,0.6666667,28759.104,0.73109245
143,0,0,0,0,0,0,0
144,23088.977,2,0.003950381,1.6533737,0,1166.0157,0
145,5202.757,3,0.001929304,1.917438,0,4306.5254,0
146,12547.816,1,0.002969053,1.2963322,0,0,0
147,10278.2295,3,0.002695289,1.917438,0,1493.2963,0
148,7137.235,1,0.00215901,1.2963322,0,0,0
149,55349.77,5,0.006294216,2.281868,0.4,4577.6426,0.5
150,11602.047,1,0.002736842,1.2963322,0,0,0
151,138.80905,3,0.000299,1.917438,1.3333334,1816.3583,2
152,6158.5767,2,0.002071901,1.6533737,0,695.5113,0
153,1068.6685,2,0.000856,1.6533737,0,652.4113,0
154,11950.558,3,0.002793405,1.917438,0.6666667,151.18481,1
155,0,0,0,0,0,0,0
156,53965.816,5,0.006196499,2.281868,0,2360.9094,0
157,0,0,0,0,0,0,0
158,81907.29,5,0.007683215,2.281868,0.4,1758.584,0.5
159,238.61446,2,0.000401,1.6533737,0,478.25317,0
160,2.3723774,1,2.19E-05,1.2963322,0,0,0
161,0,0,0,0,0,0,0
162,16238.063,6,0.003347883,2.4128819,4.6666665,1.3417097,5.6
163,2939797.8,37,0.045824036,3.3561752,0.7567568,158974.33,1.8182261
164,181.97624,2,0.000346,1.6533737,0,354.3511,0
165,156597.14,6,0.010121906,2.4128819,0.33333334,14099.352,0.4
166,32409.387,4,0.004711771,2.1206374,0,23028.105,0
167,37.14123,1,0.000153,1.2963322,0,0,0
168,2523.3184,1,0.001337215,1.2963322,0,0,0
169,8854.886,3,0.00198009,1.917438,0,610.20435,0
170,168995.11,14,0.010289465,2.9560783,3.4285715,3388.1123,4.377123
171,54349.395,2,0.006149193,1.6533737,0,6293.8706,0
172,2540.938,1,0.001342368,1.2963322,0,0,0
173,327.3548,1,0.000477,1.2963322,0,0,0
174,72.71346,1,0.000221,1.2963322,0,0,0
175,8442431,37,0.07775086,3.3561752,0.8108108,95824.555,2.530808
176,4.129571,1,3.87E-05,1.2963322,0,0,0
177,0,0,0,0,0,0,0
178,17862.223,3,0.003549047,1.917438,0,8153.169,0
179,3976.6426,3,0.001686091,1.917438,0,2126.5203,0
180,74432.97,11,0.007273064,2.8172953,0.36363637,19553.32,1.3
181,235053,9,0.013028079,2.6910641,0.22222222,8233.609,0.25
182,1717617.1,18,0.03461217,3.083976,0.8888889,78198.1,2.204902
183,143078.34,11,0.009949473,2.8172953,0.18181819,11913.541,0.2
184,0,0,0,0,0,0,0
185,3350.6226,1,0.00154085,1.2963322,0,0,0
186,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0
188,64001.266,3,0.006632587,1.917438,0,1126.9694,0
189,58548.99,3,0.006456547,1.917438,0,4176.888,0
190,873.25684,1,0.000786,1.2963322,0,0,0
191,52.20575,1,0.000187,1.2963322,0,0,0
192,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0
195,36432.99,5,0.005136388,2.281868,0,2638.6855,0
196,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0
199,31925.969,3,0.004693796,1.917438,0,15242.999,0
200,0,0,0,0,0,0,0
201,3027062.8,42,0.046596885,3.3909485,0.71428573,146986.9,1.8541267
202,1255012.8,15,0.029928613,2.9929247,0.53333336,17641.36,0.5833333
203,2430396,27,0.041708402,3.2535808,0.22222222,68641.305,0.3834054
204,31300000,86,0.14960362,3.5318027,1.1860465,502024.84,5.140847
205,1.732706,1,7.88E-06,1.2963322,0,0,0
206,63.320564,3,0.000199,1.917438,0,628.61957,0
207,2400.5964,2,0.001293966,1.6533735,0,4010.502,0
208,90026.61,6,0.007981754,2.4128819,0,3972.592,0
209,20214.473,3,0.003780299,1.917438,0.6666667,945.4551,1
210,3673.0469,3,0.001330425,1.917438,0,15905.612,0
211,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0
213,14517.061,3,0.003194689,1.917438,0,8649.354,0
214,47030.48,1,0.005729942,1.2963322,0,0,0
215,25106.838,14,0.003052193,2.9560783,1.5714285,11854.763,2.2717948
216,20.6927,2,0.000109,1.6533735,0,332.9267,0
217,122585.35,2,0.009250439,1.6533735,0,804.6198,0
218,732235.2,7,0.022949414,2.5214915,0,4028.7046,0
219,11602.047,1,0.002736842,1.2963322,0,0,0
220,0,0,0,0,0,0,0
221,2721.1082,2,0.001398164,1.6533735,0,2477.1118,0
222,0,0,0,0,0,0,0
223,7998.308,5,0.002316502,2.281868,0,24586.53,0
224,88097,5,0.007913118,2.281868,0.8,1801.9332,1.0833334
225,8410.477,1,0.002460053,1.2963322,0,0,0
226,111245.75,10,0.008887614,2.7584841,0.8,15843.234,1.4083333
227,1167.137,1,0.000906,1.2963322,0,0,0
228,0,0,0,0,0,0,0
229,6306.5947,1,0.002118567,1.2963322,0,0,0
230,0,0,0,0,0,0,0
231,2447937.8,41,0.041601323,3.3846939,1.902439,128615.914,4.325242
232,0,0,0,0,0,0,0
233,13199.228,4,0.003000198,2.1206374,0.5,3357.292,0.6666667
234,17423.95,8,0.003522797,2.6129625,0,8779.434,0
235,0,0,0,0,0,0,0
236,237803.44,10,0.012597063,2.7584841,0.8,15380.842,0.9206349
237,185006.55,7,0.01135838,2.5214915,3.142857,7295.658,3.9166667
238,3744.327,7,0.001576646,2.5214915,0,24975.42,0
239,782.8467,1,0.000744,1.2963322,0,0,0
240,108.76391,1,0.000265,1.2963322,0,0,0
241,19961.725,5,0.003724979,2.281868,2,2779.1772,2.5
242,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0
244,3.8094287,1,1.60E-05,1.2963322,0,0,0
245,939722.4,20,0.025543207,3.1323743,0.9,91251.88,1.4089805
246,32.8118,1,0.000147,1.2963322,0,0,0
247,0,0,0,0,0,0,0
248,56262.746,4,0.006363897,2.1206374,0,3744.949,0
249,2463.683,1,0.001329315,1.2963322,0,0,0
250,20100.766,1,0.003677995,1.2963322,0,0,0
251,135.18004,3,0.000301,1.917438,0,8082.2817,0
252,0,0,0,0,0,0,0
253,362839.03,18,0.01498204,3.083976,4,16378.656,6.6332254
254,34396.5,2,0.004933754,1.6533735,0,102.36067,0
255,388191.34,22,0.01623781,3.173501,5.5454545,12043.477,10.017868
256,153433.06,3,0.010439831,1.917438,0,460.2713,0
257,73161.06,3,0.007272054,1.917438,0,384.35883,0
258,56949.477,11,0.006102791,2.8172953,0,25786.707,0
259,307611.53,5,0.0148066,2.281868,0,1428.7727,0
260,0,0,0,0,0,0,0
261,46759.05,9,0.005776997,2.6910641,2.8888888,2066.0789,4.4416666
262,241898.86,14,0.013156209,2.9560783,1.2857143,20897.02,2.2748835
263,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0
266,719.4196,5,0.000688,2.281868,1.6,2478.873,2.1666667
267,9406.677,4,0.002579446,2.1206374,0,3642.2166,0
268,2084.9043,1,0.00119116,1.2963322,0,0,0
269,148619.64,6,0.010275917,2.4128819,1.3333334,3255.8447,1.6
270,5.0830708,1,4.66E-05,1.2963322,0,0,0
271,2477.0203,2,0.001333781,1.6533737,0,502.47784,0
