ID,SC,DC,EC,IC,LAC,BC,NC
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,883000000,6,0.008590043,2.5556238,4,128.96938,5.0666666
3,663000000,2,0.007444983,1.7191402,1,0,2
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,7619.258,1,2.52E-05,1.3363919,0,0,0
9,703000000,6,0.007666139,2.5556238,2,5330.116,2.4
10,426000000,2,0.005968227,1.7191402,1,0,2
11,22600000,2,0.001374633,1.7191402,0,152.72469,0
12,547000000,9,0.006762196,2.8698611,0.44444445,3672.0303,0.5
13,54300000,11,0.002017357,3.0138767,2.1818182,5842.0825,2.7472222
14,31500000,6,0.001623438,2.5556238,0,4843.6807,0
15,46400000,3,0.001968381,2.0064645,0,2154.271,0
16,349000000,12,0.005397848,3.0733094,1.1666666,14627.685,1.3
17,249000000,5,0.00456196,2.4091105,0,14412.494,0
18,662875.5,2,0.000235,1.7191402,0,293.734,0
19,72500000,2,0.002461701,1.7191402,0,976.79535,0
20,25600000000,22,0.046239056,3.4251935,2.090909,11490.97,2.239776
21,2670000000,16,0.014933999,3.2541516,2.375,10896.352,3.161111
22,1300000000,9,0.010426785,2.8698611,2,3680.539,2.25
23,589000000,7,0.007008697,2.6777966,0.2857143,14790.447,0.33333334
24,291000000,5,0.004936332,2.4091105,0,5754.3135,0
25,12700000000,25,0.03261385,3.4851153,2.4,17601.842,4.573705
26,5325101.5,4,0.000615,2.230093,0.5,4191.512,0.6666667
27,123076.88,1,9.22E-05,1.3363919,0,0,0
28,1040000000,5,0.009329488,2.4091105,0.8,2536.241,1
29,6073380,1,0.000712,1.3363919,0,0,0
30,5078008.5,3,0.000652,2.0064645,0,1100.5579,0
31,494000000,7,0.006428569,2.6777966,0.85714287,1274.3722,1
32,351000000,4,0.005418437,2.230093,0.5,2565.3284,0.6666667
33,186000000,9,0.00394681,2.8698611,0.22222222,3602.1965,0.25
34,244415.03,2,0.000143,1.7191402,0,468.7597,0
35,579000000,3,0.006957152,2.0064645,0.6666667,829.3134,1
36,1050000000,21,0.009351277,3.4021347,2.857143,28446.775,5.405126
37,193389,2,0.000127,1.7191402,0,10151.872,0
38,69300000,3,0.002406798,2.0064645,0.6666667,710.1892,1
39,100000000,4,0.002890251,2.230093,0,5844.398,0
40,877000000,13,0.008562103,3.1260638,1.2307693,12348.569,1.3333334
41,1040000000,5,0.009323881,2.4091105,1.2,4842.0796,1.5
42,388.57175,1,5.68E-06,1.3363919,0,0,0
43,2590000000,10,0.014706231,2.946667,1.2,6933.95,1.5555556
44,2510000000,24,0.014472619,3.4664247,0.9166667,55796.902,1.82343
45,5695089.5,3,0.000689,2.0064645,0.6666667,1193.8989,1
46,678000000,19,0.007529543,3.35029,8.842105,14047.514,12.018352
47,16400000,2,0.001172097,1.7191402,0,701.3825,0
48,586000000,14,0.007000992,3.1732771,0.71428573,28852.125,1.8205128
