ID,SC,DC,EC,IC,LAC,BC,NC
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,1440000000,6,0.009154956,2.5563796,4.3333335,11.172773,5.2
3,1040000000,2,0.007790577,1.7194839,1,0,2
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,2982.7927,1,1.32E-05,1.3365989,0,0,0
9,462000000,6,0.005183625,2.5563796,2,3349.4138,2.4
10,533000000,2,0.005570046,1.7194839,0,230.68321,0
11,27200000,2,0.001257406,1.7194839,0,156.71786,0
12,990000000,10,0.007591701,2.9476671,0.8,3875.004,0.9166667
13,63800000,11,0.001889296,3.014924,1.8181819,5289.1143,2.488889
14,41900000,5,0.001561365,2.4097784,0,5060.6787,0
15,53500000,3,0.001764861,2.0069263,0,1850.5516,0
16,438000000,12,0.00504872,3.0743933,1.3333334,20478.172,1.4545455
17,106000000,4,0.002481953,2.230668,0,10188.8125,0
18,936588.94,2,0.000233,1.7194839,0,419.33405,0
19,199000000,2,0.003402278,1.7194839,0,1554.1783,0
20,36800000000,22,0.046271503,3.4265487,2.090909,13553.522,2.2016807
21,5030000000,19,0.017110541,3.3515859,2.4210527,12049.62,3.4388888
22,2830000000,10,0.012832405,2.9476671,1.8,4872.439,2
23,814000000,8,0.00687858,2.7820892,0.75,19741.625,0.85714287
24,333000000,4,0.004402695,2.230668,0,6055.496,0
25,24700000000,30,0.037885163,3.563433,2.4666667,21245.238,5.141717
26,6354957.5,5,0.000568,2.4097784,0.8,4284.073,1
27,0,0,0,0,0,0,0
28,1250000000,5,0.008536102,2.4097784,0.8,2091.2173,1
29,0,0,0,0,0,0,0
30,6996441.5,3,0.000638,2.0069263,0,664.3026,0
31,617000000,7,0.005993505,2.678623,0.85714287,1560.6421,1
32,391000000,4,0.004770383,2.230668,0.5,3294.7163,0.6666667
33,190000000,7,0.003326649,2.678623,0.2857143,2237.0518,0.33333334
34,374425.3,2,0.000147,1.7194839,0,205.44211,0
35,966000000,3,0.007497704,2.0069263,0.6666667,1394.7671,1
36,1870000000,22,0.010419306,3.4265487,3.2727273,30728.018,6.0799146
37,0,0,0,0,0,0,0
38,79000000,3,0.002144798,2.0069263,0.6666667,547.6027,1
39,116000000,4,0.002595931,2.230668,0,5567.916,0
40,1060000000,12,0.007838957,3.0743933,1.3333334,11683.418,1.4545455
41,872000000,5,0.007123175,2.4097784,0.4,4961.4927,0.5
42,0,0,0,0,0,0,0
43,1970000000,7,0.010703465,2.678623,0.5714286,4521.7954,0.6666667
44,4000000000,27,0.015248943,3.5200803,1.1111112,64293.766,2.6467032
45,5874008,3,0.000584,2.0069263,0.6666667,1116.242,1
46,1510000000,19,0.00936277,3.3515859,9.263158,13900.848,12.136589
47,21300000,2,0.001113806,1.7194839,0,969.09064,0
48,914000000,15,0.007295191,3.216955,0.6666667,33632.3,1.8095238
49,5896819,1,0.000586,1.3365989,0,0,0
50,0,0,0,0,0,0,0
