ID,SC,DC,EC,IC,LAC,BC,NC
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,1191.9451,2,0.007457919,1.587167,1,0,2
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,1.9741279,1,4.79E-05,1.2553246,0,0,0
9,829.36383,5,0.006264646,2.1575427,2,4397.55,2.5
10,4.7442636,1,0.000362,1.2553246,0,0,0
11,760.2771,2,0.005919949,1.587167,0,485.88583,0
12,0,0,0,0,0,0,0
13,328.93393,7,0.001745893,2.370518,1.7142857,8780.998,2
14,250.51942,4,0.003365073,2.0128706,0,9491.271,0
15,0,0,0,0,0,0,0
16,2738.476,7,0.011385978,2.370518,1.1428572,4305.7856,1.4166666
17,0,0,0,0,0,0,0
18,13.687566,1,0.000572,1.2553246,0,0,0
19,451.35623,1,0.004449872,1.2553246,0,0,0
20,10225.164,6,0.021896258,2.2742836,0.6666667,1218.604,0.8
21,4677.9434,9,0.0147579,2.5197628,1.3333334,9963.96,2.1666667
22,1454.4792,3,0.008256478,1.8289288,0,3463.7793,0
23,485.86942,3,0.004726504,1.8289288,0,5306.5356,0
24,9670.856,4,0.020986054,2.0128706,0,9272.638,0
25,14345.34,10,0.026201567,2.57879,1.4,7777.7827,2.0357144
26,0,0,0,0,0,0,0
27,13.1478405,1,0.0004,1.2553246,0,0,0
28,18723.37,4,0.029743006,2.0128706,0.5,3937.5322,0.6666667
29,0,0,0,0,0,0,0
30,12.481346,1,0.000647,1.2553246,0,0,0
31,36.72045,2,0.001201071,1.587167,1,0,2
32,299.47845,2,0.003754705,1.587167,0,374.44727,0
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,14995.692,3,0.026344314,1.8289288,0.6666667,2178.6572,1
36,4275.2114,16,0.012914116,2.8112023,1.375,31550.799,3.539394
37,5.7650404,1,0.000425,1.2553246,0,0,0
38,0,0,0,0,0,0,0
39,157.96935,3,0.002612747,1.8289288,0,1138.5906,0
40,4.2575126,1,0.000311,1.2553246,0,0,0
41,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
43,15699.552,4,0.026745498,2.0128706,1.5,242.51741,2
44,4668.3564,10,0.014993506,2.57879,0.4,24979.297,0.6666667
45,0,0,0,0,0,0,0
46,6474.5464,12,0.01403181,2.675204,5.6666665,5757.915,6.866414
47,0,0,0,0,0,0,0
48,7409.8906,13,0.018368812,2.7150807,0.7692308,41412.875,2.1
49,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0
54,31.123495,2,0.00100484,1.587167,1,0,2
55,2.753668,1,0.000204,1.2553246,0,0,0
56,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
