,DC
532,5.4
533,1.0
534,6.0
535,6.6
536,21.4
537,7.4
538,1.0
539,1.6
540,3.2
541,0.0
542,0.0
543,4.6
544,7.6
545,1.6
546,0.0
547,0.0
548,2.0
549,3.0
550,1.0
551,3.0
552,3.2
553,1.0
554,47.6
555,1.0
556,1.0
557,5.0
558,2.0
559,2.0
560,3.6
561,1.0
562,1.8
563,0.0
564,5.4
565,5.4
566,1.0
567,2.4
568,9.75
569,3.0
570,7.0
571,3.0
572,0.0
573,11.8
574,2.4
575,3.0
576,25.0
577,1.0
578,5.2
579,13.6
580,1.8
581,3.8
582,3.6
583,1.0
584,3.6
585,5.2
586,1.2
587,3.0
588,1.0
589,2.0
590,0.0
591,4.6
592,12.2
593,5.6
594,0.0
595,23.2
596,7.6
597,8.0
598,6.2
599,1.0
600,3.2
601,8.6
602,26.8
603,12.6
604,1.0
605,34.8
606,3.0
607,0.0
608,0.0
609,0.0
610,1.0
611,1.0
612,1.0
613,1.0
614,29.2
615,20.0
616,20.4
617,8.6
618,1.0
619,0.0
620,0.0
621,1.2
622,2.0
623,20.2
624,30.6
625,2.6
626,1.0
627,0.0
628,1.0
629,42.0
630,1.0
631,1.0
632,7.4
633,1.0
634,5.4
635,2.4
636,0.0
637,2.4
638,1.0
639,27.2
640,12.8
641,0.0
642,1.0
643,1.6
644,2.6
645,14.0
646,0.0
647,0.0
648,1.0
649,3.6
650,4.6
651,0.0
652,1.0
653,7.4
654,0.0
655,9.4
656,4.0
657,0.0
658,1.0
659,3.4
660,5.0
661,1.0
662,2.0
663,0.0
664,0.0
665,21.0
666,3.0
667,4.0
668,1.0
669,0.0
670,2.0
671,1.0
672,2.0
673,0.0
674,1.0
675,0.0
676,6.4
677,1.8
678,6.0
679,18.6
680,2.0
681,1.0
682,0.0
683,3.2
684,1.0
685,8.2
686,0.0
687,7.0
688,2.0
689,5.8
690,3.0
691,1.0
692,9.8
693,15.6
694,1.0
695,1.0
696,0.0
697,1.6
698,0.0
699,0.0
700,0.0
701,2.8
702,1.0
703,2.0
704,8.2
705,0.0
706,17.2
707,2.0
708,13.2
709,0.0
710,0.0
711,9.0
712,2.2
713,14.75
714,17.0
715,1.0
716,0.0
717,6.8
718,10.0
719,3.6
720,1.0
721,5.0
722,12.8
723,8.4
724,23.6
725,7.0
726,0.0
727,1.0
728,10.2
729,0.0
730,8.5
731,5.4
732,1.2
733,5.8
734,8.0
735,2.0
736,1.0
737,0.0
738,0.0
739,1.0
740,1.0
741,9.6
742,1.0
743,0.0
744,2.2
745,1.0
746,0.0
747,0.0
748,0.0
749,3.8
750,7.0
751,2.0
752,3.6
753,5.0
754,0.0
755,1.8
756,4.0
757,2.0
758,0.0
759,2.2
760,3.0
761,1.0
762,0.0
763,5.8
764,0.0
765,1.25
766,4.0
767,15.4
768,4.6
769,6.0
770,0.0
771,17.0
772,46.6
773,0.0
774,0.0
775,4.6
776,5.4
777,1.0
778,1.0
779,9.0
780,1.0
781,0.0
782,1.6
783,15.8
784,7.6
785,0.0
786,4.6
787,1.0
788,6.25
789,1.4
790,3.0
791,1.0
792,1.4
793,1.0
794,21.2
795,1.6
796,0.0
797,0.0
798,0.0
799,0.0
800,1.0
801,0.0
802,5.2
803,0.0
804,6.4
805,2.2
806,0.0
807,1.0
808,2.0
809,3.6
810,0.0
811,1.0
812,6.0
813,0.0
814,1.0
815,1.0
816,2.0
817,3.6
818,4.0
819,1.0
820,4.0
821,5.6
822,3.0
823,3.0
824,0.0
825,0.0
826,48.0
827,9.4
828,2.8
829,2.0
830,1.0
831,0.0
832,0.0
833,2.0
834,0.0
835,0.0
836,4.0
837,4.2
838,1.0
839,0.0
840,1.0
841,6.0
842,3.4
843,0.0
844,1.0
845,24.6
846,1.0
847,7.0
848,0.0
849,1.0
850,1.0
851,1.0
852,3.2
853,0.0
854,4.8
855,1.8
856,1.25
857,0.0
858,11.2
859,3.6
860,0.0
861,4.6
862,0.0
863,1.0
864,8.8
865,1.0
866,3.8
867,2.0
868,3.2
869,0.0
870,5.2
871,5.4
872,5.0
873,0.0
874,2.0
875,2.0
876,1.0
877,9.6
878,2.5
879,0.0
880,0.0
881,14.8
882,1.4
883,9.6
884,1.0
885,1.0
886,1.0
887,2.6
888,1.0
889,6.6
890,1.0
891,2.8
892,0.0
893,0.0
894,7.8
895,1.0
896,2.0
897,1.8
898,8.2
899,2.0
900,1.75
901,5.0
902,10.8
903,1.25
904,5.8
905,6.2
906,4.0
907,0.0
908,1.0
909,1.6
910,2.0
911,7.2
912,1.0
913,2.6
914,1.2
915,11.6
916,6.6
917,1.0
918,7.6
919,9.2
920,0.0
921,5.0
922,1.0
923,2.0
924,0.0
925,1.0
926,1.6
927,1.4
928,2.0
929,18.0
930,3.0
931,1.6
932,2.0
933,20.8
934,0.0
935,2.0
936,9.2
937,0.0
938,0.0
939,6.0
940,1.25
941,0.0
942,1.0
943,15.4
944,2.0
945,0.0
946,4.2
947,3.6
948,1.0
949,2.8
950,2.6
951,1.0
952,12.333333333333334
953,6.8
954,14.4
955,27.0
956,0.0
957,10.4
958,0.0
959,1.0
960,10.2
961,10.2
962,1.8
963,2.0
964,8.2
965,7.6
966,1.0
967,13.4
968,11.6
969,1.0
970,0.0
971,1.0
972,8.25
973,6.8
974,1.0
975,1.0
976,1.0
977,0.0
978,0.0
979,0.0
980,0.0
981,13.6
982,16.4
983,7.8
984,0.0
