ID,D6N
581,2.5
582,4.666666667
583,3
584,1
585,4.333333333
586,5.666666667
587,1.833333333
588,3
589,1
590,2.5
591,0
592,4.333333333
593,12.66666667
594,5.833333333
595,0
596,24.16666667
597,8.333333333
598,8.333333333
599,6.333333333
600,1
601,3
602,9.333333333
603,26
604,12.5
605,1
606,38.66666667
607,4
608,0
609,0
610,1
611,1
612,2
613,1
614,1
615,30.5
616,25.5
617,21
618,8.6
619,1
620,0
621,0
622,1.5
623,2
624,21.33333333
625,32
626,3.333333333
627,1
628,1
629,1.25
630,45.33333333
631,2.666666667
632,1
633,7.833333333
634,3.333333333
635,6.2
636,3
637,17.75
638,2.166666667
639,1
640,30.33333333
641,13.8
642,0
643,1
644,1.6
645,2.6
646,14.5
647,0
648,0
649,1
650,3.833333333
651,4.5
652,2
653,1
654,8.666666667
655,0
656,10.83333333
657,3.833333333
658,0
659,1
660,3.666666667
661,5
662,1
663,2
664,0
665,1
666,21.5
667,3
668,4.5
669,1
670,1
671,1.833333333
672,1
673,2
674,0
675,1
676,8
677,6.166666667
678,1.666666667
679,9.5
680,22
681,2
682,1
683,0
684,3.5
685,2.666666667
686,8.333333333
687,2
688,7
689,2
690,6.833333333
691,2.333333333
692,1
693,18.16666667
694,19
695,1
696,1
697,0
698,2
699,0
700,0
701,25
702,3.666666667
703,1
704,1.833333333
705,8.333333333
706,0
707,25.5
708,1.5
709,15.33333333
710,1
711,0
712,8.666666667
713,3.4
714,17.75
715,17.5
716,1
717,8
718,7
719,9.5
720,3.666666667
721,1.666666667
722,4.666666667
723,14.33333333
724,8
725,29
726,7.5
727,0
728,1
729,10
730,0
731,10.16666667
732,5.5
733,1.666666667
734,7.166666667
735,8
736,2
737,1.833333333
738,0
739,0
740,1
741,1
742,11
743,1
744,1
745,3.666666667
746,1
747,1
748,0
749,12
750,3.666666667
751,12.33333333
752,2
753,6.333333333
754,5
755,9
756,2.833333333
757,6
758,2
759,1.75
760,2
761,3.333333333
762,1
763,1
764,6.166666667
765,0
766,1.833333333
767,4
768,16
769,4.166666667
770,5.5
771,0
772,22
773,44
774,0
775,0
776,5.333333333
777,6
778,1
779,1
780,9.666666667
781,1
782,0
783,2.833333333
784,21.16666667
785,8.166666667
786,0
787,5.166666667
788,1
789,8.75
790,1.833333333
791,2.666666667
792,1
793,1.5
794,1
795,23.16666667
796,1.5
797,1
798,1
799,0
800,0
801,1
802,0
803,6.666666667
804,1
805,8.666666667
806,3.333333333
807,0
808,1
809,1.666666667
810,3.5
811,0
812,1
813,5.666666667
814,1
815,1
816,1
817,2
818,3.833333333
819,4.5
820,1
821,3.833333333
822,6.333333333
823,4.333333333
824,3.833333333
825,0
826,0
827,49.5
828,12.83333333
829,2.833333333
830,2
831,1.166666667
832,0
833,0
834,1.833333333
835,0
836,0
837,3.666666667
838,3.666666667
839,1
840,0
841,1
842,6
843,3.833333333
844,0
845,1.6
846,23.66666667
847,1
848,8
849,2
850,1
851,1
852,1
853,4.5
854,0
855,4.666666667
856,1.666666667
857,2.333333333
858,0
859,11.16666667
860,4.166666667
861,0
862,4.5
863,0
864,1.75
865,8.666666667
866,1
867,3.666666667
868,4
869,3.2
870,0
871,4.833333333
872,5.333333333
873,5
874,6
875,2
876,2
877,1
878,12.5
879,3.333333333
880,31.5
881,0
882,15.4
883,1.333333333
884,9.333333333
885,1.25
886,1
887,1
888,2.333333333
889,1.75
890,5.833333333
891,1
892,3.833333333
893,0
894,1.833333333
895,7.833333333
896,1.2
897,1.666666667
898,2.333333333
899,10.5
900,2.5
901,2
902,3.5
903,16.83333333
904,2.333333333
905,6.333333333
906,7.666666667
907,3.5
908,1
909,1
910,1.5
911,2
912,8.166666667
913,2.166666667
914,2.333333333
915,1.666666667
916,19.83333333
917,8.666666667
918,1
919,7
920,13.66666667
921,0
922,5
923,1
924,2
925,0
926,1
927,2.2
928,1.833333333
929,2
930,18.66666667
931,3.333333333
932,1.6
933,2.5
934,25.83333333
935,0
936,2
937,11
938,0
939,0
940,6
941,1.166666667
942,3
943,2.166666667
944,17.5
945,1.75
946,1
947,4
948,3.5
949,1
950,2.5
951,2.333333333
952,1
953,12.66666667
954,8
955,15
956,26.83333333
957,2
