ID,E6N
1,0
2,0
3,0.003444945
4,0
5,0
6,0
7,0
8,0
9,2.36E-05
10,0.001867685
11,0.000714667
12,0.002727948
13,0
14,0.001395595
15,0.002559192
16,4.66E-05
17,0.008435858
18,0.002166483
19,0.0008195
20,0.005131415
21,0.019863933
22,0.014068819
23,0.008877427
24,0.008039215
25,0.007378631
26,0.01502552
27,0
28,0.0002005
29,0.012353141
30,0.002588262
31,0.000609333
32,0.002200193
33,0.002825794
34,0.00468498
35,0.000167725
36,0.012667589
37,0.018589886
38,0.0002365
39,0.002023612
40,0.004662975
41,0.008927886
42,0.004735157
43,0
44,0.012011928
45,0.018235578
46,0.000926
47,0.017777512
48,0.00059278
49,0.012910888
50,0.001331757
51,0
52,0
53,0.0003998
54,0
55,0.000954165
56,0.00013725
57,1.56E-05
58,0.008547527
59,0
60,0
61,0
62,0
63,0.004636462
64,0.000179783
65,0.002943347
66,0.001723676
67,0.002283677
68,0.00011375
69,0.021794478
70,0.006814948
71,0.012630784
72,0.001722234
73,0.026291072
74,0.012773252
75,0.019393577
76,0.000704007
77,0.003238175
78,0.001507902
79,0.003105489
80,0.005461108
81,0.001284697
82,0
83,0.005355268
84,0.000745667
85,0.000715024
86,0.002829756
87,0.002277546
88,0
89,0.001343855
90,0.006796987
91,0.005564989
92,0
93,0.001583418
94,0.048570809
95,0.004059381
96,0
97,7.89E-05
98,0.079954797
99,0.004885529
100,0.009870032
101,0.000250417
102,0.005863083
103,8.26E-05
104,0.002310023
105,0.025879616
106,0.008123428
107,0.0006396
108,0
109,0.0009162
110,0.001472365
111,0.004967472
112,0.008451006
113,0.0006488
114,0.012292276
115,0.052667768
116,0
117,0.001290702
118,0.028648492
119,0.001849464
120,0.002275157
121,0
122,0.000934504
123,0.003733036
124,0.005269206
125,0.006695051
126,0.001830308
127,0.028446978
128,0.001028595
129,0.001612386
130,0
131,0
132,0.000457177
133,0.009493105
134,0.001440224
135,0.007527416
136,0.010641019
137,0.009860348
138,0.004705576
139,0.002455805
140,0.003661209
141,0
142,0.016884229
143,0.001161562
144,0.002327696
145,0.001629128
146,0.002970716
147,0.001659644
148,0.001912039
149,0.005276519
150,0.002524262
151,0.000347
152,0.001271794
153,0.0008222
