,D7N
0,3.0
1,0.0
2,0.0
3,0.0
4,8.0
5,3.0
6,1.0
7,0.0
8,0.0
9,6.333333333333333
10,2.0
11,4.333333333333333
12,2.0
13,0.0
14,1.0
15,1.0
16,0.0
17,0.0
18,0.0
19,13.0
20,1.0
21,1.75
22,3.0
23,2.3333333333333335
24,1.0
25,0.0
26,8.333333333333334
27,0.0
28,0.0
29,0.0
30,1.0
31,6.0
32,0.0
33,1.0
34,7.0
35,24.0
36,1.0
37,1.0
38,0.0
39,7.666666666666667
40,0.0
41,2.0
42,4.0
43,1.0
44,1.0
45,0.0
46,0.0
47,0.0
48,1.0
49,2.0
50,1.6666666666666667
51,0.0
52,4.5
53,13.333333333333334
54,17.5
55,11.0
56,2.4
57,0.0
58,1.0
59,0.0
60,3.0
61,0.0
62,1.6666666666666667
63,0.0
64,0.0
65,4.666666666666667
66,0.0
67,18.25
68,2.0
69,1.0
70,2.3333333333333335
71,5.0
72,1.0
73,1.0
74,0.0
75,0.0
76,0.0
77,2.3333333333333335
78,6.0
79,0.0
80,0.0
81,30.0
82,6.666666666666667
83,0.0
84,11.5
85,1.0
86,1.0
87,2.0
88,4.25
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,2.25
95,0.0
96,1.0
97,1.0
98,2.0
99,1.0
100,1.0
101,2.0
102,0.0
103,1.0
104,1.0
105,1.0
106,0.0
107,1.0
108,3.0
109,0.0
110,0.0
111,0.0
112,3.0
113,0.0
114,0.0
115,1.0
116,2.0
117,2.0
118,2.0
119,0.0
120,0.0
121,1.0
122,1.0
123,0.0
124,0.0
125,5.333333333333333
126,0.0
127,3.0
128,1.75
129,3.0
130,3.75
131,3.75
132,1.0
133,0.0
134,1.0
135,0.0
136,62.333333333333336
137,5.0
138,0.0
139,0.0
140,3.0
141,1.0
142,4.75
143,3.75
144,0.0
145,1.0
146,1.0
147,0.0
148,1.0
149,3.1666666666666665
150,0.0
151,21.0
152,2.0
153,0.0
154,0.0
155,6.666666666666667
156,12.75
157,2.6666666666666665
158,1.0
159,11.0
160,9.0
161,5.0
162,2.3333333333333335
163,4.333333333333333
164,4.5
165,2.0
166,3.5
167,1.0
168,1.5
169,0.0
170,6.25
171,5.0
172,0.0
173,8.333333333333334
174,1.0
175,0.0
176,1.75
177,13.25
178,9.0
179,1.0
180,0.0
181,0.0
182,1.0
183,1.0
184,3.5
185,0.0
186,6.0
187,2.5
188,3.25
189,0.0
190,9.333333333333334
191,0.0
192,0.0
193,2.0
194,1.0
195,0.0
196,1.0
197,3.5
198,2.5
199,3.6666666666666665
200,0.0
201,1.0
202,5.0
203,0.0
204,0.0
205,0.0
206,2.0
207,0.0
208,0.0
209,2.5
210,0.0
211,14.333333333333334
212,2.0
213,9.0
214,0.0
215,0.0
216,0.0
217,0.0
218,8.0
219,1.75
220,0.0
221,1.0
222,0.0
223,0.0
224,1.0
225,1.0
226,1.0
227,0.0
228,8.2
229,2.0
230,8.666666666666666
231,1.0
232,2.0
233,1.0
234,7.0
235,7.0
236,1.0
237,0.0
238,24.666666666666668
239,1.0
240,0.0
241,1.0
242,0.0
243,7.0
244,4.0
245,0.0
246,5.0
247,3.25
248,1.75
249,9.0
250,1.0
251,0.0
252,34.333333333333336
253,1.0
254,0.0
255,10.666666666666666
256,0.0
257,1.0
258,1.0
259,1.75
260,1.0
261,5.5
262,1.5
263,5.25
264,9.0
265,0.0
266,2.5
267,5.0
268,1.0
269,2.0
270,1.0
271,2.0
272,1.0
273,0.0
274,0.0
275,1.0
276,1.0
277,1.0
278,1.3333333333333333
279,26.75
280,19.666666666666668
281,0.0
282,11.75
283,1.0
284,1.0
285,0.0
286,3.5
287,4.0
288,0.0
289,0.0
290,0.0
291,0.0
292,8.666666666666666
293,0.0
294,1.0
295,4.666666666666667
296,1.0
297,0.0
298,9.25
299,0.0
300,0.0
301,0.0
302,0.0
303,1.0
304,0.0
305,7.75
306,3.0
307,8.0
308,1.25
309,0.0
310,0.0
311,1.0
312,1.75
313,1.0
314,0.0
315,1.0
316,2.0
317,23.5
318,0.0
319,0.0
320,0.0
321,2.0
322,0.0
323,0.0
324,1.75
325,7.0
326,1.0
327,21.25
328,5.4
329,0.0
330,0.0
331,1.0
332,1.6666666666666667
333,1.8
334,1.0
335,2.0
336,0.0
337,0.0
338,0.0
339,4.0
340,2.0
341,8.0
342,4.0
343,3.0
344,17.0
345,1.3333333333333333
346,12.0
347,0.0
348,0.0
349,1.0
350,1.75
351,0.0
352,8.333333333333334
353,1.0
354,0.0
355,0.0
356,1.0
357,1.0
358,1.0
359,1.3333333333333333
360,1.0
361,0.0
362,0.0
363,1.0
364,2.0
365,0.0
366,1.0
367,0.0
368,2.0
369,1.0
370,2.0
371,0.0
372,0.0
373,0.0
374,12.75
375,0.0
376,5.0
377,2.5
378,2.0
379,0.0
380,26.25
381,0.0
382,0.0
383,0.0
384,27.333333333333332
385,1.0
386,0.0
