ID,SC,DC,EC,IC,LAC,BC,NC
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,7241.9316,2,0.003752901,1.6349456,1,0,2
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,2.3968666,1,2.88E-05,1.2849859,0,0,0
10,5261.4346,5,0.003194583,2.2469025,2.4,2513.5051,3
11,40.056694,1,0.000279,1.2849859,0,0,0
12,2995.039,2,0.002364275,1.6349456,0,492.16226,0
13,0,0,0,0,0,0,0
14,4997.7905,7,0.001441286,2.4788585,1.7142857,9798.183,2
15,3771.7266,5,0.002788234,2.2469025,0,12131.502,0
16,3.429977,1,3.72E-05,1.2849859,0,0,0
17,26333.836,9,0.007269207,2.6425521,0.8888889,13099.346,1.125
18,1852.5237,3,0.001929979,1.8926955,0,8030.782,0
19,336.3011,1,0.000845,1.2849859,0,0,0
20,3336.534,1,0.002553017,1.2849859,0,0,0
21,138549.6,6,0.016622227,2.3738146,1,589.606,1.2
22,19694.842,9,0.005967086,2.6425521,1.3333334,9636.791,1.9166666
23,13177.4795,3,0.005133233,1.8926955,0,2980.6418,0
24,13046.35,4,0.004852009,2.0904112,0,8866.221,0
25,63958.7,5,0.01108067,2.2469025,0,14268.337,0
26,190348.05,10,0.01995892,2.7075398,1.4,10305.33,1.7142857
27,0,0,0,0,0,0,0
28,58.855324,1,0.00018,1.2849859,0,0,0
29,143171.73,4,0.016705623,2.0904112,0.5,4055.3804,0.6666667
30,3667.055,1,0.002598279,1.2849859,0,0,0
31,94.202644,3,0.000419,1.8926955,0,1184.689,0
32,403.11697,2,0.000889,1.6349456,1,0,2
33,1697.3104,2,0.001806529,1.6349456,0,327.90842,0
34,40472.16,8,0.009485374,2.5672042,0.25,4975.1836,0.2857143
35,0,0,0,0,0,0,0
36,91342.66,3,0.013123308,1.8926955,0.6666667,1949.5426,1
37,196830.36,20,0.02014327,3.0668273,2.9,37881.8,6.0608525
38,24.725435,1,0.000209,1.2849859,0,0,0
39,2938.2107,1,0.002450972,1.2849859,0,0,0
40,857.82806,3,0.001260013,1.8926955,0,762.5371,0
41,27.148735,1,0.000233,1.2849859,0,0,0
42,10330.051,3,0.004772577,1.8926955,0.6666667,1981.8762,1
43,0,0,0,0,0,0,0
44,92673.09,4,0.013152855,2.0904112,1.5,152.02953,2
45,285990.25,21,0.025065595,3.0872734,0.7619048,64848.727,1.4787582
46,0,0,0,0,0,0,0
47,75352.92,16,0.011977199,2.9649334,6.25,15167.768,8.616716
48,228.58228,1,0.000695,1.2849859,0,0,0
49,121837.4,14,0.016403653,2.8976371,0.71428573,46176.55,2.0871794
50,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
53,47.29442,3,0.000251,1.8926955,0,955.31647,0
54,0,0,0,0,0,0,0
55,399.86108,4,0.000867,2.0904112,2,2931.1133,2.8333333
56,7.306104,1,0.000102,1.2849859,0,0,0
57,1.537481,1,0,1.2849859,0,0,0
58,33331.8,6,0.008584296,2.3738146,0,8246.723,0
59,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0
63,4741.345,3,0.002745655,1.8926955,0,5540.471,0
64,5.72557,1,9.15E-05,1.2849859,0,0,0
65,1193.6212,1,0.001496571,1.2849859,0,0,0
66,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0
68,25.317955,1,7.25E-05,1.2849859,0,0,0
69,376700.3,9,0.028416337,2.6425521,3.1111112,15273.123,3.725
70,27344.006,12,0.007519295,2.8140633,2.1666667,27861.955,3.1782467
71,65203.066,11,0.011323773,2.7641757,0.72727275,26598.42,1.2555555
72,3565.4888,4,0.002747454,2.0904112,1.5,267.94934,2
73,272487.75,28,0.023993932,3.195475,0.35714287,96247.53,1.0421356
74,106479.29,10,0.015029771,2.7075398,0.2,21666.156,0.25396827
75,208711.89,6,0.0207377,2.3738146,0.6666667,2655.3853,0.8
76,542.66125,2,0.000587,1.6349456,0,1092.759,0
77,13764.057,26,0.003572185,3.1695962,0.84615386,109919.625,2.1518183
78,3016.1584,9,0.0011735,2.6425521,0.8888889,14637.193,2.0833333
79,1539.2456,2,0.001676281,1.6349456,0,4878.7383,0
80,3566.668,6,0.002482987,2.3738146,0,6731.048,0
81,5139.5376,6,0.001274058,2.3738146,2,450.49814,2.5333333
82,1.5416614,1,0,1.2849859,0,0,0
83,10915.572,3,0.004637107,1.8926955,0,5984.6763,0
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0
86,6077.198,3,0.003475941,1.8926955,0,10887.931,0
87,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0
89,992.809,1,0.001460684,1.2849859,0,0,0
90,32279.879,3,0.008166047,1.8926955,0,4694.4463,0
91,20600.324,2,0.006618509,1.6349456,0,7554,0
92,0,0,0,0,0,0,0
93,411.14136,1,0.000912,1.2849859,0,0,0
94,1274935.2,16,0.049609844,2.9649334,2.75,13828.926,3.2444444
95,10894.223,3,0.004544352,1.8926955,0,833.15204,0
96,0,0,0,0,0,0,0
97,5.4302483,1,8.35E-05,1.2849859,0,0,0
98,579165.44,56,0.032282945,3.3782494,0.75,266462.12,3.388971
99,6794.4966,4,0.003775419,2.0904112,0.5,4035.3606,1.3333334
100,62955.883,7,0.011411051,2.4788585,0.2857143,5612.76,0.33333334
101,5.47606,1,8.76E-05,1.2849859,0,0,0
102,45161.723,1,0.009120089,1.2849859,0,0,0
103,2.7690296,1,5.01E-05,1.2849859,0,0,0
104,2981.2373,2,0.002468446,1.6349456,0,148.54297,0
105,381679,23,0.028685234,3.1237967,1.1304348,47145.016,1.8493867
106,0,0,0,0,0,0,0
107,286.29514,1,0.000686,1.2849859,0,0,0
108,0,0,0,0,0,0,0
109,690.19885,1,0.001154959,1.2849859,0,0,0
110,24.834595,2,0.000211,1.6349456,0,456.0382,0
111,12301.362,1,0.005073406,1.2849859,0,0,0
112,27028.943,12,0.007209495,2.8140633,1.5,20969.947,2.7762988
113,85.016914,1,0.000415,1.2849859,0,0,0
114,85913.234,10,0.01356448,2.7075398,1,9673.434,1.1527778
115,2162109.8,59,0.06696121,3.3882413,2.2372882,277919.34,9.485039
116,0,0,0,0,0,0,0
117,1320.1648,1,0.001667649,1.2849859,0,0,0
118,411060.6,14,0.02903029,2.8976371,0.42857143,39617.344,1.5576923
119,0,0,0,0,0,0,0
120,4209.9707,4,0.002957665,2.0904112,0,7718.087,0
121,0,0,0,0,0,0,0
122,479.52042,1,0.00096,1.2849859,0,0,0
123,9074.263,9,0.004282931,2.6425521,1.5555556,15838.722,2.4583333
124,10163.646,5,0.004644362,2.2469025,0,1061.1375,0
125,2987.8083,5,0.002453744,2.2469025,1.2,3975.0896,1.5
126,1066.7468,7,0.001508604,2.4788585,0,18192.287,0
127,498080.53,13,0.03251074,2.858224,1.0769231,14009.254,1.1944444
128,463.83768,3,0.000563,1.8926955,0,451.448,0
129,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0
134,1073.1191,4,0.001505241,2.0904112,1,652.0803,1.3333334
135,17302.379,7,0.0059733,2.4788585,0.85714287,6216.3833,1.3333334
136,25542.523,7,0.007067206,2.4788585,0.85714287,14789.855,3.5
137,4588.9185,4,0.00299685,2.0904112,0,3649.9927,0
138,32095.543,4,0.008423742,2.0904112,0.5,2248.0503,0.6666667
139,2210.8164,4,0.002147712,2.0904112,0,1744.4039,0
140,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0
142,200370.31,13,0.020932352,2.858224,0.9230769,18538.96,1
143,0,0,0,0,0,0,0
144,1379.8981,2,0.001613653,1.6349456,0,1905.0447,0
145,1457.9927,3,0.001728293,1.8926955,0,18732.074,0
146,5213.1245,1,0.003318259,1.2849859,0,0,0
147,2529.8567,3,0.002261147,1.8926955,0,1714.3738,0
148,3125.5676,1,0.002427109,1.2849859,0,0,0
149,18741.498,4,0.006219916,2.0904112,0.5,3852.0208,0.6666667
150,1260.8346,1,0.001456527,1.2849859,0,0,0
151,71.92608,3,0.000365,1.8926955,1.3333334,1754.5497,2
152,1406.2927,2,0.001599998,1.6349456,0,608.1866,0
153,427.96393,2,0.000866,1.6349456,0,787.37695,0
154,5872.693,3,0.003479446,1.8926955,0.6666667,117.43492,1
155,0,0,0,0,0,0,0
156,22820.986,5,0.007060262,2.2469025,0,2641.8342,0
157,0,0,0,0,0,0,0
158,19987.5,4,0.006477202,2.0904112,0.5,1396.474,0.6666667
159,19.65224,2,0.000176,1.6349454,0,7741.821,0
160,2.09558,1,3.13E-05,1.2849859,0,0,0
161,0,0,0,0,0,0,0
162,759.8757,3,0.001143783,1.8926955,2,0,3
163,766543.8,37,0.03968186,3.281052,0.7567568,171661.72,1.8689404
164,27.864248,2,0.000215,1.6349454,0,317.80136,0
165,3718.8447,5,0.00259204,2.2469025,0,8788.758,0
166,2532.8743,4,0.002209509,2.0904112,0,20960.596,0
167,16.848202,1,0.000164,1.2849859,0,0,0
168,953.3291,1,0.001393502,1.2849859,0,0,0
169,7590.9443,3,0.003683118,1.8926955,0,650.06226,0
170,82355.14,14,0.012217572,2.8976371,3.4285715,3431.3875,4.4342656
171,7410.005,2,0.003808772,1.6349454,0,5302.614,0
172,992.8089,1,0.001460684,1.2849859,0,0,0
173,86.39179,1,0.000399,1.2849859,0,0,0
174,16.859715,1,0.000168,1.2849859,0,0,0
175,2432615,37,0.07000954,3.281052,0.8108108,108510.77,3.1443343
176,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0
178,3567.7065,3,0.002670933,1.8926955,0,7904.9043,0
179,1398.6041,3,0.00173464,1.8926955,0,2057.0913,0
180,18140.088,11,0.006010719,2.7641757,0.36363637,21059.836,1.3
181,52531.598,9,0.010552616,2.6425521,0.22222222,11375.031,0.25
182,217207.61,12,0.021017624,2.8140633,0.33333334,56813.62,1.2727273
183,11701.658,9,0.004844862,2.6425521,0.22222222,11173.301,0.25
184,0,0,0,0,0,0,0
185,933.26135,1,0.001337351,1.2849859,0,0,0
186,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0
188,98.680885,1,0.000432,1.2849859,0,0,0
189,9625.821,2,0.004422181,1.6349454,0,1503.6333,0
190,370.4661,1,0.000878,1.2849859,0,0,0
191,26.237448,1,0.000226,1.2849859,0,0,0
192,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0
195,11698.693,5,0.005094486,2.2469025,0,3517.8389,0
196,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0
199,700.5289,2,0.001162327,1.6349454,0,5450.519,0
200,0,0,0,0,0,0,0
201,1358270.2,42,0.054860704,3.314278,0.71428573,155867.25,1.9247615
202,258303.7,14,0.02264334,2.8976371,0.42857143,21255.72,0.48951048
203,424586.3,19,0.029435242,3.0445347,0.21052632,53325.434,0.36993465
204,8325847,82,0.12963861,3.4421115,1.097561,528626.8,5.1521325
205,1.5973294,1,2.23E-06,1.2849859,0,0,0
206,15.714687,2,0.000159,1.6349456,0,391.38324,0
207,929.39294,1,0.00130824,1.2849859,0,0,0
208,40801.17,6,0.009490871,2.3738146,0,3952.5244,0
209,6558.7827,3,0.003635347,1.8926955,0.6666667,1034.3422,1
210,3028.2148,3,0.002375639,1.8926955,0,15150.835,0
211,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0
213,6037.7773,3,0.003565455,1.8926955,0,8232.857,0
214,20489.6,1,0.006601813,1.2849859,0,0,0
215,5353.791,12,0.001430813,2.8140633,1.6666666,11120.231,2.2828283
216,4.0140076,1,4.97E-05,1.2849859,0,0,0
217,46900.56,2,0.009303215,1.6349454,0,1139.3463,0
218,265848.34,7,0.023564879,2.4788585,0,4866.304,0
219,1260.8344,1,0.001456527,1.2849859,0,0,0
220,0,0,0,0,0,0,0
221,1069.5591,2,0.001527574,1.6349454,0,4115.15,0
222,0,0,0,0,0,0,0
223,2119.64,4,0.001906529,2.0904112,0,22656,0
224,20671.168,5,0.006388004,2.2469025,0.8,2303.383,1.0833334
225,2149.7043,1,0.002135946,1.2849859,0,0,0
226,4715.029,8,0.003161365,2.5672042,1,5547.584,1.5571429
227,374.98187,1,0.000849,1.2849859,0,0,0
228,0,0,0,0,0,0,0
229,1731.9287,1,0.001878529,1.2849859,0,0,0
230,0,0,0,0,0,0,0
231,566651.1,35,0.034355376,3.2653778,1.4857143,95427.39,3.1373484
232,0,0,0,0,0,0,0
233,259.86993,3,0.000698,1.8926955,0.6666667,2453.249,1
234,3832.2563,7,0.002886812,2.4788585,0,9012.072,0
235,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0
237,70667.09,7,0.011419642,2.4788585,3.142857,8281.528,4.05
238,1885.5177,7,0.001941708,2.4788585,0,24163.715,0
239,169.05164,1,0.000568,1.2849859,0,0,0
240,15.313818,1,0.000153,1.2849859,0,0,0
241,7828.712,5,0.00397757,2.2469025,2,2952.5664,2.5
242,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0
244,3.10081,1,1.35E-05,1.2849859,0,0,0
245,141131.89,19,0.016405322,3.0445347,0.7368421,96547.63,1.1850039
246,12.991394,1,0.000144,1.2849859,0,0,0
247,0,0,0,0,0,0,0
248,19104.766,4,0.006309988,2.0904112,0,5197.879,0
249,1025.2499,1,0.001496698,1.2849859,0,0,0
250,1193.6208,1,0.001496571,1.2849859,0,0,0
251,10.881806,2,0.000124,1.6349454,0,7554,0
252,0,0,0,0,0,0,0
253,240399.36,18,0.02244403,3.0204206,4,18383.729,6.6884203
254,8772.859,2,0.004119742,1.6349454,0,89.74081,0
255,130706.305,19,0.016198816,3.0445347,5.263158,9715.116,8.911477
256,37859.234,3,0.008603114,1.8926955,0,577.09924,0
257,19221.072,2,0.006422412,1.6349456,0,402.27618,0
258,32303.746,11,0.008275665,2.7641757,0,24615.14,0
259,28521.191,3,0.00754856,1.8926955,0,449.27405,0
260,0,0,0,0,0,0,0
261,16353.952,9,0.005845338,2.6425521,2.8888888,2286.6467,4.4416666
262,37699.35,11,0.008667047,2.7641757,1.0909091,21311.445,1.8527777
263,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0
266,45.308403,4,0.000246,2.0904112,2,301.55438,2.6666667
267,2066.0535,4,0.001991841,2.0904112,0,4008.1687,0
268,746.87964,1,0.00118125,1.2849859,0,0,0
269,61796.29,6,0.011542966,2.3738146,1.3333334,3958.738,1.6
270,2.512748,1,3.51E-05,1.2849859,0,0,0
271,561.41876,2,0.001095469,1.6349456,0,502.04858,0
272,102012.87,4,0.013748477,2.0904112,0,3337.8994,0
273,3336.533,1,0.002553017,1.2849859,0,0,0
274,0,0,0,0,0,0,0
275,179333.31,13,0.018868053,2.858224,1.0769231,72585.08,2.85
276,72011.87,14,0.012322872,2.8976371,2.5714285,36842.57,5.294872
