p,t1,t2,t3,t4,t5,t6,t7,t8
DIP-10000N,0.016229041,0.005518463,0.0036502,0.010668179,0.023717307,0.007277216,0.008354683,0.009105548
DIP-10003N,0,0,0,0,0,0,0,0
DIP-10004N,0,0,0,0,0,0,0,0
DIP-10007N,0,0,0,0,0,0,0,0
DIP-10008N,0.005865617,0.001729318,0.001072414,0.003709845,0.005491639,0.002179217,0.001551279,0.002127544
DIP-10010N,0.019953739,0.006633578,0.000741567,0.003736984,0.011955124,0.004840072,0.001471151,0.004082965
DIP-10014N,0.004942267,0.001843545,0.000598609,0.003540229,0.006920823,0.00125805,0.000854699,0.001693946
DIP-10015N,0,0,0,0,0,0,0,0
DIP-10016N,0,0,0,0,0,0,0,0
DIP-10017N,0.016585861,0.00322831,0.001622008,0.005757452,0.010593826,0.003500433,0.003341873,0.002867763
DIP-10018N,0.007903245,0.004698278,0.003359745,0.008592077,0.007681864,0.004130774,0.005344006,0.006594256
DIP-10019N,0.004197328,0.002751741,0.000854572,0.003760051,0.006742175,0.003009583,0.001217946,0.001639394
DIP-10021N,0.016172701,0.002752678,0.001759521,0.007905471,0.013973846,0.003153022,0.003019224,0.002906326
DIP-10023N,0,0,0,0,0,0,0,0
DIP-10024N,0.016495091,0.003217075,0.000956232,0.003754624,0.018690153,0.004758483,0.002565165,0.001434352
DIP-10029N,0.43786484,0.057056264,0.025076687,0.036072612,0.57841575,0.168357665,0.048630238,0.045930297
DIP-10031N,0,0,0,0,0,0,0,0
DIP-10032N,0,0,0,0,0,0,0,0
DIP-10033N,0,0,0,0,0,0,0,0
DIP-10034N,0.013070873,0.004453907,0.003128289,0.007122523,0.014038159,0.00440844,0.005546997,0.002601585
DIP-10035N,0.010945604,0.002183416,0.001289801,0.005243175,0.013123481,0.004822965,0.004103624,0.00212096
DIP-10037N,0.003361618,0.00115163,0.000636731,0.00655804,0.004741318,0.001677839,0.001985038,0.003128298
DIP-10039N,0.018845719,0.00252516,0.001250771,0.006309722,0.016478491,0.004313691,0.002599353,0.003786689
DIP-10041N,0.018845719,0.00252516,0.001250771,0.006309722,0.016478491,0.004313691,0.002599353,0.003786689
DIP-10042N,0.018845719,0.00252516,0.001250771,0.006309722,0.016478491,0.004313691,0.002599353,0.003786689
DIP-10043N,0,0,0,0,0,0,0,0
DIP-10044N,0.018845719,0.00252516,0.001250771,0.006309722,0.016478491,0.004313691,0.002599353,0.003786689
DIP-10046N,0,0,0,0,0,0,0,0
DIP-10047N,0,0,0,0,0,0,0,0
DIP-10048N,0,0,0,0,0,0,0,0
DIP-10052N,0.010012864,0.004696405,0.002448443,0.008129364,0.015699586,0.005554634,0.004776699,0.00570825
DIP-10053N,0.0523367,0.013306481,0.007166064,0.010238033,0.080373732,0.027191521,0.021550168,0.00628105
DIP-10054N,0,0,0,0,0,0,0,0
DIP-10055N,0.065826992,0.022130029,0.009017714,0.02284255,0.117046591,0.031420992,0.021097177,0.019319073
DIP-10056N,0.021384148,0.002160009,0.001182696,0.006640813,0.021998714,0.004332115,0.003134609,0.002521638
DIP-10057N,0.01687695,0.00203642,0.000975747,0.004101998,0.020941118,0.001900235,0.001058758,0.003875101
DIP-10062N,0.015487231,0.006024993,0.00499083,0.016049761,0.01887952,0.009967022,0.011600403,0.009879627
DIP-10063N,0.015437151,0.007163516,0.006058252,0.015067344,0.023735172,0.012891068,0.016356803,0.013229897
DIP-10065N,0,0,0,0,0,0,0,0
DIP-10066N,0.020629818,0.00439024,0.002154811,0.005925711,0.024674861,0.007124565,0.005458322,0.004808135
DIP-10067N,0,0,0,0,0,0,0,0
DIP-10069N,0.001446059,0.000765881,0.000889518,0.003739698,0.00366943,0.001434388,0.000705127,0.001407076
DIP-10070N,0.021096188,0.004806887,0.002611824,0.005697747,0.019204659,0.00589415,0.006151696,0.003445266
DIP-10072N,0.013587322,0.005922938,0.002461151,0.005893145,0.017711162,0.006046801,0.004645289,0.004013363
DIP-10078N,0.011762533,0.005908894,0.002028191,0.008646354,0.01514935,0.007943088,0.005966868,0.004287066
DIP-10080N,0.007655976,0.001826692,0.00227054,0.00402601,0.009518365,0.003154338,0.002576918,0.002074872
DIP-10082N,0.006745146,0.001737745,0.001280724,0.004937866,0.005423753,0.001427808,0.001139955,0.000729873
DIP-10084N,0.002169089,0.001133841,0.000835965,0.004769607,0.003462198,0.00087116,0.001380339,0.002023142
DIP-10085N,0.015318211,0.002851924,0.001730929,0.006830783,0.016635701,0.00391759,0.003847214,0.003790451
DIP-10086N,0.015318211,0.002851924,0.001730929,0.006830783,0.016635701,0.00391759,0.003847214,0.003790451
DIP-10087N,0.023834936,0.00599316,0.003414205,0.008279983,0.028215664,0.009053751,0.007074771,0.007216906
DIP-10088N,0,0,0,0,0,0,0,0
DIP-10092N,0.01725881,0.003936142,0.003079728,0.009840452,0.018936687,0.007868078,0.006383533,0.007188689
DIP-10095N,0.016585861,0.00322831,0.001622008,0.005757452,0.010593826,0.003500433,0.003341873,0.002867763
DIP-10097N,0.01826041,0.006667285,0.00110872,0.002609375,0.014663427,0.00588757,0.003067301,0.00052201
DIP-10098N,0.015083461,0.002389399,0.000240533,0.002183299,0.016607117,0.004601885,0.001178416,0.00074022
DIP-10108N,0.004328788,0.002495199,0.001408252,0.005708602,0.00561312,0.002727969,0.003037387,0.004240979
DIP-10109N,0.004904707,0.004432373,0.003563517,0.010183755,0.002672574,0.007519351,0.008587588,0.009431921
DIP-10111N,0.007058146,0.002689946,0.002668553,0.007833554,0.007053023,0.005296708,0.005771355,0.008663485
DIP-10112N,0,0,0,0,0,0,0,0
DIP-10115N,0.039012298,0.014303624,0.004442143,0.009415733,0.038298557,0.017273189,0.012394204,0.007079584
DIP-10117N,0,0,0,0,0,0,0,0
DIP-10119N,0.081198414,0.017725745,0.004991738,0.014354956,0.167232385,0.025097841,0.011757454,0.010311344
DIP-10120N,0,0,0,0,0,0,0,0
DIP-10121N,0,0,0,0,0,0,0,0
DIP-10122N,0.01708979,0.005172974,0.002151635,0.006414205,0.019286837,0.007836496,0.00721366,0.00643248
DIP-10123N,0,0,0,0,0,0,0,0
DIP-10124N,0.051516641,0.028173748,0.013802956,0.093411022,0.087391025,0.044081768,0.056035137,0.104362499
DIP-10125N,0.057069257,0.009987351,0.006350522,0.013624928,0.056056167,0.024124036,0.022077944,0.009576767
DIP-10126N,0.057069257,0.009987351,0.006350522,0.013624928,0.056056167,0.024124036,0.022077944,0.009576767
DIP-10129N,0.01813208,0.003635594,0.001774043,0.004210552,0.023710161,0.009622243,0.004759605,0.002524459
DIP-10131N,0.027991574,0.009752343,0.003450966,0.007940751,0.031881521,0.011988325,0.006197636,0.00173439
DIP-10132N,0.009217845,0.004025089,0.001722306,0.003627072,0.013123481,0.005008514,0.001075852,0.000664975
DIP-10135N,0.252728576,0.036109699,0.020508831,0.033357396,0.15137559,0.058325635,0.040846067,0.037594126
DIP-10136N,0,0,0,0,0,0,0,0
DIP-10137N,0,0,0,0,0,0,0,0
DIP-10138N,0,0,0,0,0,0,0,0
DIP-10140N,0.001909299,0.001836055,0.000948516,0.00402601,0.004162498,0.00203841,0.001577988,0.002536686
DIP-10141N,0.007987755,0.001936237,0.000311331,0.001198169,0.011579963,0.001663364,0.000869656,0.000474982
DIP-10142N,0.026727055,0.003216139,0.00071343,0.004823884,0.257185222,0.00259769,0.002952985,0.001591425
DIP-10144N,0,0,0,0,0,0,0,0
DIP-10146N,0.021703408,0.00956415,0.003261717,0.01186092,0.024231814,0.011706711,0.008410238,0.008431167
DIP-10147N,0.009490155,0.005235705,0.001695984,0.003973089,0.034897099,0.005646751,0.004833323,0.002704106
DIP-10148N,0.00054462,0.000328636,0.000209218,0.001190027,0.000335858,0.000530329,0.000726494,0.000742101
DIP-10149N,0.005330387,0.001921257,0.00113822,0.00540465,0.009175361,0.001892339,0.001823714,0.00286306
DIP-10150N,0.012144393,0.003673982,0.002813781,0.007426475,0.008103473,0.006849531,0.005956184,0.004323748
DIP-10151N,0.006172356,0.002331349,0.001238064,0.00614282,0.009039588,0.003912326,0.002522431,0.003509224
DIP-10152N,0.003812338,0.000891343,0.000660331,0.003262058,0.004787766,0.00192787,0.001128203,0.001847257
DIP-10153N,0.009411905,0.003358454,0.001939693,0.007438687,0.01198728,0.004682158,0.004867511,0.00495016
DIP-10156N,0,0,0,0,0,0,0,0
DIP-10160N,0,0,0,0,0,0,0,0
DIP-10161N,0,0,0,0,0,0,0,0
DIP-10165N,0,0,0,0,0,0,0,0
DIP-10166N,0,0,0,0,0,0,0,0
DIP-10168N,0.001990679,0.000742474,0.00046382,0.004643413,0.002304559,0.000332936,0.001373929,0.001373216
DIP-10172N,0,0,0,0,0,0,0,0
DIP-10173N,0.15772374,0.034253046,0.012543563,0.046557606,0.301647134,0.053311857,0.037609962,0.039690631
DIP-10175N,0.10565622,0.024217945,0.049951417,0.060049555,0.09349364,0.069940229,0.115451676,0.068045651
DIP-10177N,0.10565622,0.024217945,0.049951417,0.060049555,0.09349364,0.069940229,0.115451676,0.068045651
DIP-10179N,0.002353759,0.001244323,0.00069573,0.005639399,0.003515792,0.000722458,0.00150427,0.001888642
DIP-10180N,0.015997421,0.005139268,0.001662854,0.008883817,0.035926111,0.005553318,0.003920932,0.005001891
DIP-10181N,0.006331986,0.002433404,0.000935355,0.004171201,0.007185222,0.002680595,0.001779911,0.002191501
DIP-10183N,0,0,0,0,0,0,0,0
DIP-10185N,0.026752095,0.009112861,0.004534725,0.00729621,0.040370873,0.015229515,0.008698699,0.005250198
DIP-10186N,0.014673432,0.004232944,0.001337454,0.005583765,0.01485994,0.00628104,0.002755336,0.003021074
DIP-10187N,0.009383735,0.00339965,0.001351976,0.007343702,0.016124768,0.003730725,0.003772428,0.004617202
DIP-10190N,0.037162469,0.007580162,0.003091982,0.007137449,0.046091182,0.010514458,0.006558747,0.004762048
DIP-10193N,0.012742223,0.003197413,0.001310677,0.003796689,0.012701872,0.00403471,0.002909182,0.002208432
DIP-10194N,0.016585861,0.00322831,0.001622008,0.005757452,0.010593826,0.003500433,0.003341873,0.002867763
DIP-10196N,0,0,0,0,0,0,0,0
DIP-10197N,0.000913959,0.001213425,0.002544202,0.004392381,0.000843219,0.000838262,0.001599356,0.001813397
DIP-10198N,0.008663835,0.005112115,0.001452274,0.008726413,0.013552237,0.002789819,0.002306619,0.004003958
DIP-10199N,0.097515094,0.018426086,0.01335729,0.030790086,0.053469344,0.030943301,0.017237143,0.062028898
DIP-10201N,0,0,0,0,0,0,0,0
DIP-10204N,0,0,0,0,0,0,0,0
DIP-10209N,0.217522356,0.034809199,0.009343114,0.023848035,0.334014578,0.06539493,0.02672537,0.023180066
DIP-10210N,0.044474145,0.011669855,0.003671984,0.009852665,0.039927826,0.019411611,0.012715785,0.007990045
DIP-10211N,0.009161505,0.002491454,0.001534872,0.004694976,0.013473632,0.004570302,0.004121786,0.003560955
DIP-10214N,0.24511642,0.104817092,0.072412195,0.095442345,0.263612977,0.119606899,0.151282796,0.077190702
DIP-10215N,0,0,0,0,0,0,0,0
DIP-10218N,0.004885927,0.001107625,0.000206495,0.002570024,0.004677004,0.00137517,0.000439102,0.001559446
DIP-10219N,0.008548025,0.003242355,0.002240133,0.005553912,0.008407175,0.003609657,0.0035673,0.00449587
DIP-10221N,0.01785038,0.003374371,0.001592509,0.005680107,0.017907675,0.004780854,0.002835464,0.003507343
DIP-10223N,0,0,0,0,0,0,0,0
DIP-10227N,0,0,0,0,0,0,0,0
DIP-10228N,0.011577863,0.002581337,0.001685545,0.005140049,0.009907818,0.003660979,0.004168795,0.005209754
DIP-10230N,0.045344284,0.003826596,0.002282339,0.018683561,0.049446191,0.009861746,0.005122852,0.013712404
DIP-10231N,0.05211134,0.009941473,0.005405636,0.022328274,0.058789481,0.016746808,0.011949761,0.020705457
DIP-10232N,0.024182366,0.006733761,0.002727552,0.016569465,0.033307132,0.007343013,0.006798062,0.013831854
DIP-10233N,0.024057166,0.004451098,0.0020055,0.00929361,0.03026297,0.00572834,0.00441452,0.007266756
DIP-10234N,0.004153508,0.003212393,0.001425952,0.006741225,0.00605974,0.003479378,0.003772428,0.002921375
DIP-10240N,0.006037767,0.001434388,0.000788312,0.003789904,0.008314278,0.00248715,0.002201918,0.002145414
DIP-10241N,0.010939344,0.0056252,0.001984169,0.006448129,0.013605831,0.00849842,0.005739304,0.004431912
DIP-10242N,0,0,0,0,0,0,0,0
DIP-10244N,0.325131695,0.058416686,0.039866736,0.042965814,0.334521938,0.157068111,0.091250873,0.029553291
DIP-10246N,0.00054462,0.001150694,0.00117135,0.003172501,0.000360869,0.000506642,0.000513888,0.002281795
DIP-10251N,0.010128674,0.002571975,0.000841865,0.002384125,0.007842647,0.003403052,0.002660251,0.002544211
DIP-10252N,0.010128674,0.002571975,0.000841865,0.002384125,0.007842647,0.003403052,0.002660251,0.002544211
DIP-10254N,0,0,0,0,0,0,0,0
DIP-10255N,0,0,0,0,0,0,0,0
DIP-10256N,0.05338838,0.010614662,0.003634769,0.006970546,0.045826783,0.014780776,0.00840276,0.007775598
DIP-10257N,0.022063357,0.005663587,0.002164342,0.006571609,0.020855367,0.00550726,0.004727554,0.005754337
DIP-1025N,0.008225635,0.002206823,0.001516265,0.004126422,0.006870802,0.002029198,0.002053414,0.00328349
DIP-10260N,0.008692005,0.00456907,0.001974185,0.006286654,0.015024296,0.006935068,0.004826913,0.006160659
DIP-10261N,0,0,0,0,0,0,0,0
DIP-10262N,0.057069257,0.009987351,0.006350522,0.013624928,0.056056167,0.024124036,0.022077944,0.009576767
DIP-10265N,0.019884879,0.003144045,0.004516572,0.009476795,0.034064599,0.010780281,0.011669847,0.005199408
DIP-10266N,0.356663297,0.087838502,0.09899017,0.161945457,0.433182078,0.174020208,0.175889581,0.157561433
DIP-10267N,0.012144393,0.003673982,0.002813781,0.007426475,0.008103473,0.006849531,0.005956184,0.004323748
DIP-10268N,0.014063082,0.007973402,0.005092943,0.01218794,0.02372088,0.009399847,0.01359933,0.009921952
DIP-1026N,0,0,0,0,0,0,0,0
DIP-10273N,0.206661262,0.018697609,0.004777528,0.03891945,0.046298414,0.025313657,0.012378179,0.038467905
DIP-10274N,0.008109825,0.005095262,0.001654231,0.00545757,0.011304845,0.006100755,0.003603625,0.003910843
DIP-10275N,0,0,0,0,0,0,0,0
DIP-10276N,0,0,0,0,0,0,0,0
DIP-10277N,0.01718995,0.006019375,0.00168963,0.006909485,0.020680292,0.006531071,0.00444764,0.003545906
DIP-10278N,0.008745215,0.003855621,0.001430036,0.004735684,0.010411605,0.005482257,0.00457905,0.003811143
DIP-10279N,0.020920908,0.006275918,0.001568456,0.003844181,0.0234672,0.009443273,0.00260149,0.001713698
DIP-1027N,0.006103497,0.00151959,0.000694368,0.005093913,0.002833357,0.001506765,0.001470082,0.002988155
DIP-10280N,0.032257762,0.010953597,0.003922501,0.015222034,0.030748892,0.023305514,0.012762793,0.010889787
DIP-10281N,0.03545662,0.013321461,0.00410222,0.013025166,0.053237102,0.020953907,0.010795917,0.011949797
DIP-10282N,0.013380742,0.005635499,0.002299131,0.00461356,0.03121695,0.007928612,0.002101491,0.003296658
DIP-10283N,0.022711267,0.012240988,0.00356261,0.014006226,0.028451479,0.018772059,0.009104681,0.016222754
DIP-10284N,0.009502675,0.004507275,0.001102821,0.005198397,0.010736744,0.00489929,0.00264102,0.003248689
DIP-10285N,0.010191274,0.002365056,0.001633808,0.004312322,0.007020866,0.001747585,0.001853629,0.000730814
DIP-10286N,0.021274598,0.00495482,0.002883671,0.007673436,0.020851794,0.006903485,0.006211525,0.004619083
DIP-10287N,0.006607426,0.004179576,0.002251478,0.006545828,0.005706017,0.002583214,0.003507471,0.004826947
DIP-10288N,0.007533906,0.003335983,0.002693514,0.006895915,0.011529941,0.004861128,0.004580118,0.006198281
DIP-10289N,0.005089377,0.00268901,0.001618832,0.007541814,0.006513506,0.003571494,0.00430341,0.00375471
DIP-1028N,0,0,0,0,0,0,0,0
DIP-10293N,0.007662236,0.003441783,0.002077659,0.008252845,0.010765328,0.003220135,0.004623922,0.004566412
DIP-10295N,0.006078457,0.00214222,0.000706622,0.006639456,0.009261112,0.003726777,0.001512817,0.000986646
DIP-1029N,0,0,0,0,0,0,0,0
DIP-10304N,0.006641856,0.00169093,0.000224195,0.003595863,0.00994712,0.00070535,0.000713674,0.000839919
DIP-10306N,0.006901646,0.001436261,0.001024307,0.00351309,0.010965414,0.001296213,0.001231835,0.002165166
DIP-10307N,0,0,0,0,0,0,0,0
DIP-10310N,0.011111494,0.003952995,0.001963293,0.008427889,0.025267972,0.0037452,0.004208324,0.003922129
DIP-10311N,0.009446335,0.001922193,0.002011853,0.005994914,0.017021581,0.002334499,0.002614311,0.003630556
DIP-10312N,0.042420866,0.011626786,0.000640362,0.005069488,0.043922395,0.018776007,0.002276705,0.002031607
DIP-10313N,0.036082619,0.010851542,0.000794212,0.003880818,0.03718022,0.014412309,0.001961534,0.003908021
DIP-10314N,0,0,0,0,0,0,0,0
DIP-10316N,0,0,0,0,0,0,0,0
DIP-10317N,0.030542523,0.005720701,0.003163234,0.009076501,0.032045877,0.008499735,0.007114301,0.004483643
DIP-10318N,0.019302699,0.005172038,0.002049068,0.00878069,0.022902673,0.006248141,0.004849349,0.004299293
DIP-10321N,0.005252137,0.002348202,0.001361053,0.004446658,0.007946263,0.003483326,0.002589738,0.002133187
DIP-10322N,0,0,0,0,0,0,0,0
DIP-10323N,0.014660912,0.003360326,0.001657408,0.005065418,0.01951908,0.005011146,0.002964737,0.001163471
DIP-10324N,0.011167834,0.003974529,0.001518534,0.007522817,0.013441475,0.005134846,0.003607898,0.003935297
DIP-10325N,0.005574527,0.000892279,0.000569564,0.002536101,0.006767186,0.001543612,0.00069658,0.00109481
DIP-10326N,0,0,0,0,0,0,0,0
DIP-10327N,0.002344369,0.001289264,0.000626747,0.004454799,0.002890525,0.000879056,0.000975425,0.001117384
DIP-10329N,0,0,0,0,0,0,0,0
DIP-10331N,0,0,0,0,0,0,0,0
DIP-10332N,0.024464066,0.00599316,0.002408506,0.006464412,0.021098328,0.011096109,0.007695496,0.003465958
DIP-10333N,0.009922094,0.003127191,0.001795828,0.005083058,0.010404459,0.004778223,0.003242514,0.001260348
DIP-10339N,0,0,0,0,0,0,0,0
DIP-10340N,0.011158444,0.004293802,0.003284862,0.006536329,0.007860512,0.005732288,0.005479689,0.00319884
DIP-10341N,0.004932877,0.002123494,0.000766075,0.004232263,0.010400886,0.001808118,0.001167733,0.002098386
DIP-10343N,0.003831118,0.003249845,0.00164107,0.004935152,0.013963127,0.004870339,0.003136745,0.0032327
DIP-10344N,0.011527783,0.003667428,0.001619285,0.007175443,0.027008003,0.005055888,0.004014949,0.005463705
DIP-10353N,0,0,0,0,0,0,0,0
DIP-10355N,0.116069724,0.013122033,0.002063137,0.006031551,0.23564742,0.020736775,0.003012814,0.003639962
DIP-10358N,0.019114899,0.003394969,0.001759067,0.005859221,0.033432185,0.00418736,0.003398497,0.003601399
DIP-1035N,0,0,0,0,0,0,0,0
DIP-1036N,0.059930076,0.003950186,0.001864357,0.008311193,0.028397885,0.007735167,0.00449358,0.005919876
DIP-10371N,0,0,0,0,0,0,0,0
DIP-10372N,0.050258381,0.015664046,0.006382744,0.011616673,0.05124339,0.023452901,0.016083299,0.008660663
DIP-10373N,0,0,0,0,0,0,0,0
DIP-10375N,0,0,0,0,0,0,0,0
DIP-10376N,0.050258381,0.015664046,0.006382744,0.011616673,0.05124339,0.023452901,0.016083299,0.008660663
DIP-10377N,0,0,0,0,0,0,0,0
DIP-10380N,0.095968875,0.033401963,0.007574516,0.015961561,0.171084036,0.040856369,0.017710432,0.011401451
DIP-10382N,0.110739337,0.034382253,0.008310184,0.016189525,0.225267972,0.039069306,0.017690133,0.012490618
DIP-10383N,0.064033504,0.018586191,0.00309879,0.008412962,0.146094755,0.018999718,0.008163444,0.008928723
DIP-10385N,0,0,0,0,0,0,0,0
DIP-10393N,0,0,0,0,0,0,0,0
DIP-10395N,0,0,0,0,0,0,0,0
DIP-10396N,0,0,0,0,0,0,0,0
DIP-10397N,0.411729355,0.077394244,0.057888094,0.0424149,0.435847506,0.184088558,0.163101147,0.035540887
DIP-10398N,0.384329351,0.126406885,0.010827156,0.010331661,0.490378019,0.179294544,0.018180517,0.007309081
DIP-10399N,0.027240374,0.003791017,0.001004792,0.007914969,0.077958411,0.002654276,0.000769229,0.004709377
DIP-10400N,0.003073658,0.00123496,0.000618124,0.004813029,0.002908389,0.001521241,0.001922004,0.002697522
DIP-10401N,0,0,0,0,0,0,0,0
DIP-10404N,0,0,0,0,0,0,0,0
DIP-10405N,0.10565622,0.024217945,0.049951417,0.060049555,0.09349364,0.069940229,0.115451676,0.068045651
DIP-10408N,0.132254945,0.035106938,0.002731637,0.008161931,0.193354295,0.042160478,0.005596142,0.005024464
DIP-10409N,0.104185121,0.026156054,0.002691699,0.006000342,0.159432614,0.038757425,0.005099348,0.005261485
DIP-10410N,0.002366279,0.001438134,0.000938532,0.004465655,0.005030727,0.001744953,0.001322647,0.00291385
DIP-10417N,0.231134718,0.056050694,0.093120261,0.135812353,0.274821352,0.124087716,0.264994092,0.119739691
DIP-10430N,0.012494953,0.004684233,0.001535326,0.004548427,0.016599971,0.00566649,0.003217942,0.003400119
DIP-10431N,0.012494953,0.004684233,0.001535326,0.004548427,0.016599971,0.00566649,0.003217942,0.003400119
DIP-10433N,0.012494953,0.004684233,0.001535326,0.004548427,0.016599971,0.00566649,0.003217942,0.003400119
DIP-10434N,0.008607495,0.003348155,0.002073121,0.004544357,0.006756467,0.002913518,0.004667725,0.002934543
DIP-10435N,0.010601304,0.003370626,0.001549395,0.008465883,0.011290553,0.004699265,0.004977553,0.005123223
DIP-10436N,0.082622563,0.018078725,0.007146096,0.015463568,0.101064742,0.028112688,0.02215273,0.01328539
DIP-10437N,0.03548792,0.00597537,0.002708037,0.005973203,0.038612977,0.011956742,0.004900631,0.005266187
DIP-10439N,0.033315701,0.003611251,0.002909994,0.013672421,0.023778048,0.007298271,0.0057158,0.011763566
DIP-10440N,0,0,0,0,0,0,0,0
DIP-10441N,0.01763128,0.004629929,0.001545764,0.004960934,0.024771331,0.004299216,0.001641022,0.00134688
DIP-10442N,0.010128674,0.002571975,0.000841865,0.002384125,0.007842647,0.003403052,0.002660251,0.002544211
DIP-10446N,0,0,0,0,0,0,0,0
DIP-10449N,0.028063564,0.00662047,0.001851649,0.007220222,0.022184508,0.011648809,0.002950848,0.004367013
DIP-10451N,0,0,0,0,0,0,0,0
DIP-10455N,0.042877846,0.012366451,0.006346891,0.0120821,0.060436616,0.019832716,0.017648467,0.009771463
DIP-10456N,0.021496828,0.009709274,0.004000561,0.015101268,0.02968415,0.011748822,0.010977541,0.012214094
DIP-10457N,0,0,0,0,0,0,0,0
DIP-10458N,0.005392987,0.002237721,0.00141279,0.005809015,0.006113334,0.002488466,0.001744654,0.004452604
DIP-10459N,0.005392987,0.002237721,0.00141279,0.005809015,0.006113334,0.002488466,0.001744654,0.004452604
DIP-10460N,0.031278072,0.014576083,0.00326444,0.010295024,0.049949979,0.023570021,0.010977541,0.008265629
DIP-10461N,0.023512547,0.009210234,0.005690645,0.008863463,0.036833643,0.013374023,0.016689067,0.007029735
DIP-10463N,0.006131667,0.002099151,0.000534618,0.004243118,0.005538088,0.001876548,0.001680552,0.001691124
DIP-10464N,0,0,0,0,0,0,0,0
DIP-10467N,0.032123172,0.007598888,0.004187541,0.014520502,0.038934543,0.0130174,0.010006389,0.014109319
DIP-10469N,0.016592121,0.002602872,0.002014576,0.009776677,0.015721023,0.003460954,0.004864306,0.00515332
DIP-10471N,0,0,0,0,0,0,0,0
DIP-10472N,0.121531571,0.039103002,0.016665298,0.053606854,0.172534658,0.061401015,0.049840705,0.047749337
DIP-10476N,0,0,0,0,0,0,0,0
DIP-10479N,0.005233357,0.000987781,0.000845496,0.003469669,0.004423324,0.001014599,0.001699783,0.001354404
DIP-10483N,0.001946859,0.000252797,0.000264132,0.003967662,0.001957982,0.000402681,0.000898502,0.00191874
DIP-10486N,0.003630798,0.000968119,0.000792397,0.002164302,0.002683293,0.000277666,0.000389956,0.000225734
DIP-10487N,0.002262989,0.000981227,0.000463366,0.003887603,0.000850364,0.001335692,0.000380341,0.000684727
DIP-10488N,0.002860818,0.000249052,0.000273209,0.00252796,0.005277262,0.000693507,0.000814101,0.000901055
DIP-10489N,0.001026639,0.002417488,0.001612478,0.006422347,0.005527369,0.002830613,0.002239311,0.005523901
DIP-10490N,0.006369546,0.005047512,0.002583686,0.013216493,0.007660426,0.005490153,0.006991438,0.00887323
DIP-10496N,0.033196761,0.005481012,0.006838849,0.011482337,0.045226526,0.010948723,0.010753182,0.013787648
DIP-10497N,0,0,0,0,0,0,0,0
DIP-10498N,0.008250675,0.004041942,0.002944939,0.008064232,0.011240532,0.004259737,0.003584394,0.007018448
DIP-10500N,0.002798218,0.002290153,0.001285716,0.004332676,0.004905674,0.002243699,0.002473285,0.003656892
DIP-10501N,0.040348807,0.00590983,0.004043675,0.008133435,0.044147492,0.011618542,0.009947628,0.005322621
DIP-10502N,0.012532513,0.002249893,0.000794666,0.00416713,0.012198085,0.003746516,0.002629268,0.003808322
DIP-10504N,0.00084197,0.001675014,0.001023399,0.003502235,0.004373303,0.002779291,0.001494655,0.001984579
DIP-10505N,0.008554285,0.001886614,0.001245325,0.005723528,0.007185222,0.003030638,0.002678413,0.00261005
DIP-10508N,0.005120677,0.002245211,0.001934247,0.008448243,0.004094612,0.002856932,0.004248923,0.003306063
DIP-10509N,0,0,0,0,0,0,0,0
DIP-10515N,0,0,0,0,0,0,0,0
DIP-10516N,0.014016132,0.004542854,0.001423682,0.006662524,0.022963413,0.005038781,0.004403837,0.003512046
DIP-10517N,0.011693673,0.003926779,0.001431398,0.004794032,0.014223953,0.004603201,0.003798069,0.003153693
DIP-10520N,0.021988237,0.005589621,0.002032276,0.009289539,0.051697156,0.007300903,0.003720078,0.005228565
DIP-10521N,0.021988237,0.005589621,0.002032276,0.009289539,0.051697156,0.007300903,0.003720078,0.005228565
DIP-10522N,0.012676493,0.003343473,0.001012961,0.005810372,0.0102008,0.004162357,0.003150634,0.002972165
DIP-10524N,0.015083461,0.002389399,0.000240533,0.002183299,0.016607117,0.004601885,0.001178416,0.00074022
DIP-10528N,0,0,0,0,0,0,0,0
DIP-10531N,0.001708979,0.000508403,0.0006449,0.003005599,0.001607832,0.000814574,0.000942306,0.000932094
DIP-10532N,0.006951726,0.002640323,0.002151181,0.008045235,0.015302987,0.001825226,0.004647426,0.00481566
DIP-10535N,0.025809965,0.011058461,0.005530895,0.011926053,0.026704302,0.015579559,0.011326899,0.010245505
DIP-10537N,0,0,0,0,0,0,0,0
DIP-10538N,0.005605827,0.002133793,0.000938532,0.007543171,0.005666714,0.002081836,0.002001064,0.00063958
DIP-10546N,0.064991283,0.005543743,0.004013722,0.011936908,0.027279548,0.006915329,0.007722206,0.008263748
DIP-10547N,0,0,0,0,0,0,0,0
DIP-10548N,0,0,0,0,0,0,0,0
DIP-10549N,0,0,0,0,0,0,0,0
DIP-10550N,0,0,0,0,0,0,0,0
DIP-10552N,0.030245173,0.007007156,0.003934301,0.008839038,0.035425897,0.008145744,0.010418781,0.00526995
DIP-10553N,0,0,0,0,0,0,0,0
DIP-10555N,0.008519855,0.003886519,0.002327723,0.006396565,0.009904245,0.006978495,0.008097205,0.005228565
DIP-10556N,0.011324334,0.004197365,0.001916094,0.006380282,0.016685722,0.006917961,0.00520298,0.003124536
DIP-10557N,0.002047019,0.001274284,0.000693461,0.004970433,0.001743604,0.001159354,0.000897434,0.00112773
DIP-10558N,0,0,0,0,0,0,0,0
