p,t1,t2,t3,t4,t5,t6,t7,t8
DIP-35938N,0.120295221,0.02359906,0.003345676,0.009778033,0.170101472,0.02930494,0.00802135,0.008594824
DIP-35939N,0.001186269,0.00033519,0.000308154,0.001940409,0.001079034,0.000278982,0.000549144,0.000802296
DIP-35940N,0.020282388,0.005426707,0.002802435,0.013330475,0.01909747,0.00744829,0.009202972,0.004936051
DIP-35942N,0.007856296,0.004075648,0.0023191,0.007411549,0.011755038,0.005051941,0.004449777,0.004880558
DIP-35943N,0.011878343,0.003940823,0.000827796,0.004498221,0.013495069,0.003914958,0.001467946,0.002914791
DIP-35945N,0.007994015,0.002490518,0.001266655,0.007252788,0.008339288,0.003725461,0.003136745,0.003847825
DIP-35946N,0.049025162,0.010624025,0.002770666,0.011063046,0.065202944,0.017088956,0.006939088,0.0081838
DIP-35948N,0.001270779,0.00091475,0.000483789,0.002476396,0.001061169,0.000513221,0.001350424,0.000686608
DIP-35950N,0.013252412,0.004493231,0.001432305,0.004944651,0.038194941,0.005908626,0.003382471,0.002948651
DIP-35951N,0.2457299,0.071961919,0.126540715,0.18242695,0.141474918,0.258050338,0.150499678,0.219089013
DIP-35952N,0.021406058,0.002892184,0.001807627,0.010384581,0.013127054,0.004928241,0.001229698,0.005498505
DIP-35953N,0.029121503,0.003182432,0.001639708,0.004469726,0.030048592,0.009227457,0.004601486,0.003066221
DIP-35954N,0.013321272,0.002883757,0.001900664,0.009332961,0.013291411,0.005708601,0.004366444,0.006245309
DIP-35956N,0.002723098,0.001750853,0.000417075,0.005370727,0.00207589,0.002622693,0.001877133,0.000562454
DIP-35957N,0.14035851,0.076339051,0.021150555,0.038314259,0.172309561,0.097498901,0.057659065,0.035240849
DIP-35958N,0.05321623,0.016467378,0.004394036,0.00974411,0.055888238,0.028319292,0.016230735,0.007094633
DIP-35960N,0.010770324,0.002291089,0.002064952,0.003384182,0.005312991,0.002635852,0.002935891,0.002469907
DIP-35961N,0,0,0,0,0,0,0,0
DIP-35965N,0.002341239,0.000976545,0.000542787,0.003912028,0.002708304,0.000731669,0.001522433,0.001963886
