,E4N
0,0.0
1,0.0
2,0.004851547
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,2.2575e-05
9,0.002552525
10,0.0008916447500000001
11,0.0027642615000000002
12,0.0
13,0.00249123725
14,0.002842113
15,4.97e-05
16,0.009274415000000001
17,0.002161945
18,0.000719
19,0.0050424927500000005
20,0.02543877875
21,0.017900058750000003
22,0.00997611425
23,0.009251941
24,0.0094311755
25,0.018982509
26,0.0
27,0.0002055
28,0.0147189135
29,0.00145375
30,0.0007475
31,0.00414332575
32,0.00387212475
33,0.00466850625
34,0.00017375
35,0.013709824999999998
36,0.018399984
37,0.0003025
38,0.0021282377500000003
39,0.005736739249999999
40,0.00902453075
41,0.0050869142499999995
42,0.0
43,0.0160439185
44,0.022684767249999998
45,0.001090799
46,0.01793944475
47,0.0006360000000000001
48,0.013408746749999999
49,0.0013208496666666668
50,0.0
51,0.0
52,0.00046625000000000003
53,0.0
54,0.0011451877500000002
55,0.0001615
56,3.575e-05
57,0.0067112825000000004
58,0.0
59,0.0
60,0.0
61,0.0
62,0.00539250275
63,0.00021725
64,0.0033818282500000002
65,0.0020759105
66,0.002083455
67,0.000229
68,0.02392448175
69,0.007402395249999999
70,0.013641603750000002
71,0.00278938075
72,0.03166709125
73,0.013456559750000001
74,0.022381637750000002
75,0.0007915000000000001
76,0.004508603
77,0.002184627
78,0.0035871755000000003
79,0.00709339875
80,0.00164460825
81,0.0
82,0.005740885
83,0.0006503333333333334
84,0.0007208993333333333
85,0.0029355525
86,0.002218855
87,0.0
88,0.001198668
89,0.005579887249999999
90,0.0054395929999999995
91,0.0
92,0.0018281412500000002
93,0.02906158375
94,0.00484604075
95,0.0
96,6.8075e-05
97,0.0953858215
98,0.0051101385
99,0.008128049
100,0.0002735
101,0.00719614425
102,8.132500000000001e-05
103,0.0022303316666666666
104,0.0269839905
105,0.00835941325
106,0.0005870000000000001
107,0.0
108,0.0007731745
109,0.00214580975
110,0.00775304875
111,0.0091894855
112,0.00045
113,0.012428268
114,0.059143624000000006
115,0.0
116,0.00138156825
117,0.03401462075
118,0.001904757
119,0.0023276725
120,0.0
121,0.0009678692499999999
122,0.004158848999999999
123,0.0059458077500000005
124,0.008079362999999999
125,0.002326461
126,0.034898016750000004
127,0.0016755354999999999
128,0.001770295
129,0.0
130,0.0
131,0.0006000000000000001
132,0.010095234
133,0.0016980220000000002
134,0.009274184
135,0.011748269750000002
136,0.0120913355
137,0.00674740825
138,0.002549063
139,0.0033818285
140,0.0
141,0.021698517
142,0.001147192
143,0.0026136665
144,0.0016998665000000001
145,0.002848167
146,0.002000737
147,0.0017124190000000002
148,0.005321588
149,0.0022149833333333334
150,0.0002815
151,0.0016597587500000001
152,0.00093125
153,0.00218524475
154,0.0
155,0.0088043855
156,0.0
157,0.00704922775
158,0.0003675
159,0.000117225
160,0.0
161,0.00297928025
162,0.040708354
163,0.00029325
164,0.00879513975
165,0.0048418572500000005
166,0.00045
167,0.001439743
168,0.0025188855
169,0.007055536249999999
170,0.00553790675
171,0.001198668
172,0.00042124999999999997
173,0.00017299999999999998
174,0.07611468666666667
175,2.8849999999999997e-05
176,0.0
177,0.0025098894999999997
178,0.0014850573333333335
179,0.011775497250000001
180,0.01520991375
181,0.0283729515
182,0.0083248745
183,0.0
184,0.0016989025
185,0.0
186,0.0
187,0.005878767249999999
188,0.005954224
189,0.000673
190,0.00023574999999999998
191,0.0
192,0.0
193,0.0
194,0.005636685
195,0.0
196,0.0
197,0.0
198,0.00460991325
199,0.0
200,0.05319242375
201,0.032734485
202,0.064215727
203,0.154030225
204,0.00025472
205,0.00015075
206,0.001172402
207,0.009197189250000001
208,0.003486111
209,0.00285067025
210,0.0
211,0.0
212,0.0030291017500000002
213,0.005428330333333333
214,0.0032678625
215,8.0225e-05
216,0.007671313000000001
217,0.021233319666666667
218,0.00214965025
219,0.0
220,0.0007012215
221,0.0
222,0.00223663475
223,0.00943504525
224,0.0023997684999999998
225,0.00907196225
226,0.00066275
227,0.0
228,0.0019223346666666667
229,0.0
230,0.0461412805
231,0.0
232,0.0030050705
233,0.0030655170000000002
234,0.0
235,0.012546953
236,0.00996844325
237,0.00156953225
238,0.0008795292500000001
239,0.00029975
240,0.002825081
241,0.0
242,0.0
243,0.0001075
244,0.022267604
245,0.0001345
246,0.0
247,0.005354846
248,0.001080846
249,0.0033818285
250,0.00024250000000000004
251,0.0
252,0.014723959250000002
253,0.00554858875
254,0.013734400249999999
255,0.010895527499999998
256,0.0105092605
257,0.006215676000000001
258,0.013711011249999999
259,0.0
260,0.007975517
261,0.010262684
262,0.0
263,0.000427
264,0.0
265,0.00044675
266,0.0023604760000000002
267,0.0009945400000000001
268,0.011162344749999997
269,9.502499999999999e-05
270,0.00104327375
271,0.026250837
272,0.00498340575
273,0.0
274,0.014001097
275,0.010375392
276,0.0
277,0.007580838249999999
278,0.0023760252500000002
279,0.038591718750000004
280,0.019299945
281,0.0051502332500000005
282,0.007162746250000001
283,0.0
284,0.009933614
285,0.001907238
286,0.00660645
287,0.00030525
288,0.0
289,0.0
290,0.0
291,0.00791358875
292,0.0
293,0.0033092942500000003
294,8.340000000000001e-05
295,0.00050225
296,0.00102481425
297,0.00544144275
298,0.016690897
299,0.1066335075
300,0.0013091755
301,0.003990388750000001
302,0.020919830749999997
303,0.00046025
304,0.00667335275
305,0.010713496999999999
306,0.0
307,0.019833196999999997
308,0.009018203999999998
309,0.0135766335
310,0.01000647625
311,0.0
312,0.00246623625
313,0.000219855
314,0.037931296249999996
315,0.012596524500000001
316,0.0034165245
317,0.00412778025
318,0.00014525
319,0.0
320,0.00435596725
321,0.0193997995
322,0.00916481225
323,0.004885686249999999
324,0.000793
325,0.0
326,6.12e-05
327,0.00776718875
328,0.1577580075
329,0.0035307935
330,0.0
331,3.64e-05
332,0.0
333,0.00252778
334,0.0
335,0.0
336,0.00526624475
337,0.0025355894999999997
338,0.007881530999999999
339,0.00075875
340,0.00032
341,0.0033818285
342,0.0061807665000000005
343,0.01548288275
344,0.0051502332500000005
345,7.565e-05
346,0.0024574015
347,0.00127124375
348,0.0029912987500000003
349,0.0028028627499999998
350,0.0028007115
351,0.0
352,0.002297299
353,0.002652714
354,0.00209330075
355,0.0006529999999999999
356,0.005330348
357,0.01094785375
358,4.4125e-07
359,0.0047008815
360,0.062692194
361,0.0013087939999999998
362,0.046859328750000005
363,0.0010054977500000002
364,0.06157875874999999
365,0.00143988125
366,0.0011021092499999999
367,0.00431207475
368,0.0
369,0.01434078825
370,0.00055625
371,0.00212341775
372,0.0007731745
373,0.005576134
374,0.0
375,0.0
376,0.0
377,0.001198668
378,0.0025008947499999996
379,0.034151588000000004
380,0.0006670000000000001
381,0.0006503333333333334
382,0.0006360000000000001
383,0.0048684185
384,0.0
385,0.01316643575
386,0.0043186785
