row,col
115,1115
115,1164
115,1256
115,1334
115,1411
115,1441
115,1520
115,1740
115,1750
115,1786
115,1885
115,1944
115,2058
115,2261
115,2350
115,2367
115,2418
115,2491
115,2584
115,2609
115,2687
115,2737
115,3161
115,3189
115,3234
115,3236
115,3254
115,3352
115,3362
115,3505
115,3593
115,3687
115,3801
115,3850
115,3996
115,4023
115,4120
115,4140
115,4326
115,4367
115,4387
115,4407
115,4534
115,4733
115,4795
115,4909
115,4959
115,5038
117,3019
118,640
118,1263
118,1457
118,1570
118,1709
118,1789
118,1837
118,1876
118,2041
118,2119
118,2235
118,2262
118,3356
118,3720
118,4861
119,2001
120,1557
120,1637
120,3621
120,3903
122,1520
122,3996
123,258
123,261
123,639
123,2457
123,2840
123,3985
123,4143
123,4225
123,4319
123,4555
124,819
124,981
124,1881
124,3896
124,4288
124,4306
125,182
125,2671
125,2719
125,3996
125,4293
126,465
126,931
126,989
126,1067
126,1183
126,1450
126,2533
126,2625
126,3060
126,3507
126,3548
126,3653
126,3903
126,5011
127,201
127,630
127,1008
127,2041
127,2387
127,2594
127,3010
127,3277
127,3374
127,3728
127,4358
127,4503
127,4663
127,4819
127,4920
127,5020
128,1075
128,1144
128,1297
128,3808
128,4264
128,5056
129,566
129,719
129,751
129,1405
129,2292
129,2312
132,3881
134,689
134,859
134,3535
134,4064
135,182
135,236
135,281
135,535
135,956
135,4260
135,4287
135,4313
136,204
136,247
136,487
136,1005
136,1782
136,2079
136,2191
136,2321
136,2390
136,2575
136,2747
136,3742
137,430
137,708
137,954
137,1188
137,1402
137,1431
137,1676
137,1814
137,2380
137,2880
137,2945
137,2966
137,3205
137,3226
137,3356
137,3360
137,3791
137,4262
137,4275
137,4354
137,4401
137,4462
137,4509
137,4575
137,4859
138,2435
138,2594
138,3071
138,4868
138,4895
139,432
139,1766
139,4114
139,4425
139,4807
140,2747
142,271
142,507
142,519
142,640
142,717
142,855
142,860
142,1740
142,1989
142,2096
142,2737
142,2772
142,3835
142,4108
142,4446
142,4868
143,386
143,753
143,2980
144,2747
145,206
145,1256
145,4094
146,2362
147,853
147,4206
148,1332
149,998
149,1256
149,4722
150,2071
150,2650
151,2080
151,2953
151,4292
152,475
152,4117
153,308
153,1180
154,1029
154,2945
155,630
155,707
155,903
155,916
155,1598
155,1754
155,2291
155,3390
155,3963
155,4353
155,4579
156,231
156,234
156,3142
156,4104
156,4440
156,5020
157,2267
157,2309
157,3205
157,4084
157,4185
157,4462
158,365
158,1846
158,2531
158,2860
158,4455
159,590
159,3718
160,737
160,4516
162,895
162,1577
162,1792
162,2262
162,2823
162,3235
162,4042
162,4578
163,189
163,275
163,280
163,365
163,472
163,725
163,743
163,828
163,1076
163,1110
163,1196
163,1317
163,1341
163,1383
163,1450
163,1453
163,1460
163,1570
163,1576
163,1625
163,1761
163,2076
163,2081
163,2429
163,2466
163,2607
163,2787
163,2985
163,3323
163,3395
163,3614
163,3661
163,3733
163,3854
163,3920
163,4068
163,4095
163,4263
163,4301
163,4354
163,4739
163,4795
164,2702
164,3403
165,3148
165,3286
165,3924
165,4121
165,4790
166,2747
166,3406
166,4442
166,4718
167,412
167,2073
168,4143
169,821
169,1131
169,2289
170,358
170,571
170,1052
170,2165
170,4188
170,4354
170,4492
170,4733
170,4987
170,5067
171,2747
171,3672
172,3519
173,3451
174,785
175,218
175,262
175,512
175,606
175,734
175,982
175,1066
175,1147
175,1230
175,1457
175,1469
175,1570
175,1709
175,1731
175,1837
