,B6N
269,440.291825
270,0.0
271,10.502647999999999
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,794.0
279,5705.50004
280,22229.0575
281,0.0
282,3643.24438
283,0.0
284,0.0
285,0.0
286,3570.0435319999997
287,3647.311725
288,0.0
289,0.0
290,0.0
291,0.0
292,200.0535875
293,0.0
294,0.0
295,589.97707
296,0.0
297,0.0
298,12026.5126
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,13928.595800000001
306,118.42594
307,14334.079333333333
308,60.955422
309,0.0
310,0.0
311,0.0
312,2650.4
313,0.0
314,0.0
315,0.0
316,6622.0
317,9419.2868
318,0.0
319,0.0
320,0.0
321,3313.0
322,0.0
323,0.0
324,110.42807699999999
325,3783.474308
326,0.0
327,13270.756246
328,6849.22794
329,0.0
330,0.0
331,0.0
332,2519.0
333,164.05726266666667
334,0.0
335,1116.3895425
336,0.0
337,0.0
338,0.0
339,461.61193249999997
340,0.0
341,4804.542675
342,3478.74766
343,152.177545
344,18892.709000000003
345,0.48382472499999996
346,5404.70115
347,0.0
348,0.0
349,0.0
350,104.24001200000001
351,0.0
352,13488.287250000001
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,10.3546525
360,0.0
361,0.0
362,0.0
363,0.0
364,397.41107
365,0.0
366,0.0
367,0.0
368,355.1791225
369,0.0
370,185.32546280000003
371,0.0
372,0.0
373,0.0
374,18283.7334
375,0.0
376,3020.329175
377,5311.288860000001
378,2682.9977599999997
379,0.0
380,6863.3849
381,0.0
382,0.0
383,0.0
384,6188.642199999999
385,0.0
386,0.0
387,0.0
388,334.7080608333334
389,2573.78555375
390,0.0
391,0.0
392,40349.80725
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,27277.810250000002
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,29013.41975
419,794.0
420,0.0
421,12895.18625
422,731.5204760000001
423,0.0
424,0.0
425,0.0
426,4950.3066739999995
427,7921.147068
428,2484.6408552
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,6409.328
446,0.0
447,0.0
448,0.0
449,22.487775499999998
450,3176.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,23.14929075
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,110967.45040000002
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,8298.916864
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,5888.539375
482,0.0
483,353.700194
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,9012.261166666665
491,9134.83324
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,424.07358
499,0.0
500,0.0
501,0.0
502,0.0
503,6631.6862
504,0.0
505,3313.0
506,8308.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,246.542005
513,0.0
514,0.0
515,0.0
516,112.3427485
517,0.0
518,0.0
