,E3N
0,0.005855538333333333
1,0.0
2,0.0
3,0.0
4,0.022553879666666665
5,0.0010817966666666666
6,0.00023666666666666668
7,0.0
8,0.0
9,0.0029141866666666668
10,9.876666666666666e-05
11,0.002251233
12,0.00010003333333333333
13,0.0
14,0.0
15,0.002357442666666667
16,0.0
17,0.0
18,0.0
19,0.0020729213333333333
20,0.0007430000000000001
21,0.0018540433333333335
22,0.00016166666666666668
23,0.0016595630000000002
24,3.6666666666666666e-05
25,0.0
26,0.012414529333333334
27,0.0
28,0.0
29,0.0
30,4.783333333333334e-05
31,0.003213287
32,0.0
33,2.7233333333333332e-06
34,0.005058400666666667
35,0.01988209233333333
36,0.0
37,0.0
38,0.0
39,0.005116264333333334
40,0.0
41,0.0018158613333333334
42,0.005603845333333333
43,0.00017533333333333333
44,0.003184025
45,0.0
46,0.0
47,0.0
48,0.0
49,0.00016033333333333335
50,0.0014602423333333334
51,0.0
52,0.0028624500000000003
53,0.013089009333333334
54,0.023355578
55,0.009051798
56,0.0031609170000000005
57,0.0
58,0.00016366666666666667
59,0.0
60,0.004713941
61,0.0
62,6.520000000000001e-06
63,0.0
64,0.0
65,0.0048609176666666665
66,0.0
67,0.06140482233333333
68,0.00418955
69,6.763333333333333e-05
70,0.0008253056666666668
71,0.007541004666666667
72,3.733333333333333e-05
73,0.0012755969999999998
74,0.0
75,0.0
76,0.0
77,0.004704481333333333
78,0.002169617
79,0.0
80,0.0
81,0.06229430766666666
82,0.007131942333333333
83,0.0
84,0.01385189
85,0.00016366666666666667
86,0.0004266666666666666
87,0.0005843333333333333
88,0.004430844000000001
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.00030866666666666667
95,0.0
96,7.906666666666667e-05
97,1.4936666666666666e-06
98,0.004017333666666667
99,1.3233333333333334e-05
100,0.004619399000000001
101,0.0015175296666666666
102,0.0
103,0.00015566666666666666
104,0.0
105,0.0
106,0.0
107,7.623333333333333e-06
108,0.001218745
109,0.0
110,0.0
111,0.0
112,3.0166666666666667e-05
113,0.0
114,0.0
115,1.4999999999999998e-06
116,4.87e-05
117,0.000553
118,0.00013600000000000003
119,0.0
120,0.0
121,0.0
122,4.783333333333334e-05
123,0.0
124,0.0
125,0.009981340666666666
126,0.0
127,0.0028807383333333335
128,0.00010036666666666666
129,0.0003586666666666667
130,0.00036166666666666666
131,0.00036899999999999997
132,8.886666666666668e-05
133,0.0
134,0.0019672770000000003
135,0.0
136,0.07402779500000001
137,0.004854497
138,0.0
139,0.0
140,0.0002773333333333333
141,8.526666666666666e-06
142,0.0051923130000000005
143,0.0035316186666666666
144,0.0
145,0.0005826666666666667
146,0.0005456666666666666
147,0.0
148,0.00017533333333333333
149,0.000874729
150,0.0
151,0.033047177000000004
152,0.0012159983333333334
153,0.0
154,0.0
155,0.0025141539999999998
156,0.013738509666666667
157,0.0001034
158,0.0
159,0.008682369333333334
160,0.005120885333333333
161,0.003610907
162,0.0033212656666666666
163,0.0010657036666666664
164,0.0037214086666666666
165,0.0031870490000000004
166,0.002863909
167,0.000559
168,0.0007086666666666666
169,0.0
170,0.006576255333333333
171,0.006848211333333333
172,0.0
173,0.010870570000000001
174,2.8099999999999998e-06
175,0.0
176,9.016666666666667e-05
177,0.010886614000000001
178,0.003425583333333334
179,0.00023666666666666668
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0004709999999999999
185,0.0
186,0.000687
187,0.0002576666666666667
188,0.005378699000000001
189,0.0
190,0.022923856333333336
191,0.0
192,0.0
193,0.00016633333333333336
194,0.000161
195,0.0
196,0.00015533333333333336
197,0.008020834999999999
198,0.002881726333333333
199,0.008372428333333333
200,0.0
201,0.0
202,0.0021517946666666666
203,0.0
204,0.0
205,0.0
206,0.0017784133333333333
207,0.0
208,0.0
209,0.002808562
210,0.0
211,0.014506074333333334
212,0.0023691429999999998
213,0.004283624666666666
214,0.0
215,0.0
216,0.0
217,0.0
218,0.01101332833333333
219,1.1236666666666667e-08
220,0.0
221,1.633333333333333e-05
222,0.0
223,0.0
224,0.002520409
225,0.00017900000000000001
226,9.056666666666668e-05
227,0.0
228,0.02013456433333333
229,0.004187703666666666
230,0.018912658666666665
231,2.0700000000000002e-05
232,0.0006696666666666666
233,0.001463832
234,0.008174265
235,0.00231391
236,1.608666666666667e-07
237,0.0
238,0.027922851999999998
239,0.00017433333333333333
240,0.0
241,0.0009118310000000001
242,0.0
243,0.002549058
244,0.0028031759999999997
245,0.0
246,0.0036340769999999994
247,0.0005070000000000001
248,5.396666666666666e-06
249,0.006145544
250,9.966666666666667e-05
251,0.0
252,0.02417353966666667
253,0.00013466666666666664
254,0.0
255,0.012580255
256,0.0
257,1.2383333333333332e-05
258,0.00013876666666666666
259,0.0005693333333333333
260,0.00014076666666666668
261,0.0012320879999999999
262,0.000201
263,0.004555453333333333
264,0.007308747666666666
265,0.0
266,0.006364373333333333
267,0.007264379666666665
268,0.00022400000000000002
269,0.004672211
270,6.936666666666665e-05
271,0.0034650853333333333
272,7.193333333333334e-06
273,0.0
274,0.0
275,0.002874849
276,0.000248
277,1.1236666666666667e-08
278,0.0004690556666666667
279,0.09944431333333333
280,0.022190862333333335
281,0.0
282,0.016565893666666668
283,9.3e-06
284,0.0009455453333333334
285,0.0
286,0.0043019116666666675
287,0.000927676
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0030953133333333333
293,0.0
294,0.000579
295,0.013810173333333333
296,0.0011820499999999998
297,0.0
298,0.004589239333333333
299,0.0
300,0.0
301,0.0
302,0.0
303,9.676666666666667e-05
304,0.0
305,0.0032214279999999997
306,0.006476461
307,0.0013478723333333331
