,S3N
0,99860000000.0
1,0.0
2,0.0
3,0.0
4,3275533333333.3335
5,3209933333.3333335
6,474147700.53333336
7,0.0
8,0.0
9,29400333333.333332
10,28145701.656666666
11,37414666666.666664
12,23667245.680000003
13,0.0
14,1.542932633333333
15,23088333333.333332
16,0.0
17,0.0
18,0.0
19,13305333333.333334
20,1520800000.0
21,10684333333.333334
22,95602083.35333334
23,8434666666.666667
24,4864404.238666667
25,0.0
26,1442066666666.6667
27,0.0
28,0.0
29,0.0
30,6358241.789999999
31,38902333333.333336
32,0.0
33,17670.593033333334
34,90930666666.66667
35,1276233333333.3333
36,1.5409127999999999
37,1.5428623666666665
38,0.0
39,90617333333.33333
40,0.0
41,18196200000.0
42,130023333333.33333
43,67506698.53333335
44,37233333333.333336
45,0.0
46,0.0
47,0.0
48,1.5433675
49,95590217.8
50,5057100000.0
51,0.0
52,79772666666.66667
53,670510000000.0
54,2747566666666.6665
55,358416666666.6667
56,61180000000.0
57,0.0
58,68700544.86666666
59,0.0
60,63892666666.666664
61,0.0
62,72012.10646666666
63,0.0
64,0.0
65,262271333333.33334
66,0.0
67,12922666666666.666
68,266000000000.0
69,26917567.548333332
70,27666757908.963333
71,224270000000.0
72,2965076.582
73,8099433333.333333
74,0.0
75,0.0
76,0.0
77,73862000000.0
78,18073000000.0
79,0.0
80,0.0
81,13923666666666.666
82,162566666666.66666
83,0.0
84,641246666666.6666
85,68700544.86666666
86,464760471.3333333
87,872266666.6666666
88,73116666666.66667
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,264759867.4333333
95,0.0
96,12475856.14
97,3308.1288280000003
98,60036666666.666664
99,336199.68426666665
100,76828333333.33333
101,8453066666.666667
102,0.0
103,65954363.81666666
104,1.5405786
105,1.5445722666666668
106,0.0
107,131294.73289999997
108,3440066666.6666665
109,0.0
110,0.0
111,0.0
112,1895389.89
113,0.0
114,0.0
115,5590.344389999999
116,7757016.263333333
117,1795635703.0
118,52801883.68
119,0.0
120,0.0
121,1.5399776333333335
122,6358241.848
123,0.0
124,0.0
125,365626666666.6667
126,0.0
127,22745666666.666668
128,20347942.406666666
129,289162286.3333333
130,293224542.3333333
131,306036390.1666667
132,16420443.923333332
133,0.0
134,11895333333.333334
135,0.0
136,27975333333333.332
137,73577333333.33333
138,0.0
139,0.0
140,259826795.4333333
141,187820.58833333335
142,198100000000.0
143,122826333333.33333
144,0.0
145,872233333.3333334
146,1020366666.6666666
147,0.0
148,67506698.53333335
149,1896866666.6666667
150,0.0
151,16500000000000.0
152,11755833333.333334
153,0.0
154,0.0
155,20519333333.333332
156,1339770000000.0
157,22429846.583333332
158,1.5421142666666665
159,504620000000.0
160,115226000000.0
161,77239000000.0
162,64204333333.333336
163,39334137910.13333
164,123526333333.33333
165,37234000000.0
166,28626000000.0
167,1000900000.0
168,1356233333.3333333
169,0.0
170,210543333333.33334
171,350743333333.3333
172,0.0
173,672220000000.0
174,12317.580766666666
175,0.0
176,16926367.2
177,356270000000.0
178,33629333333.333332
179,474147700.53333336
180,0.0
181,0.0
182,1.5417467666666667
183,1.5402844
184,496048075.0
185,0.0
186,1052866666.6666666
187,174721392.06666666
188,84060000000.0
189,0.0
190,2101666666666.6667
191,0.0
192,0.0
193,168832429.51333335
194,164123866.33333334
195,0.0
196,53326542.26666667
197,330606666666.6667
198,23942333333.333332
199,464540000000.0
200,0.0
201,1.5447366333333334
202,12253000000.0
203,0.0
204,0.0
205,0.0
206,8714000000.0
207,0.0
208,0.0
209,24959000000.0
210,0.0
211,705020000000.0
212,19665000000.0
213,72410000000.0
214,0.0
215,0.0
216,0.0
217,0.0
218,436146666666.6667
219,2.5115245666666666
220,0.0
221,638536.0536666667
222,0.0
223,0.0
224,27403333333.333332
225,74862854.26666667
226,17029555.033333335
227,0.0
228,1562466666666.6667
229,53101000000.0
230,1311566666666.6667
231,908859.3026666668
232,1251400000.0
233,7383900000.0
234,867316000000.0
235,26774333333.333332
236,42.023336533333335
237,0.0
238,5446233333333.333
239,159592789.83333334
240,0.0
241,1922433333.3333333
242,0.0
243,22021000000.0
244,34168333333.333332
245,0.0
246,39993666666.666664
247,985817436.6666666
248,60980.23456666667
249,116593333333.33333
250,23633356.320000004
251,0.0
252,2100233333333.3333
253,146607148.22
254,0.0
255,610243333333.3334
256,0.0
257,339949.39379999996
258,45514878.36666667
259,1047833333.3333334
260,44536254.483333334
261,4172166666.6666665
262,94752409.06666666
263,61850333333.333336
264,197560000000.0
265,0.0
266,139290000000.0
267,156316666666.66666
268,112700320.39999999
269,78507333333.33333
270,10465517.790000001
271,50262000000.0
272,314253.01676666667
273,0.0
274,0.0
275,22678000000.0
276,150962635.4
277,1.8685128000000002
278,10000000001.027264
279,48866333333333.336
280,1881166666666.6667
281,0.0
282,1764796666666.6667
283,471591.00813333335
284,2409700000.0
285,0.0
286,55792333333.333336
287,2129433333.3333333
288,0.0
289,0.0
290,0.0
