,NC
0,0.0
1,0.0
2,3.94333328
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,2.68
10,0.0
11,0.0
12,0.32
13,2.2539682799999996
14,0.0
15,0.0
16,1.2702380999999998
17,0.0
18,0.0
19,0.0
20,1.1899767
21,2.4885713799999998
22,1.8166666599999999
23,0.123809528
24,0.0
25,1.50714288
26,0.0
27,0.0
28,0.9333333400000001
29,0.0
30,0.0
31,1.0
32,0.7333333599999999
33,0.314285724
34,0.0
35,1.0
36,6.36264582
37,0.0
38,0.0
39,0.0
40,1.2606061
41,0.7
42,0.0
43,1.3466666799999998
44,2.3083758600000004
45,0.0
46,12.1284206
47,0.0
48,2.0383150399999996
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,2.95
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.8
68,3.79111116
69,4.301202720000001
70,2.0452380750000003
71,1.2
72,1.29963564
73,0.132222222
74,1.89015874
75,0.0
76,1.9189789599999998
77,1.52555558
78,0.0
79,0.22142857999999999
80,2.40999998
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,1.6310806
92,0.0
93,3.1738095399999997
94,0.0
95,0.0
96,0.0
97,24.0461228
98,1.9
99,0.273809528
100,0.0
101,0.0
102,0.2
103,0.0
104,1.80026034
105,0.56666668
106,0.0
107,0.0
108,0.0
109,0.60000002
110,0.0
111,2.5806061000000002
112,0.0
113,1.17500004
114,9.3701857
115,0.0
116,0.0
117,1.6524326999999999
118,0.0
119,0.24000000000000005
120,0.0
121,0.0
122,2.8035714599999997
123,0.0
124,1.6199999999999999
125,2.5208333
126,1.8133333999999999
127,0.45333334000000003
128,0.5499999999999999
129,0.0
130,0.0
131,0.0
132,0.0
133,1.3333334
134,2.1880953
135,3.87626256
136,3.02098606
137,0.37
138,0.0
139,0.0
140,0.0
141,0.425363416
142,0.43333334
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.63333334
149,0.0
150,2.0
151,0.0
152,0.0
153,1.8666666800000002
154,0.4
155,0.0
156,0.8
157,0.53333334
158,0.0
159,0.0
160,0.0
161,6.7476191
162,2.1910783200000004
163,0.0
164,0.36000000400000004
165,0.0
166,2.0
167,0.0
168,0.0
169,2.54083082
170,0.0
171,0.0
172,0.0
173,0.0
174,4.98661934
175,0.0
176,0.0
177,0.0
178,0.0
179,1.8508484199999997
180,0.25
181,2.53693378
182,0.21414141400000003
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,1.01349212
194,0.469642875
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,2.40516608
201,0.456184058
202,0.49144752199999997
203,5.74495906
204,0.0
205,0.0
206,0.0
207,1.18095244
208,0.8000000199999999
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,5.21368466
215,0.0
216,0.0
217,0.9344655580000001
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,1.08
224,0.0
225,1.1864285799999998
226,1.20000004
227,0.0
228,0.0
229,0.48
230,4.073775400000001
231,0.0
232,0.5833333
233,0.0
234,0.0
235,1.0318182
236,4.9219047400000004
237,0.0
238,0.0
239,0.0
240,2.99999998
241,0.0
242,0.0
243,0.0
244,2.32184852
245,0.0
246,0.71942296
247,0.6666667
248,0.0
249,0.0
250,0.0
251,0.0
252,6.40313618
253,0.0
254,8.553581699999999
255,0.0
256,1.44000002
257,0.0
258,0.0
259,0.0
260,5.3073231000000005
261,1.9510145200000004
262,0.0
263,0.0
264,0.0
265,2.8333333400000003
266,0.0
267,0.6
268,1.44000004
269,0.0
270,0.0
271,0.5790476339999999
272,0.0
273,0.0
274,2.9470996
275,5.081320799999999
276,0.0
277,15.0933784
278,0.27142858
279,2.54666672
280,1.4590735
281,0.0
282,6.25280606
283,0.0
284,0.61666666
285,0.0
286,0.308333332
287,0.0
288,0.0
289,0.0
290,0.0
291,4.72690472
292,0.0
293,0.0
294,0.0
295,1.24
296,0.0
297,0.16
298,1.2039377075000002
299,2.64245998
300,0.0
301,0.0
302,0.69032966
303,0.0
304,0.40000001999999996
305,0.47857143999999996
306,0.0
307,2.5294387
308,0.26880952599999997
309,0.6666667
310,0.0
311,1.2
312,2.66666668
313,0.0
314,6.4704548399999995
315,0.37142856
316,0.0
317,0.0
318,2.8
319,0.0
320,2.0
321,5.53861896
322,4.766161639999999
323,0.0
324,3.0
325,0.0
326,0.0
327,12.3400462
328,27.402660200000003
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.56666668
338,1.43809526
339,2.0
340,0.0
341,0.0
342,4.13710012
343,0.78666668
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,3.85837906
350,0.0
351,0.0
352,0.0
353,0.0
354,1.8
355,0.0
356,0.0
357,3.5897435200000003
358,0.0
359,0.523809522
360,2.3506886600000003
361,0.0
362,7.902736680000001
363,0.0
364,4.26460358
365,0.0
366,2.7
367,0.0
368,0.0
369,0.0
370,0.0
371,1.2
372,0.0
373,0.37333333599999996
374,0.0
375,0.0
376,0.0
377,0.0
378,1.6
379,4.15318088
380,0.0
381,0.0
382,0.0
383,0.98200466
384,0.0
385,0.12666666000000001
386,3.06666664
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.60000002
393,0.0
394,4.06658002
395,0.0
396,0.2
397,0.0
398,0.0
399,0.20000000399999998
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,5.15739452
406,0.0
407,12.9930032
408,0.0
409,0.0
410,0.0
411,13.5227012
412,0.0
413,10.9057084
414,6.3333335
415,0.0
416,0.0
417,6.0
418,0.83166668
419,0.0
420,0.0
421,0.0
422,0.3
423,0.0
424,0.0
425,2.0
426,0.0
427,0.399813262
428,0.0
429,5.39462794
430,0.0
431,1.55522608
432,2.09968256
433,0.0
434,0.0
435,0.0
436,3.5130159599999997
437,2.3499999799999998
438,0.0
439,0.0
440,3.5785713999999995
441,0.0
442,0.0
443,0.0
444,0.0
445,1.9032034599999998
446,4.63149856
447,5.9937412199999995
448,0.0
449,0.27999999999999997
450,0.0
451,0.0
452,1.084761914
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.7466666799999999
461,0.0
462,3.6666666599999997
463,2.12156564
464,1.057575744
465,0.0
466,0.0
467,3.1577684599999998
468,0.0
469,0.0
470,0.0
471,2.78571425
472,4.5541336999999995
473,0.0
474,2.22812256
475,0.38601732
476,0.94666666
477,0.0
478,0.36000000399999993
479,1.19319
480,0.0
481,2.93333332
482,0.0
483,0.0
484,1.18126086
485,0.0
486,4.045642138
