,DC
0,0.0
1,0.0
2,5.2
3,1.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.0
9,5.4
10,1.0
11,2.0
12,5.2
13,10.0
14,4.6
15,1.0
16,10.6
17,4.0
18,2.0
19,1.8
20,11.6
21,13.2
22,8.0
23,6.2
24,4.8
25,10.8
26,2.25
27,1.0
28,4.8
29,1.0
30,3.0
31,5.8
32,3.8
33,7.4
34,1.2
35,3.0
36,21.6
37,1.75
38,1.0
39,4.0
40,12.4
41,5.0
42,0.0
43,6.8
44,24.8
45,1.6
46,19.0
47,1.8
48,14.2
49,1.0
50,0.0
51,1.0
52,5.8
53,0.0
54,5.0
55,1.0
56,1.8
57,6.0
58,0.0
59,0.0
60,0.0
61,0.0
62,3.0
63,1.0
64,1.0
65,2.0
66,1.0
67,2.6
68,9.8
69,15.8
70,13.5
71,4.2
72,27.6
73,10.2
74,8.6
75,2.0
76,26.8
77,9.4
78,2.0
79,8.2
80,5.8
81,3.8
82,3.8
83,1.0
84,1.8
85,3.6
86,1.0
87,1.0
88,1.0
89,2.8
90,2.0
91,12.4
92,1.6
93,16.8
94,2.8
95,0.0
96,1.0
97,96.4
98,6.6
99,8.4
100,1.0
101,1.0
102,1.4
103,2.0
104,24.0
105,4.6
106,1.4
107,1.0
108,1.0
109,3.4
110,2.4
111,12.0
112,2.0
113,9.6
114,61.8
115,0.0
116,1.0
117,15.2
118,1.0
119,5.2
120,1.6666666666666667
121,2.0
122,9.8
123,5.8
124,6.0
125,15.6
126,14.8
127,5.4
128,6.25
129,0.0
130,0.0
131,1.0
132,6.0
133,4.0
134,9.4
135,12.0
136,21.4
137,5.0
138,4.6
139,1.2
140,0.0
141,16.6
142,2.6
143,1.8
144,3.0
145,1.0
146,3.2
147,1.0
148,4.4
149,2.0
150,3.0
151,2.0
152,2.0
153,2.6
154,11.0
155,5.6
156,6.0
157,4.8
158,2.0
159,1.6
160,0.0
161,7.2
162,40.0
163,2.0
164,6.6
165,4.8
166,2.0
167,1.0
168,3.0
169,11.6
170,2.0
171,1.0
172,1.0
173,1.0
174,51.6
175,1.0
176,0.0
177,2.6
178,2.8
179,15.8
180,9.0
181,18.8
182,10.4
183,0.0
184,1.0
185,0.0
186,0.0
187,2.2
188,3.8
189,1.0
190,1.0
191,0.0
192,0.0
193,8.4
194,11.0
195,0.0
196,0.0
197,0.0
198,3.2
199,0.0
200,49.0
201,18.0
202,36.0
203,91.6
204,1.6
205,2.2
206,2.0
207,7.8
208,3.6
209,4.4
210,0.0
211,0.0
212,3.0
213,2.0
214,21.4
215,1.8
216,2.4
217,10.2
218,1.0
219,0.0
220,1.8
221,1.6
222,6.0
223,5.8
224,1.0
225,8.8
226,3.4
227,1.0
228,1.0
229,4.4
230,48.4
231,0.0
232,5.6
233,7.2
234,0.0
235,9.8
236,7.6
237,8.8
238,1.0
239,1.25
240,4.4
241,1.25
242,0.0
243,3.0
244,25.8
245,1.0
246,34.0
247,4.0
248,2.0
249,1.0
250,2.6
251,0.0
252,17.6
253,2.0
254,19.4
255,3.6
256,6.2
257,14.0
258,5.6
259,1.0
260,11.2
261,15.4
262,0.0
263,1.0
264,0.0
265,4.4
266,5.2
267,2.6
268,6.6
269,1.0
270,2.0
271,7.0
272,1.0
273,2.8
274,12.6
275,17.8
276,0.0
277,58.6
278,8.4
279,15.6
280,35.75
281,1.0
282,21.8
283,0.0
284,9.6
285,1.0
286,8.2
287,1.0
288,0.0
289,1.0
290,0.0
291,10.0
292,1.0
293,2.0
294,2.6
295,7.0
296,1.0
297,6.0
298,15.75
299,59.4
300,3.2
301,2.0
302,14.8
303,2.8
304,3.6
305,8.6
306,1.0
307,16.0
308,10.2
309,4.0
310,3.0
311,2.2
312,3.8
313,1.6
314,16.4
315,14.2
316,2.0
317,3.0
318,2.8
319,0.0
320,2.0
321,19.0
322,13.0
323,6.0
324,3.0
325,0.0
326,1.8
327,54.2
328,209.6
329,3.0
330,1.5
331,2.0
332,1.0
333,2.0
334,3.0
335,0.0
336,3.0
337,4.6
338,8.8
339,2.0
340,2.8
341,1.0
342,17.8
343,5.0
344,1.0
345,1.0
346,1.8
347,2.0
348,1.0
349,14.8
350,2.6
351,0.0
352,2.4
353,2.0
354,4.4
355,1.0
356,2.0
357,14.0
358,1.0
359,9.2
360,54.2
361,2.0
362,39.6
363,2.0
364,63.4
365,2.6
366,4.2
367,4.6
368,1.0
369,10.0
370,6.8
371,1.6
372,1.0
373,6.8
374,0.0
375,0.0
376,1.0
377,1.0
378,2.0
379,41.2
380,2.6
381,1.0
382,1.0
383,11.4
384,1.0
385,6.6
386,3.8
387,1.0
388,2.0
389,3.0
390,1.2
391,1.0
392,4.4
393,1.2
394,17.0
395,2.0
396,2.2
397,1.0
398,1.0
399,5.6
400,1.8
401,0.0
402,2.0
403,1.8
404,1.0
405,18.2
406,1.0
407,31.0
408,0.0
409,2.6666666666666665
410,3.0
411,27.2
412,4.0
413,28.8
414,10.6
415,1.0
416,1.0
417,6.0
418,9.0
419,1.0
420,1.0
421,1.0
422,7.4
423,1.6
424,1.0
425,4.0
426,0.0
427,16.4
428,0.0
429,20.6
430,1.0
431,28.2
432,8.8
433,1.0
434,1.0
435,5.8
436,11.0
437,3.8
438,2.6
439,1.0
440,11.0
441,3.0
442,1.8
443,2.0
444,2.0
445,10.4
446,13.2
447,22.6
448,1.0
449,5.6
450,1.6
451,3.0
452,8.2
453,0.0
454,1.0
455,1.0
456,3.0
457,1.0
458,2.0
459,1.0
460,9.2
461,1.8
462,7.0
463,12.8
464,12.0
465,5.0
466,2.0
467,69.0
468,0.0
469,0.0
470,1.8
471,6.25
472,19.8
473,4.6
474,49.4
475,11.2
476,4.8
477,2.4
478,6.6
479,32.0
480,1.0
481,3.6
482,2.6
483,0.0
484,19.6
485,2.0
486,13.2
487,27.75
488,1.0
489,8.4
490,1.0
491,1.8
492,3.4
493,2.0
494,1.0
495,2.0
496,2.5
497,11.8
498,7.2
499,5.0
500,2.6
501,1.0
502,1.0
503,32.6
504,3.8
505,7.8
506,22.6
507,1.0
508,0.0
509,0.0
510,1.0
511,8.8
512,15.6
513,1.0
514,3.0
515,1.0
516,4.0
517,1.8
518,17.2
519,3.0
520,1.8
521,3.0
522,7.0
523,1.0
524,2.0
525,4.0
526,3.4
527,2.0
528,2.0
529,1.0
530,8.2
531,1.0
532,6.0
533,2.4
534,10.2
535,7.4
536,35.4
537,8.0
538,1.0
539,1.8
540,3.8
541,0.0
542,0.0
543,4.6
544,8.0
545,2.0
546,0.0
547,1.8
548,2.0
549,3.0
550,1.0
551,4.2
552,3.2
553,2.0
554,50.6
555,2.6
556,1.0
557,7.0
558,2.6
559,2.0
560,4.8
561,1.8
562,2.0
563,1.8
564,6.4
565,7.6
566,1.4
567,3.8
568,19.4
569,11.4
570,8.0
