,I7N
0,0.0
1,0.0
2,1.4259555000000002
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.2788576285714286
9,2.082664142857143
10,1.2794669666666667
11,1.6250530142857145
12,0.0
13,2.3293271285714283
14,2.0015535285714288
15,1.27910392
16,2.6106701
17,1.8780901499999998
18,1.4767577428571432
19,1.2788576285714286
20,2.4081238428571425
21,2.6819059857142853
22,2.0143594428571427
23,2.1083179571428574
24,1.983549342857143
25,2.4277359400000003
26,0.0
27,1.2711021
28,2.067087885714286
29,1.2782419
30,1.6760566571428572
31,1.7637224428571427
32,1.7715636428571429
33,1.95085092
34,1.282471125
35,1.805456771428571
36,3.005014685714286
37,1.2711021
38,1.2729442666666666
39,1.9557249571428572
40,2.02421345
41,1.8940855142857143
42,0.0
43,2.096092985714286
44,2.909310542857143
45,1.2887697
46,2.9170129571428567
47,1.27910392
48,2.7945287571428565
49,1.2878318333333334
50,0.0
51,0.0
52,2.1045861599999998
53,0.0
54,2.0490644
55,1.2711021
56,1.477955142857143
57,2.37045806
58,0.0
59,0.0
60,0.0
61,0.0
62,1.8068849142857144
63,1.2794669666666667
64,1.2788576285714286
65,1.634443975
66,1.282471125
67,1.4553260166666666
68,2.4245824
69,2.7158232142857144
70,2.610746825
71,1.6634849428571428
72,3.031895485714286
73,2.6329671000000006
74,2.364852657142857
75,1.5245693285714288
76,3.009229514285714
77,2.440833985714286
78,1.6250530142857145
79,2.3405289
80,2.159110842857143
81,1.2740396333333335
82,1.8349538714285714
83,1.2878318333333334
84,1.4052672666666666
85,1.7683375857142853
86,1.2887697
87,0.0
88,1.2788576285714286
89,1.697639214285714
90,1.617268
91,0.0
92,1.4567947833333335
93,2.9597398000000004
94,1.6316994285714286
95,0.0
96,1.2788576285714286
97,3.372142685714286
98,2.2654119857142856
99,2.389581685714286
100,1.2788576285714286
101,1.2839958599999999
102,1.35278076
103,1.617268
104,3.0431838142857144
105,1.9371642249999999
106,1.2839958599999999
107,0.0
108,1.272126975
109,1.6870544571428572
110,1.5354096199999998
111,2.7565478428571426
112,1.4950267199999998
113,2.601129814285714
114,3.3086526
115,0.0
116,1.2788576285714286
117,2.8952540333333334
118,1.28101722
119,2.0093483
120,0.0
121,1.2755189999999998
122,2.5620712571428577
123,2.1789568142857143
124,2.300358014285714
125,2.5277214714285714
126,2.645796271428572
127,1.995700957142857
128,2.1004257
129,0.0
130,0.0
131,1.282471125
132,2.2584748
133,1.950770033333333
134,2.2767286285714285
135,2.555306425
136,2.636003366666667
137,1.7544264166666668
138,2.091713257142857
139,1.282471125
140,0.0
141,2.744091342857143
142,1.6410759999999998
143,1.535143325
144,1.8087727285714283
145,1.2788576285714286
146,1.6320707999999997
147,1.2788576285714286
148,1.9466639142857143
149,1.2740396333333335
150,1.8905529599999997
151,1.475924485714286
152,1.63334524
153,1.647386557142857
154,0.0
155,2.3206426999999996
156,0.0
157,2.059804983333333
158,1.6250529285714284
159,1.4295939285714285
160,0.0
161,2.2822347833333327
162,3.099919
163,1.6250529285714284
164,2.2237462571428575
165,2.069302057142857
166,1.4295939285714285
167,1.272126975
168,1.8905529599999997
169,2.70566862
170,1.6250529285714284
171,1.2772056166666665
172,1.2788576285714286
173,1.2711021
174,3.2108057333333337
175,1.282471125
176,0.0
177,1.6367686199999998
178,1.8690521
179,2.7172776428571432
180,2.5463016
181,2.8499545857142863
182,2.580943857142857
183,0.0
184,1.2788576285714286
185,0.0
186,0.0
187,1.4779551142857144
188,1.5501727666666667
189,1.2794669666666667
190,1.27506332
191,0.0
192,0.0
193,0.0
194,2.2048096000000004
195,0.0
196,0.0
197,0.0
198,1.6975492142857145
199,0.0
200,3.189455042857143
201,2.9218341000000003
202,3.1318672999999997
203,3.3934030714285717
204,1.4950266799999998
205,1.68382376
206,1.5150743000000002
207,2.37045806
208,1.9294067857142854
209,1.8940854999999999
210,0.0
211,0.0
212,1.8087727285714283
213,1.2740396333333335
214,2.6648267857142858
215,1.2788576285714286
216,1.6232199
217,2.4384912666666665
218,1.2772056166666665
219,0.0
220,1.3776566000000001
221,0.0
222,2.047309585714286
223,1.9909418857142858
224,1.2782419
225,2.327214233333333
226,1.2711021
227,0.0
228,1.2740396333333335
229,0.0
230,3.0361569714285714
231,0.0
232,1.913329942857143
233,2.1780825142857148
234,0.0
235,2.696632425
236,2.4690020857142856
237,2.312442357142857
238,1.2788576285714286
239,1.3657987249999999
240,2.0612860285714283
241,0.0
242,0.0
243,1.2773477166666665
244,2.9376963571428574
245,1.2788576285714286
246,0.0
247,1.9619968142857143
248,1.272126975
249,1.2788576285714286
250,1.5767540857142859
251,0.0
252,2.8717755142857144
253,1.6260407833333332
254,2.9570244142857147
255,1.7511407499999996
256,1.9753309000000001
257,2.75964676
258,2.0122982428571428
259,0.0
260,2.691165957142857
261,2.754660785714286
262,0.0
263,1.2878318333333334
264,0.0
265,2.0690958714285714
266,2.047309585714286
267,1.2788576285714286
268,2.3179351571428564
269,1.2809357333333333
270,1.6250529285714284
271,2.2549053999999997
272,1.2772056166666665
273,1.2883434
274,2.6474267999999994
275,2.6674949428571426
276,0.0
277,3.28878184
278,2.4780254
279,2.8048641
280,3.1926772999999997
281,1.2788576285714286
282,2.8070620142857146
283,0.0
284,2.3658830285714285
285,1.27976114
286,2.3109288571428572
287,1.2839958599999999
288,0.0
289,0.0
290,0.0
291,2.3459300428571424
292,0.0
293,1.63334524
294,1.2887697
295,2.4248996428571425
296,1.2788576285714286
297,1.8024271285714286
298,2.6594731666666664
299,3.34904734
300,1.907973314285714
301,1.5255914285714287
302,2.708776785714285
303,1.7700796428571426
304,1.74572915
305,2.479923185714285
306,0.0
307,2.774891142857143
308,2.411884014285714
309,2.0699535333333334
310,1.7700796428571426
311,0.0
312,1.771563585714286
313,1.4950266799999998
314,2.95174222
315,2.73749362
316,1.6250529285714284
317,1.682127257142857
318,1.27760642
319,0.0
320,1.2788576285714286
321,2.9818133571428573
322,2.5790723
323,2.1406933714285716
324,1.8794711142857141
325,0.0
326,1.427625642857143
327,3.203655933333333
328,3.457188157142857
329,1.3271564714285715
330,0.0
331,1.2839958599999999
332,0.0
333,1.48464386
334,1.4259554428571428
335,0.0
336,1.8667216666666666
337,1.8882355714285712
338,2.487589214285714
339,1.5283929
340,1.48139246
341,1.282471125
342,2.909789457142857
343,1.8704121428571427
344,1.2803715999999998
345,1.2788576285714286
346,1.630891725
347,1.5283929
348,1.27772215
349,2.2161129999999996
350,1.6250529285714284
351,0.0
352,1.5972323285714285
353,1.6250529285714284
354,1.9363406285714284
355,1.2788576142857142
356,1.6250529285714284
357,2.7328631857142858
358,1.2772056
359,2.441177057142857
360,3.22222906
361,1.5549975200000001
362,3.144905142857143
363,1.5747234571428572
364,3.3318292000000005
365,1.6878253
366,2.032351971428571
367,1.5747234571428572
