geneID,id,essential
CLDN11,325,1
SLC25A39,326,1
MVP,327,1
NUB1,328,1
PGM3,329,1
RWDD2A,330,0
CLK1,331,1
POLR3B,332,1
ANGEL1,333,0
RNF14,334,1
DNASE1L1,335,1
DDX11,336,1
HEBP1,337,1
GPRC5A,338,0
MAMLD1,339,1
CD6,340,0
TACC3,341,1
UFL1,342,1
POLA2,343,1
ZC3H3,344,1
CAPN1,345,0
ACP3,346,1
MDH1,347,1
SLC30A9,348,1
MTMR11,349,0
COX15,350,1
CCDC88C,351,0
YAF2,352,1
ZMYND11,353,0
WAS,354,0
DPEP1,355,0
BID,356,1
MATR3,357,1
NPC1L1,358,0
XYLT2,359,1
RGPD5,360,1
RGPD6,361,1
STMN4,362,0
NUDCD3,363,1
ISL1,364,0
CHDH,365,0
IL20RA,366,0
CLCA1,367,0
CLCA4,368,0
GLT8D1,369,0
ATP2C1,370,0
IGF1,371,1
SLC38A5,372,1
RALBP1,373,1
RUFY3,374,0
CNTN1,375,1
SLC11A1,376,1
WWTR1,377,1
AGPS,378,1
CXorf56,379,1
ATP1A2,380,1
TTC27,381,1
ZNF582,382,0
VSIG2,383,0
PHLDB1,384,1
MARCO,385,1
CYP24A1,386,0
PRDM11,387,0
SYT13,388,0
SNAI2,389,0
CD74,390,0
HGF,391,1
ZRANB1,392,1
NCDN,393,0
ADGRA2,394,0
ZFP64,395,0
MNAT1,396,1
SAMD4A,397,0
RUNX3,398,0
MRE11,399,1
PLEKHB1,400,1
SERPINB1,401,0
CYP3A43,402,1
SLC7A9,403,0
SPAST,404,1
NRXN3,405,0
OSBPL5,406,1
AQR,407,1
CPS1,408,0
C8B,409,0
FHL1,410,0
RTF2,411,1
GABRA1,412,0
NLRP2,413,0
SLC45A4,414,0
RNF10,415,0
ZNF839,416,0
ZDHHC6,417,0
GRAMD1B,418,0
RNH1,419,1
NDUFS1,420,1
RB1CC1,421,1
ERP44,422,1
ALAS1,423,1
BIRC3,424,1
AKAP11,425,1
GLRX2,426,1
SNAPC1,427,1
DERA,428,0
STRAP,429,1
ABCC2,430,1
DEF6,431,0
PLEKHO1,432,0
GCLM,433,0
UBR2,434,0
EHD2,435,1
DEPDC1,436,1
CCDC28A,437,0
RRAGD,438,0
HSF2,439,0
PHF20,440,1
HSD17B6,441,0
NR1H3,442,1
TYMP,443,1
NCAPH2,444,1
TOMM34,445,0
SEC63,446,1
KPNA6,447,1
VIM,448,1
FAS,449,0
RNASET2,450,0
CD44,451,1
KCNG1,452,0
AGPAT4,453,0
SLAMF7,454,0
BTN3A1,455,0
MIPEP,456,1
PRKCH,457,1
INSRR,458,0
IFNGR1,459,0
B4GALT7,460,1
SH2D2A,461,0
VRK2,462,1
TNFRSF1B,463,1
VEZT,464,1
POU2F2,465,1
BRD9,466,1
SNX1,467,0
TBPL1,468,0
ARNTL2,469,0
BCLAF1,470,1
SLC39A9,471,1
ANK1,472,0
IBSP,473,1
TFB1M,474,1
RABEP1,475,0
HMGB3,476,0
NUP160,477,1
BAK1,478,1
MUSK,479,1
IKZF2,480,1
GRN,481,1
FAM13B,482,1
ARHGAP31,483,0
CENPQ,484,1
SARS1,485,1
RANBP3,486,1
ARID4A,487,0
EIPR1,488,1
PNPLA6,489,0
IFT88,490,0
ALG1,491,1
ZCCHC8,492,0
ABCF2,493,1
CHPF2,494,0
LRRC7,495,0
FUT8,496,1
UBA6,497,1
GAB2,498,1
ATP6V0A1,499,0
PIAS1,500,1
SLC4A7,501,1
APBA2,502,0
MAP2K3,503,1
EFCAB1,504,0
TMSB10,505,0
