geneID,essential,,geneID2,essential
WNT16,NE,,TSR3,1
WNT16,NE,,PIGQ,1
WNT16,NE,,CRAMP1,0
WNT16,NE,,TEAD3,1
WNT16,NE,,SELE,1
WNT16,NE,,DNAJC11,1
HECW1,NE,,FMO3,0
HECW1,NE,,MYLIP,1
HECW1,NE,,NOX1,1
HECW1,NE,,E2F2,0
HECW1,NE,,PSMB1,1
HECW1,NE,,SYN1,0
HECW1,NE,,JARID2,0
MAD1L1,E,,CDKL5,1
MAD1L1,NE,,CAMK1G,1
MAD1L1,NE,,CDK11A,1
MAD1L1,NE,,NADK,1
MAD1L1,NE,,TFAP2B,0
MAD1L1,NE,,TFAP2D,0
MAD1L1,NE,,DLEC1,0
LASP1,E,,CYTH3,0
LASP1,NE,,ADAM22,1
LASP1,NE,,SYPL1,0
LASP1,NE,,CYB561,0
LASP1,NE,,SPAG9,0
LASP1,NE,,CELSR3,1
LASP1,NE,,AASS,0
SNX11,NE,,PLEKHG6,0
SNX11,NE,,SS18L2,1
SNX11,NE,,MPND,0
SNX11,NE,,MGST1,0
SNX11,NE,,CRY1,1
SNX11,NE,,PGLYRP1,0
SNX11,NE,,NFIX,0
TMEM176A,NE,,ST3GAL1,0
TMEM176A,NE,,MMP25,0
TMEM176A,NE,,IL32,0
TMEM176A,NE,,PKD1,0
TMEM176A,NE,,MAPK8IP2,0
TMEM176A,NE,,MED24,1
TMEM176A,NE,,RHOBTB2,0
M6PR,NE,,HEATR5B,0
M6PR,NE,,SEC62,1
M6PR,NE,,RPS20,1
M6PR,NE,,CSDE1,1
M6PR,NE,,UBE3C,0
M6PR,NE,,REV3L,1
M6PR,NE,,TENM1,0
KLHL13,NE,,PAX7,0
KLHL13,NE,,MASP2,0
KLHL13,NE,,IYD,1
KLHL13,NE,,FAM76A,0
CYP26B1,E,,TRAF3IP3,0
CYP26B1,NE,,POMT2,0
CYP26B1,NE,,VTA1,1
CYP26B1,NE,,MLXIPL,0
CYP26B1,NE,,BAZ1B,1
CYP26B1,NE,,RANBP9,1
CYP26B1,NE,,ETV7,0
CYP26B1,NE,,SPRTN,1
ICA1,NE,,EEF1AKNMT,1
ICA1,NE,,DYRK4,0
ICA1,NE,,ZNF207,1
ICA1,NE,,UQCRC1,1
ICA1,NE,,STARD3NL,0
ICA1,NE,,CD9,1
ICA1,NE,,HHATL,1
DBNDD1,NE,,NCAPD2,1
DBNDD1,NE,,IFFO1,1
DBNDD1,NE,,GIPR,0
DBNDD1,NE,,PHF7,1
DBNDD1,NE,,SEMA3G,0
DBNDD1,NE,,NISCH,0
DBNDD1,NE,,STAB1,0
ALS2,NE,,FUZ,0
ALS2,NE,,SLC6A13,1
ALS2,NE,,IDS,0
ALS2,NE,,PRSS3,0
ALS2,NE,,ZNF200,0
ALS2,NE,,CD4,0
ALS2,NE,,LRRC23,1
CASP10,NE,,BTK,1
CASP10,NE,,HFE,0
CASP10,NE,,SCMH1,0
CASP10,NE,,FYN,1
CASP10,NE,,HIVEP2,0
CASP10,NE,,FMO1,0
CASP10,NE,,ELOA,1
CFLAR,E,,LYPLA2,0
CFLAR,E,,CLCN6,0
CFLAR,NE,,MRC2,1
CFLAR,NE,,SLC6A7,0
CFLAR,NE,,TSPAN9,0
CFLAR,NE,,BTBD7,0
CFLAR,NE,,APBA3,0
CFLAR,NE,,MKS1,0
TFPI,NE,,ABHD5,1
TFPI,NE,,ANOS1,0
TFPI,NE,,AKAP8L,1
TFPI,NE,,MBTD1,1
TFPI,NE,,UTP18,1
TFPI,NE,,RNF216,0
TFPI,NE,,TTC19,1
NDUFAF7,E,,PTBP1,1
NDUFAF7,E,,DPF1,0
NDUFAF7,NE,,SYT7,0
NDUFAF7,NE,,LARS2,1
NDUFAF7,NE,,PIK3C2A,1
NDUFAF7,NE,,PLAUR,1
NDUFAF7,NE,,ANLN,1
RBM5,E,,WIZ,0
RBM5,E,,RABGAP1,1
RBM5,NE,,DCN,1
RBM5,NE,,QPCTL,1
RBM5,NE,,PPP5C,1
RBM5,NE,,CEP68,0
RBM5,NE,,MAP4K3,1
MTMR7,NE,,ZBTB32,0
MTMR7,NE,,TYROBP,1
MTMR7,NE,,TMEM159,0
MTMR7,NE,,GABRA3,1
MTMR7,NE,,BRCA1,1
MTMR7,NE,,ERCC1,1
MTMR7,NE,,CD22,0
SLC7A2,NE,,SEMA3B,0
SLC7A2,NE,,MBTPS2,1
SLC7A2,NE,,PRICKLE3,0
SLC7A2,NE,,LTF,0
SLC7A2,NE,,EXTL3,1
SLC7A2,NE,,NR1H4,1
SLC7A2,NE,,ELOVL5,1
ARF5,E,,ALOX5,0
ARF5,NE,,KDM5D,0
ARF5,NE,,CALCOCO1,0
ARF5,NE,,UBR7,0
ARF5,NE,,MAP4K5,1
ARF5,NE,,EHD3,0
ARF5,NE,,PSMC4,1
ARF5,NE,,MAN2B2,0
SARM1,NE,,SLC7A14,0
SARM1,NE,,CLDN11,1
SARM1,NE,,SLC25A39,1
PLXND1,NE,,MVP,1
PLXND1,NE,,NUB1,1
PLXND1,NE,,PGM3,1
PLXND1,NE,,RWDD2A,0
PLXND1,NE,,CLK1,1
PLXND1,NE,,POLR3B,1
PLXND1,NE,,ANGEL1,0
AK2,E,,RNF14,1
