row,col
1,12494
1,5157
2,10833
3,3672
3,7255
3,2765
4,10611
5,8092
5,1173
5,15032
5,7303
5,12883
5,9223
6,3730
6,4682
6,8775
6,8508
7,2270
7,11784
7,3853
7,3672
7,1598
7,4267
8,3282
8,323
8,9919
8,13284
8,600
8,5799
8,1884
8,1478
8,13520
9,12829
9,18892
9,12329
10,840
10,7336
10,13930
10,4740
10,12146
10,960
10,5025
10,7092
10,4384
10,897
10,5016
10,3246
10,4467
10,2270
10,4530
10,8092
10,8568
10,8277
10,8772
10,938
10,6366
10,29
10,4085
10,11873
10,6983
10,8992
10,7898
10,6929
10,401
10,4628
10,18548
12,7191
13,7252
13,905
13,10555
13,909
13,6438
16,9300
16,13033
16,6423
16,1957
16,3635
16,901
16,1961
16,10203
16,1074
16,667
16,8457
16,2823
16,12625
16,2323
16,15832
16,5799
16,3366
16,3235
16,12545
16,12955
16,3489
16,17289
16,13109
16,1060
16,4158
16,5413
16,17906
16,656
16,4719
16,2111
16,1565
16,7407
16,13400
16,10832
16,777
16,3976
16,875
16,17101
16,13569
16,5782
16,5775
16,5955
16,4394
16,7966
16,6465
16,14164
16,5264
16,12101
16,13174
16,4256
16,18188
16,1670
16,12649
16,6349
16,8285
16,6882
16,4290
16,5461
16,222
16,10290
16,10769
16,2042
16,2382
16,6421
16,8307
16,4237
16,6132
16,8433
16,17102
16,3104
16,1842
16,9858
16,13529
16,12675
16,15555
16,16777
16,4976
16,18469
16,2605
16,933
16,3417
16,12880
16,643
16,6011
16,7113
16,6518
16,12152
16,9536
16,18526
16,1627
16,16737
16,13524
16,9016
16,8310
16,4121
16,11779
16,1747
16,5240
16,4920
16,16558
16,1978
16,9269
16,4236
16,1096
16,481
16,16542
16,548
16,7002
16,8357
16,16143
16,9468
16,6513
16,6160
16,12341
16,8330
16,10946
16,3040
16,13294
16,9757
16,367
16,9812
16,16438
16,7393
16,8846
16,18876
16,8902
16,195
16,3391
16,11036
16,10190
16,3792
16,11729
16,322
16,6693
16,2886
16,16797
16,3860
16,905
16,9831
16,7744
16,3530
16,6604
16,16158
16,13651
16,4984
16,9241
16,15104
16,16865
16,5550
16,5027
16,10406
16,2615
16,7315
16,16248
16,10563
16,9184
16,11601
16,18668
16,2429
16,13662
16,7210
16,1626
16,9505
16,778
16,10169
16,14574
16,6690
16,5065
16,5202
16,8067
16,7829
16,5452
16,3504
16,1164
16,13893
16,4363
16,4186
16,5664
16,18449
16,6325
16,884
16,861
16,513
16,7849
16,11884
16,14024
16,13958
16,7273
16,7572
16,7097
16,16735
16,18868
16,596
16,4422
16,672
16,1302
16,6171
16,1962
16,16423
16,1191
16,2507
16,3632
16,2249
16,6592
16,7899
16,248
16,7299
16,6890
16,3584
16,11136
16,3513
16,7127
16,3023
16,419
16,9031
16,3217
16,9330
16,11067
16,5506
16,11288
16,11797
16,1910
16,8782
16,14592
16,10132
16,12013
16,4091
16,16932
16,14216
16,18294
16,6175
16,10830
16,4722
16,16514
16,1934
16,6645
16,16577
16,11756
16,3581
16,6591
16,157
16,5570
16,18721
16,3579
16,5965
16,7144
16,13768
16,6664
16,1427
16,4407
16,5484
16,4092
16,4320
16,1128
16,783
16,1248
16,6357
16,14802
16,1439
16,72
16,6330
16,5089
16,16378
16,10415
16,600
16,3967
16,3051
16,614
16,6279
16,8566
16,4191
16,10288
16,13634
16,7024
16,16656
16,17946
16,17945
16,12892
16,18221
16,3498
16,1710
16,11044
16,2349
16,2608
16,996
16,12243
16,2923
16,3855
16,658
16,8011
16,11522
16,1207
16,11679
16,1319
16,9068
16,1029
16,5371
16,11703
16,7499
16,8736
16,16838
16,3691
16,2063
16,13022
16,7036
16,5989
16,7215
16,7108
16,17064
16,8258
16,137
16,7037
16,9707
16,9128
16,64
16,420
16,8098
16,3201
16,10522
16,4519
16,11093
16,2476
16,7976
16,9298
16,16329
16,2494
16,381
16,10544
16,7880
16,9267
16,16220
16,1356
16,16322
16,9507
16,8463
16,12782
16,11234
16,18009
16,3511
16,108
16,4692
16,9711
16,17406
16,10582
16,14044
16,7624
16,8302
16,6846
16,1641
16,16590
16,6128
16,8297
16,9473
16,14265
16,8518
16,1115
16,11179
16,4106
16,3531
16,2138
16,2339
16,2526
16,410
16,2948
16,5084
16,3663
16,252
16,13585
16,429
16,6491
16,12036
16,4665
16,15310
16,8363
16,9732
16,2555
16,10369
16,2047
16,448
16,4134
16,3709
16,14655
16,491
16,2917
16,1997
16,9048
16,15063
16,3129
16,14536
16,5187
16,10093
16,2386
16,2470
16,5116
16,12371
16,5510
16,2113
16,1423
16,16973
16,6449
16,18692
16,5909
16,6929
16,2397
16,9319
16,327
16,6221
16,6582
16,3698
16,10688
16,7403
16,4685
16,11378
16,14399
16,8260
16,4303
16,4338
16,3392
16,14136
16,1613
16,143
16,16546
16,6143
16,3757
16,2482
16,12909
16,4890
16,3472
16,1690
16,11362
16,2099
16,1263
16,13996
16,14180
16,6629
16,6433
16,14869
16,1746
16,7734
16,10187
16,2379
16,6012
16,3474
16,13291
16,4343
16,2433
16,568
16,17063
16,5705
16,3294
16,8193
16,16409
16,2720
16,9630
16,13635
16,17941
16,14656
16,6231
16,8739
16,11809
16,3212
16,6982
16,16805
16,10988
16,5416
16,1217
16,8429
16,9026
16,4364
16,8991
16,5553
16,1691
16,1445
16,1197
16,7063
16,16251
16,6367
16,4447
16,5780
16,16899
16,1378
16,4531
16,2093
16,1377
16,3142
16,7124
16,338
16,4376
16,6284
16,5618
16,16785
16,8371
16,10252
16,18665
16,4156
16,3571
16,12498
16,529
16,5633
16,4844
16,14771
16,3506
16,3108
16,8944
16,8036
16,17434
16,11021
16,5400
16,16768
