geneID,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
CASP1,2.8655,5.5238,10.6829,28.1833,25.0874,2.6539,2.6108,20.8226,6.4537,13.9721,32.655
CASP5,0.0287,0.0477,0.0618,0.3836,0.1129,0.0771,0,0.1398,0.1199,0.1174,0.1781
ALKBH8,2.9376,3.5848,3.4575,3.8738,3.2772,2.1258,2.5216,3.5608,2.3586,2.714,3.8567
MAP2K5,9.7584,12.2382,7.7215,11.7452,12.3723,12.0822,10.132,11.9454,10.6725,9.8092,10.6972
UNC13C,0,0.0174,0.0056,0,0,0.0094,0.0219,0.0511,0.0055,0.0086,0.026
SQOR,0,0,0,0,0,0,0,0,0,0,0
CTDSPL2,4.5172,4.1776,5.5533,6.945,5.6761,3.9166,3.2258,6.5914,4.6593,5.504,6.719
SLTM,27.3067,31.4354,32.6893,49.2093,37.5149,36.2166,23.0926,36.4767,27.8218,38.0214,40.9157
THBS1,41.5184,87.8918,190.0283,45.9127,128.399,44.902,19.4218,34.8153,270.2701,55.0195,29.4426
MAPKBP1,15.4546,16.0827,10.4584,11.2512,10.5516,18.2253,15.8064,10.527,10.4186,12.122,9.5019
NUSAP1,0.6955,0.4915,0.5618,4.4196,6.2757,1.2783,0.5679,1.0853,0.4545,0.9821,1.6195
NDUFAF1,7.6413,8.7914,9.0261,10.0579,9.0264,7.072,9.021,8.27,11.0316,6.7197,9.2451
KIF23,0.6959,1.051,0.4996,1.3964,2.6639,0.5303,0.5342,0.6447,0.57,0.7216,0.8642
ITGA11,1.3118,2.8044,2.5412,1.2422,10.107,0.9928,2.347,4.6275,0.4454,3.933,7.4689
KNL1,0,0,0,0,0,0,0,0,0,0,0
HAUS2,5.0739,4.9648,4.8703,5.4564,5.2538,4.035,3.8868,5.2018,5.8598,4.9862,4.6354
RTF1,20.8964,22.7914,22.2766,18.9063,17.6116,23.5276,20.3397,18.1012,21.3972,20.2582,17.815
PARP6,40.442,39.7415,37.0813,40.5623,37.7045,44.4175,47.6669,42.914,35.3904,39.905,36.9283
RPLP1,891.1948,726.5008,919.159,978.7691,856.3318,832.8739,935.4141,981.0303,890.2298,1231.5612,1029.6006
PAQR5,0.3748,1.132,0.4861,0.4707,0.4418,0.3566,0.3395,0.8803,0.3839,0.4258,1.2825
LRRC49,5.4706,5.2801,3.4512,5.7932,6.4982,2.9507,2.3814,5.4904,4.4827,4.2067,6.1668
TUBGCP4,7.3963,8.8653,8.0707,8.0723,7.0254,6.3946,6.3922,8.6239,7.6613,8.1948,8.806
RMDN3,0,0,0,0,0,0,0,0,0,0,0
ITPKA,0.5769,1.1703,0.5219,0.1235,0.3937,1.3862,1.2368,0.2476,0.4343,0.3023,0.7165
UACA,5.993,5.9154,8.8085,9.5112,10.0406,6.9905,3.5084,13.5525,5.2652,8.4896,8.9827
SMAD6,7.8389,7.7867,13.3479,14.7001,18.0229,4.6532,5.2972,19.9966,4.9887,13.576,14.6032
PLCB2,2.1348,3.9515,6.7206,11.2408,8.0824,3.0264,1.9712,12.261,4.0733,5.6387,18.1056
TMEM62,7.4916,8.7913,10.2266,14.147,13.7376,6.0672,6.1449,12.0273,6.1573,9.7421,12.0608
PAK6,0.1752,0.7024,3.2404,11.6895,7.5193,0.2864,0.164,8.4214,0.1508,7.2205,8.8681
ADAM10,11.376,10.9481,22.6081,38.5203,36.3936,11.6022,6.9155,29.1206,9.1686,31.7992,27.5009
DUOX1,1.4055,3.2867,14.4247,37.5457,35.4145,2.1496,1.5925,37.5535,1.3282,31.7553,40.6418
SLC28A2,0.1559,0.1008,0.1306,0.1854,0.2501,0.0621,0.0435,0.1183,0.0362,0.2127,0.1506
STRA6,0.0559,0.2923,0.8864,5.6548,3.1672,0.1361,0.0937,2.5171,0.259,2.5118,2.5801
CYP19A1,0.208,0.7387,0.4988,0.1012,0.2729,0.339,0.0712,0.2305,1.7989,0.1393,0.3404
ZNF280D,15.5951,17.162,17.1832,11.309,9.8828,12.0038,10.7223,13.1128,17.6194,10.9315,11.5404
SEMA6D,1.1098,0.8819,1.8556,5.7501,3.4443,1.2314,0.7291,4.4072,0.8078,2.6854,3.4647
BCL2L10,0.2886,0.3199,2.2277,5.084,4.2302,0.0863,0.0806,3.894,0.1006,2.7172,5.317
RSL24D1,54.4285,44.5759,39.9636,43.7131,35.8901,49.4228,37.6739,49.0447,51.6129,51.7905,37.342
