,D3N
0,0.0
1,0.0
2,3.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.0
9,5.0
10,1.0
11,2.0
12,0.0
13,10.0
14,5.0
15,1.0
16,11.0
17,3.0
18,2.0
19,1.3333333333333333
20,9.666666666666666
21,12.666666666666666
22,5.666666666666667
23,5.333333333333333
24,5.0
25,11.333333333333334
26,0.0
27,1.0
28,5.0
29,1.0
30,3.0
31,4.0
32,3.3333333333333335
33,6.0
34,1.3333333333333333
35,3.0
36,20.0
37,1.0
38,1.0
39,4.0
40,12.0
41,4.0
42,0.0
43,7.333333333333333
44,23.0
45,1.0
46,19.0
47,1.0
48,14.333333333333334
49,1.0
50,0.0
51,0.0
52,5.0
53,0.0
54,5.0
55,1.0
56,2.0
57,6.0
58,0.0
59,0.0
60,0.0
61,0.0
62,3.0
63,1.0
64,1.0
65,2.0
66,1.0
67,2.0
68,10.0
69,13.666666666666666
70,11.0
71,4.0
72,30.666666666666668
73,10.0
74,7.333333333333333
75,2.0
76,27.666666666666668
77,10.333333333333334
78,2.0
79,8.0
80,5.666666666666667
81,1.0
82,3.6666666666666665
83,1.0
84,1.3333333333333333
85,3.0
86,1.0
87,0.0
88,1.0
89,3.0
90,2.0
91,0.0
92,2.0
93,16.0
94,3.0
95,0.0
96,1.0
97,91.33333333333333
98,7.0
99,9.0
100,1.0
101,1.0
102,1.3333333333333333
103,2.0
104,24.333333333333332
105,3.3333333333333335
106,1.0
107,0.0
108,1.0
109,3.0
110,3.0
111,12.0
112,2.0
113,10.0
114,60.666666666666664
115,0.0
116,1.0
117,18.0
118,1.0
119,4.0
120,0.0
121,1.0
122,9.0
123,5.0
124,6.0
125,13.0
126,16.0
127,6.666666666666667
128,4.0
129,0.0
130,0.0
131,1.0
132,5.0
133,4.0
134,8.333333333333334
135,9.0
136,23.0
137,5.0
138,5.0
139,1.0
140,0.0
141,17.0
142,2.0
143,2.0
144,3.0
145,1.0
146,3.0
147,1.0
148,4.333333333333333
149,1.0
150,3.0
151,2.0
152,2.0
153,2.6666666666666665
154,0.0
155,6.0
156,0.0
157,5.0
158,2.0
159,2.0
160,0.0
161,7.666666666666667
162,38.0
163,2.0
164,6.333333333333333
165,4.333333333333333
166,2.0
167,1.0
168,3.0
169,12.666666666666666
170,2.0
171,1.0
172,1.0
173,1.0
174,37.0
175,1.0
176,0.0
177,3.0
178,3.0
179,16.0
180,9.0
181,18.333333333333332
182,10.333333333333334
183,0.0
184,1.0
185,0.0
186,0.0
187,3.0
188,3.3333333333333335
189,1.0
190,1.0
191,0.0
192,0.0
193,0.0
194,5.0
195,0.0
196,0.0
197,0.0
198,3.3333333333333335
199,0.0
200,47.666666666666664
201,19.333333333333332
202,42.666666666666664
203,93.0
204,2.0
205,2.3333333333333335
206,2.3333333333333335
207,6.666666666666667
208,4.0
209,4.0
210,0.0
211,0.0
212,3.0
213,1.0
214,16.333333333333332
215,2.0
216,2.3333333333333335
217,7.0
218,1.0
219,0.0
220,1.6666666666666667
221,0.0
222,6.0
223,5.333333333333333
224,1.0
225,10.0
226,1.0
227,0.0
228,1.0
229,0.0
230,45.0
231,0.0
232,4.333333333333333
233,7.666666666666667
234,0.0
235,10.333333333333334
236,8.0
237,9.666666666666666
238,1.0
239,1.3333333333333333
240,4.666666666666667
241,0.0
242,0.0
243,1.3333333333333333
244,22.0
245,1.0
246,0.0
247,4.0
248,1.0
249,1.0
250,3.0
251,0.0
252,18.0
253,2.0
254,21.0
255,3.0
256,5.333333333333333
257,12.333333333333334
258,5.666666666666667
259,0.0
260,12.0
261,12.666666666666666
262,0.0
263,1.0
264,0.0
265,4.333333333333333
266,4.0
267,1.0
268,7.0
269,1.0
270,2.0
271,7.666666666666667
272,1.0
273,1.0
274,12.333333333333334
275,14.333333333333334
276,0.0
277,48.666666666666664
278,8.0
279,15.333333333333334
280,26.0
281,1.0
282,20.333333333333332
283,0.0
284,9.0
285,1.0
286,8.0
287,1.0
288,0.0
289,0.0
290,0.0
291,7.333333333333333
292,0.0
293,2.0
294,1.0
295,7.0
296,1.0
297,5.0
298,10.0
299,63.666666666666664
300,3.3333333333333335
301,2.0
302,14.333333333333334
303,3.0
304,2.6666666666666665
305,9.0
306,0.0
307,17.333333333333332
308,7.333333333333333
309,4.0
310,3.0
311,0.0
312,3.0
313,2.0
314,16.333333333333332
315,11.666666666666666
316,2.0
317,3.0
318,1.0
319,0.0
320,1.0
321,19.0
322,13.0
323,6.333333333333333
324,3.0
325,0.0
326,2.0
327,50.666666666666664
328,197.33333333333334
329,2.0
330,0.0
331,1.0
332,0.0
333,2.0
334,2.0
335,0.0
336,3.0
337,4.0
338,9.333333333333334
339,2.0
340,2.0
341,1.0
342,17.0
343,5.0
344,1.0
345,1.0
346,2.0
347,2.0
348,1.0
349,9.0
350,2.0
351,0.0
352,2.6666666666666665
353,2.0
354,4.0
355,1.0
356,2.0
357,12.666666666666666
358,1.0
359,8.0
360,49.666666666666664
361,2.0
362,38.666666666666664
363,2.0
364,64.33333333333333
365,3.0
366,5.0
367,4.0
368,1.0
369,9.0
370,4.666666666666667
371,2.0
372,1.0
373,6.666666666666667
374,0.0
375,0.0
376,0.0
377,1.0
378,2.0
379,30.333333333333332
380,1.0
381,1.0
382,1.0
383,9.0
384,0.0
385,5.333333333333333
386,4.0
387,1.0
388,2.0
389,3.0
390,1.3333333333333333
391,1.0
392,4.0
393,1.3333333333333333
394,13.666666666666666
395,2.0
396,2.3333333333333335
397,1.0
398,1.0
399,7.0
400,2.0
401,0.0
402,1.0
403,2.0
404,1.0
405,18.0
406,1.0
407,31.666666666666668
408,0.0
409,2.0
410,3.0
411,24.0
412,3.6666666666666665
413,29.666666666666668
414,10.666666666666666
415,1.0
416,1.0
417,6.0
418,9.0
419,1.0
420,0.0
421,1.0
422,7.666666666666667
423,1.0
424,1.0
425,4.0
426,0.0
427,15.333333333333334
428,0.0
429,20.0
430,1.0
431,27.0
432,8.0
433,1.0
434,1.0
435,6.0
436,11.0
437,0.0
438,3.6666666666666665
439,0.0
440,9.0
441,3.0
442,2.0
443,0.0
444,2.0
445,8.333333333333334
446,14.0
447,25.333333333333332
448,1.0
449,6.666666666666667
450,2.0
451,3.0
452,5.0
453,0.0
454,1.0
455,1.0
456,3.0
457,1.0
458,2.0
459,1.0
460,9.666666666666666
461,1.0
462,7.0
463,12.0
464,12.0
465,5.0
466,1.0
467,35.0
468,0.0
469,0.0
470,2.0
471,6.333333333333333
472,21.0
473,5.0
474,49.333333333333336
475,10.333333333333334
476,4.0
477,0.0
478,7.0
479,32.666666666666664
480,1.0
481,2.0
482,0.0
483,0.0
484,19.0
485,1.0
486,13.333333333333334
487,0.0
488,1.0
489,9.0
490,1.0
491,2.0
492,3.0
493,2.0
494,1.0
495,1.6666666666666667
