name,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
YEL050C,8.242259343,3.51750954,1.824784358,1.680802584,1.664337158,1.473530491,1.480221867,1.83180968,3.804509878,6.922491709,7.170568466,6.754338582
YEL051W,3.685822487,3.284705003,3.222861846,3.351836761,3.370349566,3.446294069,3.362582286,3.564270417,3.38310353,3.44085741,3.190734545,3.001969735
YEL053C,0.587519705,0.441921343,0.417483519,0.407733033,0.449834873,0.481856455,0.463240812,0.536688258,0.589896083,0.623106798,0.638356865,0.565316061
YEL054C,25.81553396,13.8009224,24.22820663,25.23298772,28.97246043,25.53108533,27.46350479,36.83364169,47.799263,34.770497,32.70153999,28.85530599
YEL055C,1.89808325,0.38819917,0.408522745,0.494780292,0.598816792,0.710293015,0.848611156,3.122870644,4.222745419,2.334278067,2.422818025,2.246409496
YEL056W,4.026293993,2.239433725,2.8517615,2.512833913,1.965702097,2.139652968,2.586583853,2.274773319,2.834869504,3.13480703,3.266181151,2.771610101
YEL057C,2.267587185,3.623299757,3.073533296,2.797122081,2.414271593,2.047940651,1.495045106,0.743267616,0.341513137,0.402299176,0.418727348,0.465554516
YEL058W,5.551296552,3.805759192,5.36702315,4.91784207,4.992602349,4.910100619,5.286597729,5.949664434,4.695395072,5.161304792,5.108029684,5.307070891
YEL059W,0.644072125,0.355844627,0.319712435,0.372059147,0.35250921,0.379542927,0.47307981,0.372882649,0.655551513,0.406445314,0.478877852,0.471176555
YEL060C,24.1844546,29.24724642,35.4327418,31.93824259,30.15428798,30.96464348,28.76158651,21.35916201,15.05706501,16.15518061,13.03428364,13.11641852
YEL061C,0.749134779,0.664638102,0.713531375,0.504745116,0.478924185,0.511991451,0.549311459,0.421550592,0.37601466,0.777721663,1.052090704,0.874585748
YEL062W,0.473880669,0.436124871,0.452280571,0.524245203,0.554326872,0.56622686,0.5828831,0.632784327,0.565784832,0.435333779,0.527890027,0.483965675
YEL063C,6.688423633,3.955144246,3.981788397,4.155986865,4.000013669,4.522412221,5.108216444,11.75371837,14.1167717,5.166851203,5.654532909,5.294327736
YEL064C,0.931920071,0.500120193,0.602283021,0.702398062,0.596689979,0.649552385,0.714384178,0.557908336,0.641920169,0.878900925,0.803896526,0.693231185
YEL065W,2.885787328,0.936694105,0.531636089,0.58897545,0.678061426,0.725528757,0.725934863,1.245525598,3.100437959,1.226948659,1.180555622,1.645084818
YEL066W,10.0306646,4.725607077,3.759504874,5.571763039,5.478320757,5.576678435,5.528918425,7.523661613,5.943122228,6.483485858,6.310504437,6.928239028
YEL068C,0.642812759,0.7976921,0.534070899,0.762785932,0.56206884,0.591568103,0.472985655,0.474528859,0.439430068,0.55692038,0.433167458,0.64400653
YEL069C,0,0,0,0,0,0,0,0,0,0,0,0
YEL070W,0,0,0,0,0,0,0,0,0,0,0,0
YEL071W,6.797936281,3.547930559,2.882045349,2.891512156,2.252282063,2.583063205,1.873121937,4.26148351,6.187876065,7.096523444,5.958208402,6.688043118
YEL072W,0.551433166,0.306601827,0.277013053,0.278575351,0.275328686,0.273188169,0.304027031,0.638000448,0.971824706,0.753687521,0.669435203,0.726339936
YEL074W,0,0,0,0,0,0,0,0,0,0,0,0
YEL075C,0,0,0,0,0,0,0,0,0,0,0,0
YEL077C,0,0,0,0,0,0,0,0,0,0,0,0
YER001W,1.890675425,0.486711164,0.512473146,0.854877591,0.821230729,0.865337213,1.107672651,2.402169983,3.16023914,4.050674121,4.268485228,3.583393017
