row,col
45,1622
73,1828
86,329
144,157
149,1333
150,1261
150,2471
153,1641
157,903
157,1680
157,2650
160,161
160,1526
160,1680
161,1620
199,1377
210,955
220,1315
229,1005
229,1666
249,378
271,2250
329,970
329,1622
360,1491
361,1377
385,769
385,1576
385,1594
385,1669
385,1671
385,1835
385,2342
389,1526
423,1401
423,1452
427,428
427,429
427,1157
427,2221
427,2341
427,2446
428,1172
428,1260
428,1325
428,1358
428,1368
428,1965
428,2446
429,1157
429,2341
457,1377
496,1433
544,545
544,769
544,1401
544,1473
544,1622
544,2552
544,2594
544,2686
545,2686
558,1622
595,1680
638,642
673,1565
673,1605
675,1605
675,1786
678,1377
711,1984
750,1688
759,1377
766,1596
767,1806
769,1028
769,1127
769,1356
769,1445
769,1466
769,1576
769,1594
769,1620
769,1669
769,1671
769,1742
769,2268
826,1742
826,1862
840,1466
840,1526
884,1237
946,2581
993,994
993,1377
993,2650
1004,1377
1005,1426
1005,1476
1005,1666
1005,1741
1005,2650
1061,1433
1066,1806
1108,1417
1108,2071
1108,2650
1123,1478
1127,1669
1148,1666
1155,2618
1157,1802
1157,2221
1181,2650
1208,1209
1208,1211
1209,1210
1210,1211
1212,2146
1224,1284
1237,1862
1260,1424
1260,1426
1260,1462
1260,1476
1260,1738
1298,1596
1321,1377
1325,1377
1325,1417
1325,1424
1325,1426
1325,1476
1325,1651
1325,1666
1325,1737
1325,1883
1325,2604
1333,1377
1333,1491
1333,1526
1333,1651
1333,1742
1333,2650
1337,1417
1342,1354
1342,1401
1342,1473
1342,1828
1342,2283
1344,1520
1354,1368
1354,1401
1354,1473
1356,1576
1356,2380
1358,1426
1358,1460
1358,1476
1358,1726
1358,2650
1361,1742
1368,1377
1368,1385
1368,1473
1368,1491
1368,1596
1368,1622
1368,1688
1368,1742
1368,1856
1368,2081
1368,2446
1368,2604
1368,2650
1377,1445
1377,1601
1377,1650
1377,1680
1377,1688
1377,2072
1377,2190
1377,2207
1377,2221
1377,2268
1377,2650
1385,2249
1385,2341
1385,2446
1399,1650
1399,2446
1401,1473
1401,1765
1414,1445
1414,2341
1417,2446
1417,2579
1424,1708
1424,1762
1424,1830
1424,1965
1424,2283
1424,2446
1425,1965
1426,1445
1426,1965
1426,2341
1426,2446
1428,2446
1436,2349
1445,2341
1445,2446
1445,2650
1460,1620
1460,1965
1462,1965
1462,2283
1468,2594
1473,1576
1473,1594
1473,1705
1473,1765
1476,1708
1476,1937
1476,1965
1476,2249
1476,2341
1478,2249
1509,1913
1520,1705
1526,1757
1526,1965
1526,2268
1526,2650
1545,1594
1565,1645
1565,1810
1576,1594
1576,1622
1576,1671
1576,2380
1577,2495
1594,1669
1594,1671
1594,1810
1594,2268
1596,1620
1596,1688
1596,1856
1596,1913
1596,2446
1596,2650
1596,2665
1601,2446
1601,2650
1604,1605
1605,2249
1608,2686
1609,1774
1609,2650
1620,1622
1620,1741
1622,1737
1622,1862
1622,2061
1622,2081
1622,2207
1622,2249
1622,2283
1622,2650
1650,2446
1660,2341
1666,1937
1666,2283
1666,2341
1669,2268
1671,2380
1680,2650
1688,1856
1688,2446
1688,2650
1698,1742
1708,2268
1726,1965
1737,2250
1738,2283
1742,2268
1751,2283
1774,2070
1776,1787
1810,2650
1824,1825
1937,2650
2055,2650
2070,2706
2072,2650
2187,2188
2221,2341
2221,2446
2221,2650
2250,2416
2250,2593
2250,2610
2250,2650
2268,2650
2283,2650
2342,2604
2387,2391
2388,2391
2389,2390
2404,2405
2501,2650
2567,2593
2593,2610
2623,2625
2705,2706
2716,2717
