p7n,w7n
0.9166666666666666,1.875
0.0,0.0
0.0,0.0
0.0,0.0
0.0,2.0
0.0,1.5
0.0,0.5
0.0,0.0
0.0,0.0
0.0,3.1666666666666665
0.0,0.3333333333333333
0.0,1.3333333333333333
0.0,1.0
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,4.75
0.0,0.5
0.0,0.625
0.0,1.1666666666666667
0.0,1.1666666666666667
0.0,0.5
0.0,0.0
0.0,2.3333333333333335
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.5
0.0,2.6666666666666665
0.0,0.0
0.0,0.5
1.7333333333333334,4.366666666666667
3.601467051467051,12.984066859066862
0.0,0.5
0.0,0.5
0.0,0.0
0.30158730158730157,3.6507936507936507
0.0,0.0
0.0,0.0
0.6666666666666666,2.333333333333333
0.0,0.16666666666666666
0.0,0.375
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.5
1.3333333333333333,1.6666666666666667
0.0,0.8333333333333334
0.0,0.0
1.0,2.0
1.411904761904762,4.400396825396825
0.7289157329598506,5.626362628384687
1.2555555555555555,3.994444444444445
0.0,0.3
0.0,0.0
0.0,0.16666666666666666
0.0,0.0
1.0,1.6666666666666667
0.0,0.0
0.0,0.5
0.0,0.0
0.0,0.0
0.4444444444444444,1.5555555555555554
0.0,0.0
0.4352132541787713,3.3012273167445594
0.0,0.0
0.0,0.5
1.3333333333333333,1.3333333333333333
1.0,3.0
0.0,0.375
0.0,0.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1.1666666666666667
0.0,3.0
0.0,0.0
0.0,0.0
5.072610429073278,12.202971881203306
0.9777777777777779,3.488888888888889
0.0,0.0
2.9199300699300696,6.3686188811188815
0.0,0.375
0.0,0.5
0.0,0.75
0.0,1.875
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.625
0.0,0.0
0.0,0.5
0.0,0.5
0.0,1.0
0.0,0.25
0.0,0.5
0.0,1.0
0.0,0.0
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.0
0.0,0.5
1.0,2.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1.5
0.0,0.0
0.0,0.0
0.0,0.5
0.0,1.0
0.0,1.0
0.0,1.0
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.5
0.0,0.0
0.0,0.0
0.5,1.5
0.0,0.0
0.0,1.5
0.0,0.625
2.3333333333333335,2.6666666666666665
0.8333333333333333,1.8749999999999996
1.6666666666666665,2.3749999999999996
0.0,0.5
0.0,0.0
0.0,0.5
0.0,0.0
1.9979155712663053,19.116670187539487
1.5,3.25
0.0,0.0
0.0,0.0
0.0,1.5
0.0,0.5
0.5,1.875
0.3333333333333333,1.1666666666666665
0.0,0.0
0.0,0.16666666666666666
0.0,0.5
0.0,0.0
0.0,0.125
0.0,1.0833333333333333
0.0,0.0
0.0,0.0
0.375,1.0625
0.0,0.0
0.0,0.0
0.8444444444444446,2.8666666666666667
1.3182539682539682,4.296031746031746
0.0,1.0
0.0,0.16666666666666666
0.5708333333333333,3.285416666666667
0.14545454545454545,4.072727272727272
0.4444444444444444,1.5555555555555554
0.0,0.6666666666666666
0.2222222222222222,1.222222222222222
0.9166666666666666,1.958333333333333
0.0,1.0
1.0,1.75
0.0,0.2
0.0,0.25
0.0,0.0
0.3333333333333333,2.291666666666667
0.25,1.3
0.0,0.0
1.2063492063492063,3.26984126984127
0.0,0.5
0.0,0.0
0.0,0.875
4.674999999999999,8.662499999999998
3.727777777777778,5.641666666666667
0.0,0.5
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.5
2.125,2.8124999999999996
0.0,0.0
2.633333333333333,4.1499999999999995
0.75,1.625
0.5,1.8749999999999998
0.0,0.0
-0.4166666666666667,-0.16666666666666666
0.0,0.0
0.0,0.0
0.0,0.6666666666666666
0.0,0.5
0.0,0.0
0.0,0.5
0.0,1.125
0.5,1.2083333333333333
1.3333333333333333,1.6666666666666667
0.0,0.0
0.0,0.5
0.8333333333333334,2.5833333333333335
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1.0
0.0,0.0
0.0,0.0
0.75,1.5
0.0,0.0
3.7539682539682544,9.043650793650793
0.0,1.0
0.8436507936507937,4.255158730158731
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.0,4.333333333333333
0.0,0.75
0.0,0.0
0.0,0.16666666666666666
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.0
1.594949494949495,3.4338383838383835
0.0,1.0
0.6349206349206349,2.9841269841269837
0.0,0.5
0.0,1.0
0.0,0.25
1.0666666666666667,2.533333333333333
1.3333333333333333,4.166666666666667
0.0,0.5
0.0,0.0
1.1926961926961928,8.263014763014763
0.0,0.16666666666666666
0.0,0.0
0.0,0.5
0.0,0.0
0.0,3.1666666666666665
0.43749999999999994,2.21875
0.0,0.0
0.26666666666666666,1.6933333333333334
0.5,1.8749999999999998
0.0,0.75
0.25,3.9583333333333335
0.0,0.5
0.0,0.0
2.847732811738183,17.147098729101415
0.0,0.25
0.0,0.0
2.091798941798942,6.379232804232804
0.0,0.0
0.0,0.5
0.0,0.25
0.0,0.625
0.0,0.5
0.3916666666666666,2.7375000000000003
0.5,0.875
0.5,1.4166666666666667
0.25,4.291666666666667
0.0,0.0
0.75,1.625
0.911111111111111,2.9555555555555557
0.0,0.5
0.0,1.0
0.0,0.3333333333333333
0.0,1.0
0.0,0.25
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.3333333333333333
5.280559038662487,10.472176071055381
1.7290305010893245,6.997848583877996
0.0,0.0
-0.038461538461538464,0.490384615384615
0.0,0.16666666666666666
0.0,0.5
0.0,0.0
0.0,0.75
0.0,1.6666666666666667
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3.721428571428571,6.194047619047619
0.0,0.0
0.0,0.5
0.3333333333333333,2.5
0.0,0.16666666666666666
0.0,0.0
0.0,2.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.0
0.1304563492063492,3.1902281746031744
0.0,0.0
0.5714285714285714,3.416666666666667
0.0,0.375
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.875
0.0,0.5
0.0,0.0
0.0,0.5
0.0,1.0
5.0535515873015875,9.936775793650792
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1.0
0.0,0.0
0.0,0.0
0.0,0.375
1.4851190476190474,3.9925595238095237
0.0,0.5
0.8671491228070175,6.713574561403508
0.42142857142857143,1.9107142857142854
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.16666666666666666
0.0,0.8
0.0,0.5
0.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.6666666666666666,2.333333333333333
2.0,2.0
2.7619047619047614,4.571428571428571
