row,col
1596,1688
1596,1747
1596,1907
1606,2027
1606,2622
1610,1685
1610,1708
1610,1724
1610,2040
1610,2062
1619,1678
1619,1704
1636,1708
1643,1644
1645,1861
1645,2295
1651,1652
1657,1658
1660,2341
1666,1673
1666,1679
1672,1708
1672,1715
1672,1716
1672,1724
1672,1730
1672,1965
1673,1741
1678,1750
1678,2079
1679,1726
1679,1738
1684,2420
1686,1687
1686,1688
1686,2064
1686,2258
1686,2604
1688,1864
1694,1766
1694,2012
1704,2040
1704,2191
1708,1724
1715,1716
1715,1800
1715,1965
1716,1730
1716,1902
1724,2016
1730,1965
1731,1750
1732,2278
1737,2294
1737,2413
1750,1762
1750,1937
1759,2324
1762,1940
1772,1773
1775,2281
1796,2553
1799,1800
1808,2480
1810,2298
1810,2523
1812,2212
1847,1848
1858,2298
1878,1891
1880,1897
1907,1908
1908,2278
1927,1989
1942,1943
1942,2212
1953,1954
1953,2367
1989,1990
2004,2009
2004,2299
2011,2065
2012,2013
2036,2718
2060,2278
2074,2169
2087,2695
2165,2166
2168,2169
2168,2355
2169,2352
2169,2355
2194,2698
2221,2380
2240,2714
2294,2430
2294,2615
2315,2316
2344,2345
2353,2553
2387,2391
2388,2391
2389,2390
2413,2430
2474,2532
2501,2503
2501,2505
2508,2511
2510,2511
2545,2546
2678,2679
2695,2696
2695,2697
2696,2697
2705,2706
2716,2717
