,DC
532,4.4
533,0.0
534,6.0
535,6.2
536,21.0
537,7.4
538,1.0
539,1.0
540,3.0
541,0.0
542,0.0
543,4.6
544,7.0
545,1.0
546,0.0
547,0.0
548,2.0
549,2.8
550,1.0
551,3.0
552,3.2
553,0.0
554,44.6
555,1.0
556,1.0
557,0.0
558,1.6
559,2.0
560,3.6
561,1.0
562,1.8
563,0.0
564,6.0
565,4.2
566,1.0
567,2.0
568,0.0
569,2.8
570,7.0
571,0.0
572,0.0
573,10.4
574,2.4
575,3.0
576,0.0
577,1.0
578,4.6
579,13.0
580,1.4
581,3.6
582,2.0
583,1.0
584,3.4
585,3.4
586,1.0
587,3.0
588,1.0
589,2.0
590,0.0
591,3.6
592,11.8
593,4.8
594,0.0
595,22.4
596,7.6
597,2.0
598,5.6
599,1.0
600,2.6
601,8.2
602,28.0
603,11.0
604,1.0
605,30.6
606,0.0
607,0.0
608,0.0
609,0.0
610,1.0
611,0.0
612,1.0
613,1.0
614,25.4
615,15.0
616,20.0
617,8.6
618,1.0
619,0.0
620,0.0
621,1.0
622,2.0
623,17.8
624,30.0
625,2.6
626,1.0
627,0.0
628,0.0
629,34.0
630,1.0
631,1.0
632,6.6
633,0.0
634,3.8
635,0.0
636,0.0
637,1.8
638,1.0
639,17.4
640,12.4
641,0.0
642,1.0
643,1.6
644,2.6
645,12.0
646,0.0
647,0.0
648,1.0
649,3.6
650,4.6
651,0.0
652,1.0
653,7.4
654,0.0
655,8.8
656,4.0
657,0.0
658,1.0
659,3.4
660,0.0
661,1.0
662,2.0
663,0.0
664,0.0
665,20.2
666,3.0
667,3.6
668,1.0
669,0.0
670,2.0
671,1.0
672,2.0
673,0.0
674,1.0
675,0.0
676,6.4
677,1.8
678,0.0
679,17.0
680,2.0
681,1.0
682,0.0
683,2.4
684,1.0
685,7.6
686,0.0
687,7.0
688,2.0
689,5.8
690,1.8
691,0.0
692,9.8
693,13.0
694,1.0
695,1.0
696,0.0
697,1.0
698,0.0
699,0.0
700,0.0
701,2.4
702,1.0
703,2.0
704,0.0
705,0.0
706,14.0
707,1.0
708,9.6
709,0.0
710,0.0
711,7.4
712,1.6
713,14.5
714,16.666666666666668
715,1.0
716,0.0
717,6.4
718,0.0
719,3.6
720,1.0
721,5.0
722,12.0
723,8.4
724,19.0
725,6.2
726,0.0
727,1.0
728,8.2
729,0.0
730,5.0
731,4.6
732,1.0
733,5.2
734,6.8
735,2.0
736,1.0
737,0.0
738,0.0
739,1.0
740,0.0
741,7.0
742,1.0
743,0.0
744,2.0
745,1.0
746,0.0
747,0.0
748,0.0
749,3.0
750,0.0
751,2.0
752,3.0
753,5.0
754,0.0
755,1.2
756,3.0
757,2.0
758,0.0
759,2.0
760,3.0
761,1.0
762,0.0
763,5.0
764,0.0
765,0.0
766,3.2
767,14.6
768,4.6
769,6.0
770,0.0
771,16.0
772,41.0
773,0.0
774,0.0
775,4.0
776,5.2
777,1.0
778,1.0
779,7.4
780,1.0
781,0.0
782,2.5
783,12.2
784,6.4
785,0.0
786,3.8
787,1.0
788,6.0
789,1.4
790,3.0
791,1.0
792,1.4
793,1.0
794,17.4
795,1.0
796,0.0
797,0.0
798,0.0
799,0.0
800,1.0
801,0.0
802,5.2
803,0.0
804,5.8
805,1.5
806,0.0
807,0.0
808,2.0
809,3.6
810,0.0
811,1.0
812,5.8
813,0.0
814,1.0
815,1.0
816,2.0
817,3.6
818,0.0
819,1.0
820,3.6
821,4.75
822,2.8
823,2.0
824,0.0
825,0.0
826,44.2
827,6.2
828,2.8
829,2.0
830,1.0
831,0.0
832,0.0
833,2.0
834,0.0
835,0.0
836,4.0
837,2.6
838,1.0
839,0.0
840,1.0
841,5.8
842,0.0
843,0.0
844,1.0
845,23.0
846,1.0
847,5.0
848,0.0
849,1.0
850,1.0
851,0.0
852,3.0
853,0.0
854,2.0
855,1.8
856,1.25
857,0.0
858,5.0
859,3.2
860,0.0
861,4.6
862,0.0
863,0.0
864,8.0
865,1.0
866,3.8
867,1.0
868,2.4
869,0.0
870,4.8
871,4.8
872,5.0
873,0.0
874,2.0
875,2.0
876,0.0
877,8.4
878,2.0
879,0.0
880,0.0
881,14.0
882,1.4
883,9.6
884,1.0
885,0.0
886,1.0
887,2.6
888,1.0
889,6.6
890,0.0
891,2.8
892,0.0
893,0.0
894,7.6
895,1.0
896,1.0
897,1.8
898,5.5
899,2.0
900,1.0
901,0.0
902,9.6
903,1.0
904,5.8
905,6.2
906,4.0
907,0.0
908,1.0
909,1.6
910,2.0
911,7.0
912,1.0
913,2.6
914,1.0
915,10.4
916,5.0
917,1.0
918,6.6
919,9.2
920,0.0
921,4.0
922,1.0
923,1.6
924,0.0
925,1.0
926,0.0
927,1.4
928,2.0
929,17.0
930,1.8
931,1.6
932,2.0
933,18.8
934,0.0
935,2.0
936,2.0
937,0.0
938,0.0
939,6.0
940,1.25
941,0.0
942,0.0
943,14.6
944,0.0
945,0.0
946,3.6
947,3.6
948,1.0
949,2.8
950,2.6
951,1.0
952,12.0
953,6.0
954,13.8
955,26.0
956,0.0
957,8.8
958,0.0
959,1.0
960,10.0
961,8.0
962,1.6
963,2.0
964,7.0
965,7.0
966,1.0
967,11.6
968,11.0
969,1.0
970,0.0
971,1.0
972,6.0
973,6.0
974,1.0
975,1.0
976,1.0
977,0.0
978,0.0
979,0.0
980,0.0
981,10.4
982,15.8
983,6.6
984,0.0
985,1.0
986,7.8
987,0.0
988,0.0
989,3.0
990,4.2
991,8.8
992,1.0
993,5.8
994,4.6
995,4.0
996,0.0
997,15.6
998,1.0
999,1.0
