,EC
0,0.0
1,0.0
2,0.002202251
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.1455000000000001e-05
9,0.0010666756
10,0.0
11,0.001364967
12,0.0
13,0.00055575
14,0.0019183154
15,2.0404e-05
16,0.0030643251999999998
17,0.0
18,0.0010150142000000001
19,0.004265640333333333
20,0.0070361196
21,0.0
22,0.0
23,0.0031209873999999997
24,0.0031047554
25,0.0088325594
26,0.0
27,0.0
28,0.0056101576
29,0.0046826935
30,0.00012426
31,0.00041180000000000003
32,0.00031549999999999997
33,0.009405199
34,0.0
35,0.009988525600000001
36,0.0138333658
37,0.00016425
38,0.0
39,0.0012715316
40,0.015355996399999999
41,0.006074410666666666
42,0.0
43,0.004956653399999999
44,0.0086745688
45,0.000321
46,0.018991471
47,0.000674
48,0.010742970600000002
49,0.001057291
50,0.0
51,0.0
52,0.0001565
53,0.0
54,0.00056778
55,3.3075e-05
56,6.302e-06
57,0.005558624799999999
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0022520534
63,4.648e-05
64,0.0008374966000000001
65,0.0013019317500000001
66,0.0
67,0.0
68,0.0134539306
69,0.0032887138
70,0.0064871895
71,0.0013028039999999999
72,0.020523192000000003
73,0.007724341600000001
74,0.007342723400000001
75,0.00045439999999999993
76,0.0013973298000000002
77,0.0005737578
78,0.0009177397999999999
79,0.0014989496
80,0.0007506165999999999
81,0.0
82,0.0030544630000000003
83,0.000674
84,0.0002326666666666667
85,0.0021729256
86,0.0
87,0.0
88,0.0015117908
89,0.0107876714
90,0.005446887333333333
91,0.0
92,0.0
93,0.0629270874
94,0.0021175848
95,0.0
96,9.426000000000001e-05
97,0.0
98,0.0046151002000000005
99,0.0100408868
100,6.091999999999999e-05
101,0.003335884
102,9.702e-05
103,0.0
104,0.0218540664
105,0.002676286
106,0.0009075
107,0.0
108,0.00098448425
109,0.0001605
110,0.0
111,0.0062250756
112,0.0005664
113,0.009237586
114,0.029597859400000003
115,0.0
116,0.0009401177999999999
117,0.0
118,0.0010305492
119,0.0010280616666666668
120,0.0
121,0.00064375
122,0.00120447825
123,0.002133252
124,0.0014331091999999998
125,0.0
126,0.018822943399999997
127,0.0002964
128,8.58e-05
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0006554219999999999
134,0.0
135,0.0
136,0.00172051925
137,0.0044504802
138,0.0011522852
139,0.00048
140,0.0
141,0.0046637779999999995
142,0.0
143,0.00085321225
144,0.0006877382
145,0.0026543333999999997
146,0.0
147,0.0021189927999999995
148,0.0024368962
149,0.0010024363333333334
150,3.9520000000000004e-06
151,8.026e-05
152,0.00046033333333333326
153,0.0023081414000000002
154,0.0
155,0.008187639399999998
156,0.0
157,0.0045440129999999995
158,8.924e-05
159,3.3379999999999996e-05
160,0.0
161,0.0010235852
162,0.0215969512
163,0.00015512000000000002
164,0.0013435524000000002
165,0.0012430236
166,0.000197
167,0.0010939209999999999
168,0.005362631666666667
169,0.0095398864
170,0.00221553
171,0.0016327206666666668
172,0.00020696
173,0.0001027
174,0.036249948
175,5.520500000000001e-06
176,0.0
177,0.0
178,0.0018782396666666666
179,0.0045980088
180,0.009932530200000001
181,0.0084753264
182,0.003054023
183,0.0
184,0.0003094
185,0.0
186,0.0
187,0.0
188,0.0015300320000000002
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0008711037999999999
199,0.0
200,0.0390712628
201,0.0136440118
202,0.0387908032
203,0.0681842904
204,0.000183
205,7.358000000000001e-05
206,0.0004516
207,0.005994419666666667
208,0.0022735947999999997
209,0.0038688087999999995
210,0.0
211,0.0
212,0.002662821
213,0.005446887333333333
214,0.0004916666666666667
215,3.492e-05
216,0.0
217,0.0
218,0.0007240618
219,0.0
220,0.000541409
221,0.0
222,0.0009121786
223,0.007272500999999999
224,0.0
225,0.0027610944
226,0.0005052500000000001
227,0.0
228,0.0
229,0.0
230,0.021960658400000003
231,0.0
232,0.0010955394000000001
233,0.0025527874
234,0.0
235,0.000674
236,0.004782496
237,0.0010115406
238,0.00010244
239,0.0
240,0.0024253900000000004
241,0.0
242,0.0
243,0.0
244,0.008374057800000001
245,3.9656e-05
246,0.0
247,0.0023268281999999996
248,0.0013016295
249,0.0008374966000000001
250,4.6500000000000005e-05
251,0.0
252,0.026096119
253,0.0011364379999999998
254,0.010289649000000001
255,0.0
256,0.0
257,0.010319347400000001
258,0.0052085702
259,0.0
260,0.002707047
261,0.003554997
262,0.0
263,0.0
264,0.0
265,0.0001088
266,0.00020140000000000002
267,0.0006255772000000001
268,0.0068807012
269,2.6233333333333335e-05
270,0.00019873800000000003
271,0.0056065066
272,0.0
273,0.0
274,0.008605413000000001
275,0.0053833438
276,0.0
277,0.0033479645
278,0.0007310022
279,0.0073948612
280,0.0
281,0.0021709834000000006
282,0.0018662126000000001
283,0.0
284,0.0053510447999999995
285,0.0015831654
286,0.0039394315999999995
287,0.00030160000000000007
288,0.0
289,0.0
290,0.0
291,0.0062817442
292,0.0
293,0.002673235
294,0.0
295,0.0002412
296,0.0006718
297,0.002113902
298,0.0
299,0.03918768300000001
300,0.0005674
301,0.0013282927999999999
302,0.0063639994000000005
303,0.00023636
304,0.0007599999999999999
305,0.0031278953999999996
306,0.0
307,0.009228454399999999
308,0.0013396378000000001
309,0.012075897666666668
310,0.0008545364
311,0.0
312,0.0015559566
313,0.0
314,0.097441043
315,0.021235135
316,0.002316354
317,0.0023776628
318,0.0
319,0.0
320,0.0
321,0.012149517799999999
322,0.007382145
323,0.0027024659999999997
324,0.0005260000000000001
325,0.0
326,0.0
327,0.0015015053333333334
328,0.058113485799999996
329,0.0008374966000000001
330,0.0
331,4.1066666666666664e-05
332,0.0
333,0.0006002000000000001
334,0.0
335,0.0
336,0.0
337,0.0008740899999999999
338,0.0038404824
339,0.000318
340,0.0003975
341,0.000491
342,0.004972639
343,0.0041276278
344,0.0
345,2.744e-05
346,0.00048925
347,0.0009383278
348,0.00131859025
349,0.0
350,0.0011597612
351,0.0
352,0.0020359460000000003
353,0.001495376
354,0.001539854
355,0.0005132
356,0.0020176866
357,0.0109610596
358,0.0
359,0.0023725148000000003
360,0.0
361,0.0006761999999999998
362,0.026887357
363,8.49e-05
364,0.0268295366
365,0.0006876
366,0.0006256
367,0.0
368,0.0
369,0.0035713926
370,0.0
371,0.0
372,0.00098448425
373,0.0007659498
374,0.0
375,0.0
376,0.0
377,0.001511791
378,0.0013779838
379,0.010619679000000002
380,0.0
381,0.000674
382,0.0006804000000000001
383,0.0
384,0.0
385,0.0038057287999999994
386,0.0016941137999999998
387,0.0
388,0.0045191174
389,0.0025250130000000004
390,9.523333333333332e-05
391,0.0
392,0.0006102000000000001
393,0.0008536666666666667
394,0.0
395,0.0010642988
396,0.0012399078
397,1.855e-05
398,0.0
