ID,SC,DC,EC,IC,LAC,BC,NC
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,2.0399368,1,9.09E-06,1.2806242,0,0,0
9,35.538887,4,0.000225,2.0788279,2.5,0.4,3.3333333
10,108.41649,1,0.000604,1.2806242,0,0,0
11,579.64484,2,0.001313842,1.6278659,0,537.68005,0
12,0,0,0,0,0,0,0
13,1514.143,7,0.000594,2.4625719,1.1428572,9297.576,2.25
14,1067.8679,4,0.001873595,2.0788279,0,4857.64,0
15,1.9430703,1,1.36E-05,1.2806242,0,0,0
16,1812.1586,7,0.002509025,2.4625719,1.1428572,3840.2717,1.3666667
17,0,0,0,0,0,0,0
18,177.71675,2,0.000883,1.6278659,0,705.09485,0
19,0,0,0,0,0,0,0
20,19835.94,6,0.008164216,2.3588755,1,1083.155,1.2
21,0,0,0,0,0,0,0
22,21935.166,3,0.010109584,1.8832083,0.6666667,3011.685,1
23,4652.5537,4,0.002926623,2.0788279,0,7464.146,0
24,5556.2944,5,0.00382614,2.2335186,0,12736.532,0
25,27502.299,10,0.010027523,2.6881099,1.8,10358.855,2.0555556
26,0,0,0,0,0,0,0
27,7.3296833,1,4.10E-05,1.2806242,0,0,0
28,13510.862,4,0.00655342,2.0788279,0.5,3969.3513,0.6666667
29,0,0,0,0,0,0,0
30,7.181937,2,0.000126,1.6278659,0,488.14972,0
31,53.94228,2,0.000376,1.6278659,1,0,2
32,136.87558,2,0.000631,1.6278659,0,260.3832,0
33,242.18857,2,0.000962,1.6278659,1,0,2
34,0,0,0,0,0,0,0
35,33161.938,3,0.012052081,1.8832083,0,7501.7656,0
36,32699.129,19,0.009399279,3.0199804,2.9473684,23646.836,5.7453823
37,22.874107,1,0.000224,1.2806242,0,0,0
38,0,0,0,0,0,0,0
39,2198.0078,4,0.00234366,2.0788279,0,9515.433,0
40,129793.805,12,0.024681415,2.7930686,1.3333334,10128.996,1.5227273
41,8795.277,4,0.006281339,2.0788279,0.5,5584.334,0.6666667
42,0,0,0,0,0,0,0
43,8417.668,6,0.004241907,2.3588755,1,2684.8586,1.3333334
44,51227.004,17,0.014766401,2.970221,0.5882353,42664.574,1.1810898
45,0,0,0,0,0,0,0
46,192455.42,19,0.02879644,3.0199804,8.105263,16063.914,12.580622
47,125.36077,1,0.00069,1.2806242,0,0,0
48,11630.224,13,0.006207767,2.8365662,0.7692308,46683.53,2.1
49,424.06342,1,0.001245033,1.2806242,0,0,0
50,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,53.581757,5,0.000379,2.2335186,0,13323.722,0
53,0,0,0,0,0,0,0
54,140.60124,5,0.000547,2.2335186,2.4,2484.3445,3.25
55,2.6501524,1,4.93E-05,1.2806242,0,0,0
56,2.419735,2,3.71E-06,1.6278659,0,6888,0
