ID,SC,DC,EC,IC,LAC,BC,NC
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,712.6915,2,0.001799848,1.6185169,1,0,2
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,2.0799634,1,2.18E-05,1.2748327,0,0,0
9,482.34488,5,0.00145684,2.2159495,2.4,3465.1082,3
10,8.702021,1,0.000187,1.2748327,0,0,0
11,470.4468,2,0.001368838,1.6185169,0,602.98413,0
12,0,0,0,0,0,0,0
13,519.0588,4,0.000629,2.0636015,0.5,1493.1381,0.6666667
14,801.50635,5,0.002002109,2.2159495,0,11500.575,0
15,2.5047688,1,2.70E-05,1.2748327,0,0,0
16,2933.3008,8,0.004019152,2.526864,1,10086.344,1.25
17,500.63388,3,0.00160818,1.8707066,0,7369.221,0
18,156.9963,2,0.001023267,1.6185169,0,1126.4468,0
19,330.745,1,0.001224571,1.2748327,0,0,0
20,23904.57,6,0.010710693,2.339288,1,890.85095,1.2
21,0,0,0,0,0,0,0
22,1353.6392,3,0.002522237,1.8707066,0,3873.9905,0
23,3412.3481,5,0.003405678,2.2159495,0.4,11101.492,0.5
24,7391.747,5,0.005828312,2.2159495,0,15348.236,0
25,21369.049,9,0.010498636,2.5998247,1.5555556,9551.286,1.9107143
26,0,0,0,0,0,0,0
27,15.236814,1,0.0001,1.2748327,0,0,0
28,15042.144,4,0.008234986,2.0636015,0.5,5448.9897,0.6666667
29,2456.9604,1,0.004156868,1.2748327,0,0,0
30,6.1297936,2,0.000141,1.6185169,0,343.5923,0
31,46.261356,2,0.000417,1.6185169,1,0,2
32,140.35063,2,0.000763,1.6185169,0,445.25742,0
33,10954.726,6,0.008826453,2.339288,0.33333334,2549.3623,0.4
34,0,0,0,0,0,0,0
35,8255.554,3,0.005950275,1.8707066,0,5743.931,0
36,53576.254,20,0.017156394,3.009396,2.9,40369.945,6.2020116
37,7.3567944,1,0.000143,1.2748327,0,0,0
38,0,0,0,0,0,0,0
39,205.46664,3,0.000841,1.8707066,0,810.6022,0
40,5.8669033,1,0.00016,1.2748327,0,0,0
41,1165.633,2,0.002884881,1.6185169,0,1013.64874,0
42,0,0,0,0,0,0,0
43,11003.396,5,0.006699847,2.2159495,1.2,4362.675,1.5833334
44,41136.35,17,0.016428102,2.9392266,0.7058824,43639.918,1.8255953
45,0,0,0,0,0,0,0
46,14889.306,15,0.008427309,2.8804765,5.6,15481.946,7.466134
47,0,0,0,0,0,0,0
48,32037.072,14,0.014775854,2.8463204,0.71428573,51580.668,1.9871795
49,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,18.330946,3,0.000194,1.8707066,0,1864.407,0
53,0,0,0,0,0,0,0
54,119.469734,4,0.000661,2.0636015,2,2821.2908,2.8333333
55,2.563131,1,5.61E-05,1.2748327,0,0,0
56,1.5411906,1,0,1.2748327,0,0,0
