,I4N
0,1.957473675
1,0.0
2,0.0
3,0.0
4,2.299916625
5,1.783141275
6,1.2337355
7,0.0
8,0.0
9,2.226863075
10,1.5526589
11,1.9924146999999999
12,1.5526589
13,0.0
14,1.2337355
15,1.2337355
16,0.0
17,0.0
18,0.0
19,2.7039491
20,1.2337355
21,1.5526589
22,1.78314125
23,1.611413875
24,1.2337355
25,0.0
26,2.356185025
27,0.0
28,0.0
29,0.0
30,1.2337355
31,2.2037112
32,0.0
33,1.2337355
34,2.2939149249999997
35,2.8613811250000003
36,1.2337355
37,1.2337355
38,0.0
39,2.369329275
40,0.0
41,1.5526589
42,1.957473675
43,1.2337355
44,1.2337355
45,0.0
46,0.0
47,0.0
48,1.2426578000000001
49,1.5526589
50,1.5526589
51,0.0
52,2.12210155
53,2.6234181249999997
54,2.8350225
55,2.546846325
56,1.827687925
57,0.0
58,1.2337355
59,0.0
60,1.7831413249999999
61,0.0
62,1.5526589
63,0.0
64,0.0
65,2.0205484
66,0.0
67,2.912984875
68,1.5668148000000002
69,1.2337355
70,1.61141395
71,2.0939678499999994
72,1.2337355
73,1.2337355
74,0.0
75,0.0
76,0.0
77,1.7831413249999999
78,2.2037112
79,0.0
80,0.0
81,2.910604575
82,2.2939149249999997
83,0.0
84,2.6478607
85,1.2337355
86,1.2337355
87,1.5526589
88,2.0939678499999994
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,1.7831413249999999
95,0.0
96,1.2337355
97,1.2337355
98,1.5526589
99,1.2337355
100,1.2337355
101,1.5526589
102,0.0
103,1.2337355
104,1.2337355
105,1.2337355
106,0.0
107,1.2337355
108,1.7831413249999999
109,0.0
110,0.0
111,0.0
112,1.7831413249999999
113,0.0
114,0.0
115,1.2337355
116,1.5526589
117,1.5526589
118,1.5526589
119,0.0
120,0.0
121,1.2337355
122,1.2337355
123,0.0
124,0.0
125,2.12210155
126,0.0
127,1.7831413249999999
128,1.5526589
129,1.7831413249999999
130,1.957473675
131,1.957473675
132,1.2337355
133,0.0
134,1.2337355
135,0.0
136,3.059614725
137,2.0939678499999994
138,0.0
139,0.0
140,1.7831413249999999
141,1.2337355
142,2.226863075
143,2.0205484
144,0.0
145,1.2337355
146,1.2337355
147,0.0
148,1.2337355
149,2.0939678499999994
150,0.0
151,2.8517766
152,1.6114140499999998
153,0.0
154,0.0
155,2.2939149249999997
156,2.696113225
157,1.7831413249999999
158,1.2337355
159,2.637886575
160,2.546846325
161,2.0630741749999997
162,1.6114140499999998
163,1.9924146999999999
164,2.12210155
165,1.552659
166,1.957473675
167,1.2337355
168,1.552659
169,0.0
170,2.313288825
171,2.246236975
172,0.0
173,2.3857835
174,1.2337355
175,0.0
176,1.552659
177,2.7039491
178,2.4333231250000003
179,1.2337355
180,0.0
181,0.0
182,1.2337355
183,1.2337355
184,1.957473675
185,0.0
186,2.2037112
187,1.7831413249999999
188,1.957473675
189,0.0
190,2.447471225
191,0.0
192,0.0
193,1.552659
194,1.2337355
195,0.0
196,1.2337355
197,1.9924146999999999
198,1.957473675
199,1.86262895
200,0.0
201,1.2337355
202,2.0939678499999994
203,0.0
204,0.0
205,0.0
206,1.552659
207,0.0
208,0.0
209,1.7831413249999999
210,0.0
211,2.6773845
212,1.552659
213,2.447471225
214,0.0
215,0.0
216,0.0
217,0.0
218,2.369329275
219,1.552659
220,0.0
221,1.2337355
222,0.0
223,0.0
224,1.2337355
225,1.2337355
226,1.2337355
227,0.0
228,2.6057786999999997
229,1.552659
230,2.3999316
231,1.2337355
232,1.552659
233,1.2337355
234,2.2626912
235,2.2939149249999997
236,1.2337355
237,0.0
238,2.85060605
239,1.2337355
240,0.0
241,1.2337355
242,0.0
243,2.2939149249999997
244,2.0939678499999994
245,0.0
246,2.2939149249999997
247,1.957473675
248,1.552659
249,2.4333231250000003
250,1.2337355
251,0.0
252,2.9515183499999997
253,1.2337355
254,0.0
255,2.5360628750000003
256,0.0
257,1.2337355
258,1.2337355
259,1.552659
260,1.2337355
261,2.2939149249999997
262,1.552659
263,2.369329275
264,2.4333231250000003
265,0.0
266,1.7831413249999999
267,2.2939149249999997
268,1.2337355
269,1.552659
270,1.2337355
271,1.552659
272,1.2337355
273,0.0
274,0.0
275,1.2337355
276,1.2337355
277,1.2337355
278,1.3147747500000002
279,2.930655175
280,2.783154825
281,0.0
282,2.6623291499999997
283,1.2337355
284,1.2337355
285,0.0
286,1.957473675
287,1.957473675
288,0.0
289,0.0
290,0.0
291,0.0
292,2.4333231250000003
293,0.0
294,1.2337355
295,2.0939678499999994
296,1.2337355
297,0.0
298,2.520924175
299,0.0
300,0.0
301,0.0
302,0.0
303,1.2337355
304,0.0
305,2.50060535
306,1.8018349999999999
307,2.369329275
308,1.552659
309,0.0
310,0.0
311,1.2337355
312,1.552659
313,1.2337355
314,0.0
315,1.2337355
316,1.552659
317,2.8915572249999997
318,0.0
319,0.0
320,0.0
321,1.552659
322,0.0
323,0.0
324,1.6114140499999998
325,2.4333231250000003
326,1.2337355
327,2.8810324749999996
328,2.369329275
329,0.0
330,0.0
331,1.2337355
332,1.552659
333,1.5526589
334,1.2337355
335,1.5526589
336,0.0
337,0.0
338,0.0
339,1.957473675
340,1.552659
341,2.369329275
342,2.0939678499999994
343,1.7831413249999999
344,2.7280704
345,1.3147747500000002
346,2.577925975
347,0.0
348,0.0
349,1.2337355
350,1.552659
351,0.0
352,2.3857835
353,1.2426578000000001
354,0.0
355,0.0
356,1.2337355
357,1.2337355
358,1.2337355
359,1.3147747500000002
360,1.2337355
361,0.0
362,0.0
363,1.2337355
364,1.5668148000000002
365,0.0
366,1.2426578000000001
367,0.0
368,1.552659
369,1.2337355
370,1.7831413249999999
371,0.0
372,0.0
373,0.0
374,2.69046215
375,0.0
376,2.0939678499999994
377,1.7831413249999999
378,1.6114140499999998
379,0.0
380,2.923953
381,0.0
382,0.0
383,0.0
384,3.0069573
385,1.2337355
386,0.0
387,0.0
388,2.2037112
389,1.957473675
390,0.0
391,0.0
392,2.98511545
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,2.98896075
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,2.881025525
419,1.3147747500000002
420,0.0
421,2.226863075
422,1.86262895
423,0.0
424,0.0
425,0.0
426,2.296964975
427,2.478455675
428,1.936982975
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,1.9800214
446,0.0
447,1.2337355
448,1.2337355
449,1.7831413249999999
450,1.5668148000000002
451,1.2426578000000001
452,0.0
453,0.0
454,0.0
455,0.0
456,1.2337355
457,0.0
458,0.0
459,0.0
460,0.0
461,1.957473675
462,1.2337355
463,0.0
464,1.552659
465,1.552659
466,1.552659
467,3.0582751249999998
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,2.897816225
474,1.2337355
475,0.0
476,0.0
477,0.0
478,0.0
479,1.2337355
480,1.2337355
481,1.7831413249999999
482,0.0
483,1.957473675
484,0.0
485,0.0
486,1.2426578000000001
487,1.552659
488,0.0
489,1.2337355
490,2.0939678499999994
491,2.9152104999999997
492,1.2337355
493,1.2337355
494,0.0
495,1.2337355
496,1.2337355
497,1.2426578000000001
498,1.552659
499,0.0
500,0.0
501,0.0
502,1.552659
503,2.2037112
504,1.552659
505,1.552659
506,1.7831413249999999
507,0.0
508,0.0
509,0.0
510,0.0
511,1.2337355
512,1.957473675
513,0.0
514,0.0
515,0.0
516,1.827687925
517,0.0
518,0.0
519,1.7831413249999999
520,1.7831413249999999
521,0.0
522,0.0
523,1.7831413249999999
524,0.0
525,1.2337355
526,0.0
527,1.2426578000000001
528,1.2337355
529,2.2037112
530,0.0
531,1.552659
532,1.2337355
533,2.631032925
534,0.0
535,0.0
536,1.957473675
537,0.0
538,2.226863075
539,1.2337355
540,0.0
541,2.0939678499999994
542,0.0
543,2.95636105
544,2.8506060750000004
545,1.7831413249999999
546,1.7831413249999999
547,2.0939678499999994
548,1.552659
549,1.7831413249999999
550,0.0
551,2.0939678499999994
552,2.4333231250000003
553,1.2337355
554,1.2337355
555,1.2337355
556,0.0
557,1.957473675
558,2.6035665249999997
559,0.0
560,1.5526589
561,0.0
562,0.0
563,0.0
564,1.2337355
565,1.2337355
566,1.6114140499999998
567,1.5526589
568,0.0
569,1.7831413249999999
570,0.0
571,0.0
572,1.7831413249999999
573,0.0
574,0.0
575,1.7831413249999999
576,0.0
577,1.2337355
578,0.0
579,1.7831413249999999
580,1.552659
581,2.3857835
582,0.0
583,1.2337355
584,1.2337355
585,1.2337355
586,1.2337355
587,1.2337355
588,0.0
589,1.2337355
590,0.0
591,1.552659
592,0.0
593,0.0
594,1.7831413249999999
595,0.0
596,1.827687925
597,0.0
598,0.0
599,0.0
600,2.8197848
601,0.0
602,1.552659
603,1.2337355
604,1.2337355
605,1.552659
606,1.2337355
607,1.8907626499999999
608,0.0
609,1.2337355
610,0.0
611,1.2337355
612,2.53606275
613,1.2337355
614,1.2337355
615,1.2337355
616,0.0
617,1.2337355
618,1.2337355
619,1.2426578000000001
620,1.5526589
621,2.2037112
622,1.2337355
623,0.0
624,1.2337355
625,1.2337355
626,1.552659
627,0.0
628,0.0
629,0.0
630,1.552659
631,0.0
632,2.2037112
633,1.2337355
634,1.2337355
635,0.0
636,2.89099605
637,1.2337355
638,2.0939679999999994
639,0.0
640,2.2939149249999997
641,1.7831413249999999
642,2.226863075
643,1.7831413249999999
644,0.0
645,1.2337355
646,1.7831413249999999
647,1.2337355
648,0.0
649,1.552659
650,1.2337355
