,D4N
532,1.0
533,13.5
534,0.0
535,0.0
536,4.0
537,0.0
538,6.25
539,1.0
540,0.0
541,5.0
542,0.0
543,35.75
544,24.25
545,3.0
546,3.0
547,5.0
548,2.0
549,3.0
550,0.0
551,5.0
552,9.0
553,1.0
554,1.0
555,1.0
556,0.0
557,4.0
558,12.75
559,0.0
560,2.0
561,0.0
562,0.0
563,0.0
564,1.0
565,1.0
566,2.25
567,2.0
568,0.0
569,3.0
570,0.0
571,0.0
572,3.0
573,0.0
574,0.0
575,3.0
576,0.0
577,1.0
578,0.0
579,3.0
580,2.0
581,8.25
582,0.0
583,1.0
584,1.0
585,1.0
586,1.0
587,1.0
588,0.0
589,1.0
590,0.0
591,2.0
592,0.0
593,0.0
594,3.0
595,0.0
596,3.25
597,0.0
598,0.0
599,0.0
600,22.0
601,0.0
602,2.0
603,1.0
604,1.0
605,2.0
606,1.0
607,3.75
608,0.0
609,1.0
610,0.0
611,1.0
612,11.0
613,1.0
614,1.0
615,1.0
616,0.0
617,1.0
618,1.0
619,1.0
620,2.0
621,6.0
622,1.0
623,0.0
624,1.0
625,1.0
626,2.0
627,0.0
628,0.0
629,0.0
630,2.0
631,0.0
632,6.0
633,1.0
634,1.0
635,0.0
636,28.5
637,1.0
638,5.0
639,0.0
640,7.0
641,3.0
642,6.25
643,3.0
644,0.0
645,1.0
646,3.0
647,1.0
648,0.0
649,2.0
650,1.0
651,0.0
652,1.0
653,1.0
654,1.0
655,1.0
656,1.0
657,0.0
658,2.0
659,2.0
660,2.0
661,1.0
662,0.0
663,1.0
664,27.0
665,1.0
666,0.0
667,0.0
668,0.0
669,0.0
670,2.0
671,10.0
672,4.0
673,4.25
674,18.25
675,0.0
676,1.0
677,1.0
678,8.0
679,2.0
680,0.0
681,1.0
682,1.0
683,1.0
684,3.0
685,0.0
686,16.5
687,3.0
688,1.0
689,0.0
690,0.0
691,5.0
692,1.0
693,0.0
694,0.0
695,0.0
696,0.0
697,2.0
698,1.0
699,0.0
700,0.0
701,5.0
702,5.0
703,1.0
704,2.0
705,0.0
706,1.0
707,16.25
708,1.0
709,1.0
710,5.0
711,2.0
712,1.0
713,4.25
714,1.0
715,1.0
716,1.0
717,1.0
718,1.0
719,1.0
720,0.0
721,0.0
722,33.25
723,6.0
724,3.0
725,0.0
726,1.0
727,1.0
728,9.0
729,1.0
730,3.0
731,1.0
732,22.5
733,3.0
734,0.0
735,0.0
736,2.0
737,4.0
738,24.5
739,0.0
740,0.0
741,1.0
742,2.0
743,1.0
744,4.0
745,6.25
746,0.0
747,0.0
748,1.0
749,3.0
750,4.0
751,1.0
752,1.0
753,6.0
754,2.0
755,8.0
756,1.0
757,4.0
758,1.0
759,7.0
760,2.0
761,1.0
762,0.0
763,0.0
764,0.0
765,4.0
766,1.0
767,0.0
768,75.25
769,0.0
770,4.0
771,1.0
772,0.0
773,0.0
774,3.0
775,1.0
776,1.0
777,1.0
778,1.0
779,2.0
780,4.0
781,1.0
782,2.0
783,0.0
784,0.0
785,7.0
786,4.0
787,1.0
788,3.0
789,1.0
790,1.0
791,1.0
792,1.0
793,13.25
794,1.0
795,1.0
796,1.0
797,1.0
798,1.0
799,2.25
800,0.0
801,1.0
802,1.0
803,1.0
804,1.0
805,1.0
806,14.25
807,0.0
808,3.0
809,2.0
810,1.0
811,1.0
812,0.0
813,3.0
814,1.0
815,0.0
816,1.0
817,1.0
818,1.0
819,0.0
820,0.0
821,3.0
822,0.0
823,0.0
824,0.0
825,27.5
826,2.0
827,1.0
828,1.0
829,1.0
830,0.0
831,0.0
832,3.0
833,19.25
834,0.0
835,1.0
836,0.0
837,1.0
838,0.0
839,4.0
840,1.0
841,1.0
842,8.25
843,2.0
844,0.0
845,2.0
846,0.0
847,3.0
848,0.0
849,7.0
850,2.0
851,1.0
852,1.0
853,2.0
854,2.0
855,1.0
856,0.0
857,15.75
858,0.0
859,1.0
860,4.0
861,2.0
862,0.0
863,1.0
864,0.0
865,62.25
866,1.0
867,5.5
868,1.0
869,1.0
870,1.0
871,3.0
872,1.0
873,1.0
874,2.0
875,8.0
876,1.0
877,1.0
878,3.0
879,0.0
880,0.0
881,2.0
882,1.0
883,1.0
884,7.0
885,1.0
886,1.0
887,1.0
888,3.0
889,1.0
890,6.0
891,8.25
892,1.0
893,0.0
894,1.0
895,1.0
896,3.0
897,7.0
898,0.0
899,0.0
900,2.0
901,6.25
902,1.0
903,1.0
904,1.0
905,0.0
906,8.0
907,10.25
908,0.0
909,1.0
910,12.75
911,1.0
912,1.0
913,0.0
914,1.0
915,2.0
916,0.0
917,1.0
918,1.0
919,1.0
920,8.5
921,12.5
922,1.0
923,71.25
924,1.0
925,1.0
926,2.0
927,1.0
928,0.0
929,1.0
930,2.0
931,2.0
932,0.0
933,0.0
934,0.0
935,21.0
936,1.0
937,6.0
938,1.0
939,0.0
940,2.25
941,1.0
942,0.0
943,0.0
944,1.0
945,2.0
946,2.0
947,1.0
948,1.0
949,3.0
950,1.0
951,0.0
952,0.0
953,1.0
954,2.0
955,0.0
956,1.0
957,0.0
958,3.0
959,0.0
960,1.0
961,1.0
962,6.25
963,7.0
964,0.0
965,0.0
966,0.0
967,0.0
968,2.0
969,2.0
970,1.0
971,0.0
972,1.0
973,1.0
974,1.0
975,1.0
976,1.0
977,2.0
978,0.0
979,0.0
980,1.0
981,2.25
982,1.0
983,0.0
984,1.0
985,2.0
986,0.0
987,0.0
988,0.0
989,0.0
990,1.0
991,0.0
992,8.0
993,1.0
994,0.0
995,5.25
996,0.0
997,1.0
998,2.0
999,0.0
1000,0.0
1001,3.25
1002,2.0
1003,1.0
1004,18.25
1005,1.0
1006,1.0
1007,2.0
1008,1.0
1009,0.0
1010,1.0
1011,1.0
1012,1.0
1013,0.0
1014,1.0
1015,1.25
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,1.0
1021,3.25
1022,20.5
1023,0.0
1024,1.25
1025,1.0
1026,1.0
1027,1.25
1028,0.0
1029,10.25
1030,1.0
1031,7.75
1032,4.0
1033,1.0
1034,1.0
1035,2.0
1036,0.0
1037,0.0
1038,6.0
1039,1.0
1040,0.0
1041,1.0
1042,0.0
1043,0.0
1044,5.0
1045,6.25
1046,1.0
1047,4.0
1048,0.0
1049,0.0
1050,2.0
1051,0.0
1052,1.0
1053,2.0
1054,1.0
1055,0.0
1056,1.0
1057,1.0
1058,0.0
1059,13.25
1060,1.0
1061,2.0
1062,0.0
1063,0.0
1064,1.0
1065,2.0
1066,1.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,3.0
1072,3.5
1073,1.0
1074,4.0
1075,0.0
1076,1.0
1077,4.25
1078,0.0
1079,2.0
1080,1.0
1081,1.0
1082,0.0
1083,12.0
1084,0.0
1085,7.0
1086,1.0
1087,0.0
1088,18.5
1089,0.0
1090,0.0
1091,1.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,1.0
1097,1.0
1098,3.0
1099,2.0
1100,1.0
1101,1.0
1102,6.0
1103,1.0
1104,5.25
1105,5.0
1106,1.0
1107,2.0
1108,3.5
1109,9.0
1110,4.0
1111,0.0
1112,0.0
1113,1.0
1114,1.0
1115,2.0
1116,2.0
1117,1.0
1118,0.0
1119,5.0
1120,0.0
1121,0.0
1122,1.0
1123,0.0
1124,1.0
1125,1.0
1126,3.0
1127,13.0
1128,1.0
1129,1.0
1130,2.0
1131,1.0
1132,7.25
1133,1.0
1134,7.25
1135,2.0
1136,2.0
1137,2.0
1138,0.0
1139,1.0
1140,4.25
1141,1.0
1142,3.0
1143,1.0
1144,4.0
1145,4.0
1146,0.0
1147,3.75
1148,2.0
1149,0.0
1150,0.0
1151,4.5
1152,2.0
1153,4.0
1154,1.0
1155,2.0
1156,15.25
1157,0.0
1158,5.25
1159,0.0
1160,1.0
1161,2.0
1162,1.0
1163,1.0
1164,0.0
1165,1.0
1166,1.0
1167,1.0
1168,1.0
1169,1.5
1170,1.0
1171,7.75
1172,2.0
1173,0.0
1174,1.0
1175,0.0
1176,1.0
1177,3.0
1178,7.0
1179,1.0
1180,6.0
1181,0.0
1182,6.5
1183,2.5
1184,1.0
1185,1.0
1186,2.0
1187,2.0
1188,1.0
1189,1.0
1190,7.0
1191,0.0
1192,2.0
1193,0.0
1194,0.0
1195,1.0
1196,0.0
1197,1.0
1198,2.0
1199,1.0
1200,3.0
1201,2.0
1202,2.0
1203,1.0
1204,1.0
1205,0.0
1206,0.0
1207,2.0
1208,2.0
1209,2.0
1210,2.0
1211,1.0
1212,1.0
1213,1.0
1214,0.0
1215,0.0
1216,3.25
1217,3.0
1218,3.5
1219,0.0
1220,1.0
1221,1.0
1222,0.0
1223,1.0
1224,1.0
1225,2.0
1226,2.0
1227,0.0
1228,1.0
1229,1.0
1230,1.0
1231,1.0
1232,1.0
1233,2.0
1234,5.25
1235,0.0
1236,14.0
1237,1.0
1238,2.0
1239,3.0
1240,0.0
1241,1.0
1242,1.0
1243,0.0
1244,1.0
1245,0.0
1246,0.0
1247,3.0
1248,4.0
1249,1.0
1250,2.0
1251,6.0
1252,2.5
1253,1.0
1254,0.0
1255,2.0
1256,0.0
1257,0.0
1258,0.0
1259,34.5
1260,1.0
1261,0.0
1262,0.0
1263,1.0
1264,0.0
1265,5.25
1266,3.0
1267,0.0
1268,1.0
1269,4.0
1270,0.0
1271,9.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,1.0
1277,1.0
1278,2.0
1279,2.0
1280,1.0
1281,3.0
1282,0.0
1283,1.0
1284,2.0
1285,2.0
1286,0.0
1287,0.0
1288,2.0
1289,1.0
1290,20.5
1291,4.0
1292,1.0
1293,1.0
1294,3.0
1295,0.0
1296,4.0
1297,2.0
1298,1.0
1299,1.0
1300,1.0
1301,8.25
1302,0.0
1303,1.0
1304,4.0
1305,32.25
1306,11.0
1307,3.0
1308,29.75
1309,4.0
1310,3.5
1311,4.0
1312,3.25
1313,0.0
1314,1.0
1315,0.0
1316,9.0
1317,1.0
1318,1.0
1319,0.0
1320,1.0
1321,9.0
1322,0.0
1323,1.0
1324,20.5
1325,1.0
1326,20.0
1327,48.5
1328,2.0
1329,7.25
1330,26.0
1331,16.25
1332,10.25
1333,3.0
1334,4.0
1335,3.0
1336,1.0
1337,2.0
1338,14.0
1339,14.0
1340,44.25
1341,34.0
1342,9.0
1343,11.0
1344,3.0
1345,23.0
1346,29.0
1347,3.0
1348,18.25
1349,2.0
1350,1.0
1351,9.0
1352,1.0
1353,24.0
1354,0.0
1355,12.5
1356,5.0
1357,21.75
1358,12.25
1359,7.0
1360,3.0
1361,6.0
1362,3.0
1363,1.0
1364,3.0
1365,4.0
1366,12.0
1367,47.0
1368,7.25
1369,2.0
1370,1.0
1371,6.0
1372,19.25
1373,0.0
1374,0.0
1375,0.0
1376,76.75
1377,0.0
1378,0.0
1379,6.0
1380,0.0
1381,0.0
1382,2.0
1383,1.0
1384,21.75
1385,0.0
1386,15.0
1387,3.0
1388,9.5
1389,3.0
1390,25.0
1391,1.0
1392,3.0
1393,3.0
1394,99.0
1395,89.25
1396,73.5
1397,57.25
1398,2.0
1399,62.0
1400,29.5
1401,3.0
1402,0.0
1403,3.0
1404,1.0
1405,1.0
1406,3.0
1407,9.0
1408,3.0
1409,13.0
1410,89.0
1411,12.0
1412,79.75
1413,18.25
1414,1.0
1415,0.0
1416,21.5
1417,13.0
1418,10.0
1419,3.0
1420,23.5
1421,19.25
1422,0.0
1423,26.75
1424,5.666666666666667
1425,24.5
1426,2.0
1427,10.0
1428,23.0
1429,1.0
1430,1.0
1431,9.0
1432,5.0
1433,1.0
1434,2.0
1435,2.0
1436,10.0
1437,2.0
1438,1.0
1439,7.25
1440,6.25
1441,4.0
1442,1.0
1443,5.0
1444,26.5
1445,2.25
1446,6.0
1447,2.25
1448,1.0
1449,21.25
1450,21.25
1451,5.0
1452,1.0
1453,0.0
1454,5.0
1455,3.0
1456,2.0
1457,31.25
1458,3.0
1459,15.5
1460,4.0
1461,19.5
1462,3.0
1463,23.25
1464,35.0
1465,4.0
1466,6.0
1467,8.25
1468,0.0
1469,5.0
1470,4.0
1471,6.25
1472,57.25
1473,9.0
1474,19.25
1475,20.0
1476,14.0
1477,16.0
1478,1.0
1479,0.0
1480,76.0
1481,1.0
1482,1.0
1483,9.25
1484,2.0
1485,4.0
1486,7.0
1487,0.0
1488,4.0
1489,3.0
1490,9.0
1491,2.0
1492,21.5
1493,1.0
1494,0.0
1495,31.5
1496,0.0
1497,3.25
1498,2.0
1499,49.5
1500,1.0
1501,4.0
1502,5.0
1503,4.5
1504,5.0
1505,1.0
1506,2.0
1507,14.75
1508,4.0
1509,9.0
1510,22.5
1511,1.0
1512,19.0
1513,11.0
1514,6.0
1515,1.0
1516,8.0
1517,2.0
1518,2.0
1519,2.25
1520,1.0
1521,2.0
1522,1.0
1523,1.0
1524,1.0
1525,52.25
1526,6.0
1527,0.0
1528,1.0
1529,5.0
1530,19.0
1531,1.0
1532,76.0
1533,46.25
1534,2.0
1535,2.0
1536,37.25
1537,1.0
1538,0.0
1539,1.0
1540,3.25
1541,2.0
1542,7.0
1543,27.5
1544,5.75
1545,1.0
1546,1.0
1547,0.0
1548,1.0
1549,89.75
1550,7.0
1551,1.0
1552,1.0
1553,14.25
1554,1.0
1555,1.0
1556,11.0
1557,23.5
1558,1.0
1559,10.0
1560,3.0
1561,1.0
1562,1.0
1563,10.0
1564,15.0
1565,3.0
1566,1.0
1567,2.0
1568,0.0
1569,4.0
1570,51.25
1571,35.0
1572,1.0
1573,2.0
1574,1.0
1575,44.25
1576,3.0
1577,1.0
1578,0.0
1579,17.75
1580,15.0
1581,0.0
1582,3.0
1583,1.0
1584,1.0
1585,3.0
1586,0.0
1587,32.0
1588,1.0
1589,23.25
1590,5.0
1591,1.0
1592,17.0
1593,23.25
1594,1.25
1595,48.0
1596,5.0
1597,1.0
1598,3.0
1599,2.0
1600,6.0
1601,4.0
1602,1.0
