p5n,w5n
1.457573876668778,2.485261302049886
0.0,0.0
0.0,0.0
0.0,0.0
-0.03299213196630872,2.276807236124024
0.0,1.343420225278272
0.0,0.43415404877413505
0.0,0.0
0.0,0.0
0.0,2.8011771751554297
0.0,0.45450597915838936
0.0,1.6123509894891277
0.0,0.9737820616472345
0.0,0.0
0.0,0.08781645351142288
0.0,0.47228110511579724
0.0,0.0
0.0,0.0
0.0,0.0
0.0,5.749352447279072
0.0,0.5
0.0,0.5836570554719417
0.0,1.0159403934391336
0.0,1.0980602229074619
0.0,0.5
0.0,0.0
0.1732043015513468,3.630554485486236
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.23830857786123544
0.0,2.6891543880814304
0.0,0.0
0.0,0.5
1.5481000198401422,3.952687554042085
3.547642828844441,12.481421508219025
0.0,0.4413904918880288
0.0,0.4413904918880288
0.0,0.0
0.2873184109854659,3.574918379184907
0.0,0.0
0.0,0.5997197482045571
0.6365597440146546,2.029834473503031
0.0,0.16874685663797037
0.0,0.4197173078878911
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.36611872269897805
1.3105740692541703,1.6552870346270852
0.0,0.6910684427529723
0.0,0.0
1.5045059033241095,3.1136529609994694
2.0907862384063556,6.725650089170666
1.255097446387358,9.983176462341763
1.7331224401586227,5.753541838233839
-0.02077553204897999,0.9663756689683944
0.0,0.0
0.0,0.13233904835146545
0.0,0.0
1.0,1.7972230529252173
0.0,0.0
0.0,0.7065373928271079
0.0,0.0
0.0,0.0
0.6972674454728212,2.296660600527572
0.0,0.0
1.783463868734391,9.215793530199665
0.0,0.3333333333333333
0.0,0.41589654389029035
1.697374774456615,1.8820207205616408
0.9129300460658734,2.7819273718213853
0.0,0.49985865461001594
0.0,0.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.6803652701322166
0.0,2.92921814335149
0.0,0.0
0.0,0.0
6.682436212285762,17.33827829949312
0.9866666666666667,3.5120405412002498
0.0,0.0
3.1001399015923687,7.336880104075483
0.0,0.2903583606405558
0.0,0.4988545624859267
0.0,0.9619219387575615
0.0,2.1003474514422895
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.7034809854824623
0.0,0.0
0.0,0.4578241751255292
0.0,0.29536773243861764
0.0,0.718109028094051
0.0,0.38097473857807734
0.0,0.5
0.0,0.8529595562738471
0.0,0.0
0.0,0.4778845162630926
0.0,0.4384298165904045
0.0,0.4384298165904045
0.0,0.0
0.0,0.4575496454021038
0.8044181888021443,1.8044181888021442
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1.1909698513020657
0.0,0.0
0.0,0.0
0.0,0.46319647964206956
0.0,0.9263929592841391
0.0,0.8674710863815402
0.0,0.7590633028499516
0.0,0.0
0.0,0.0
0.0,0.4131843486801211
0.0,0.3626058514284638
0.0,0.0
0.0,0.0
1.1358345793878262,2.847779439183768
0.0,0.0
0.0,1.3788955542990493
0.0,0.88229731536703
2.382331291345346,2.6911656456726734
1.6996657013333518,2.7440097236758616
2.1387305998920096,2.9704596016790936
0.0,0.4407207602102723
0.0,0.0
0.0,0.33449051167045657
0.0,0.0
3.0784150767774365,28.638727823364768
1.3843681302256268,2.9546366744490475
0.0,0.0
0.0,0.0
0.0,1.5
0.0,0.5
1.0869717960463574,2.755241212837415
0.7774066806260468,2.303812637908107
0.0,0.0
0.0,0.2727977157007701
0.0,0.5
0.0,0.0
0.0,0.12339981130014577
0.0,1.5179256682487463
0.0,0.0
3.633019660089992,10.237478317655789
0.3,1.0467135176521802
0.0,0.0
0.0,0.0
0.802789808514279,3.0238702129479025
2.2338455233894603,7.662992041551034
0.0,0.8498542161940648
0.0,0.1912455694762625
0.9547094026203349,5.34992351060371
0.18770946706821726,5.202428113024535
0.6957916799308379,2.335379180670822
0.13333333333333333,0.9881639506503026
0.45632227688389265,2.021006470347256
1.5724582449727253,3.1076501758438413
0.0,0.966428121188209
1.4913291443409085,2.3817875934359636
0.0,0.3656824000909432
0.0,0.7440081879512392
0.0,0.0
0.5565951032522798,3.2070474678404643
0.22195781872003364,2.0826515237698584
0.0,0.0
1.5982082247421499,4.517268910068214
0.0,0.4550646837400187
0.0,0.0
0.0,0.934380358555526
5.610847772542242,9.934212957349066
3.1968222362158434,5.221659376564556
0.0,0.47662486395904224
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.5
2.45192437942249,3.195329894078136
0.0,0.0
2.5061253011327658,3.88432272031253
0.8793111510196047,1.8083613029424825
0.585474492382881,2.1349413154143453
0.0,0.0
0.3125260556635808,2.1080170371790174
0.0,0.0
0.0,0.0
0.0,0.6243038851053015
0.0,0.4492525145962297
0.0,0.0
0.0,0.34593344381862196
0.0,1.7507342425988583
0.8751761166342122,1.8866165240659796
1.6651699387744834,2.3018958689020574
0.0,0.0
0.0,0.421336589897335
0.697658736357547,2.5309829537239685
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.9346782081320975
0.0,0.0
0.0,0.0
0.9346782081320975,1.9326810674301207
0.0,0.0
3.4484870264220446,8.60285119384179
0.0,0.9307084296373332
0.5521688212339496,3.9889714282122406
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.7451734780277897,3.936358776200348
0.0,0.9783568554796526
0.0,0.0
0.0,0.17565510138552415
0.0,0.0
0.0,0.0
0.0,0.39020976357565607
0.0,0.397424615578962
0.0,0.5
0.0,0.0
1.6499185342353286,5.505474367850525
0.0,1.0
0.8242774543318221,4.451795250128297
0.0,0.3814830556787424
0.0,0.7629661113574848
0.0,0.4125330787548952
1.4313590303026635,3.771824384100441
1.1400715263429901,3.878522953507461
0.0,0.47371267177139026
0.0,0.0
1.6383910384170122,11.514976877616341
0.0,0.23020710824055368
0.0,0.0
0.0,0.3061848177068448
0.0,0.0
0.0,3.2074954368638884
