,SC
0,0.0
1,0.0
2,911800000.0
3,778025000.0
4,0.0
5,0.0
6,0.0
7,0.0
8,6735.95748
9,777600000.0
10,380500000.0
11,20924546.9
12,597362036.8
13,87180000.0
14,33700935.4
15,39643327.2792
16,353720000.0
17,211500000.0
18,788692.536
19,131140000.0
20,28078000000.0
21,3034400000.0
22,1708200000.0
23,603480000.0
24,283480000.0
25,17546000000.0
26,5061408.58
27,120507.405
28,1000400000.0
29,3238085.06
30,6206147.4399999995
31,465880000.0
32,333740000.0
33,183880000.0
34,300683.15566000005
35,711000000.0
36,1289800000.0
37,236950.70549999998
38,70480000.0
39,95960000.0
40,889200000.0
41,943600000.0
42,338.5615075
43,2252000000.0
44,2901600000.0
45,4994410.86
46,991600000.0
47,15644225.446
48,627560000.0
49,6387057.833333333
50,1912097.7
51,678.893499
52,5675087.012
53,129100000.0
54,16918077.36
55,2993895.784
56,6532.93795364
57,113020000.0
58,6772954.875
59,0.0
60,141960000.0
61,0.0
62,48925664.1
63,124479.2188
64,42335890.7
65,5492614.279999999
66,10789724.5
67,73280000.0
68,2043400000.0
69,2813000000.0
70,7588000000.0
71,171706327.03800002
72,3691800000.0
73,1154400000.0
74,8528000000.0
75,1317707.904
76,87420000.0
77,20049794.6
78,46111663.8
79,343560000.0
80,15518714.8
81,61097452.0
82,116560000.0
83,1081883.5133333334
84,39556347.7
85,27303238.8
86,12160403.375
87,106437.12699999998
88,4494266.836
89,101820000.0
90,162100000.0
91,290040000.0
92,50173874.676
93,880800000.0
94,239680000.0
95,0.0
96,9703.592448
97,35466000000.0
98,503200000.0
99,99580000.0
100,120528.48328
101,177580000.0
102,29453.844540000002
103,118300000.0
104,2467000000.0
105,295400000.0
106,623022.6
107,430172.23500000004
108,1783924.3
109,5298800000.0
110,334720000.0
111,444360000.0
112,333994.06999999995
113,847000000.0
114,35928000000.0
115,42395088.625
116,22217178.64
117,19556000000.0
118,8431352.2
119,39924539.8
120,188232.1952
121,183860000.0
122,153820000.0
123,1597200000.0
124,211500000.0
125,92358343.1
126,9068000000.0
127,12754130.4
128,479600000.0
129,0.0
130,0.0
131,2325642.964
132,4578400000.0
133,10124735.32
134,579220000.0
135,3014400000.0
136,815540000.0
137,217468795.60699996
138,38621562.8
139,50008155.0
140,0.0
141,10602000000.0
142,181980000.0
143,49230668.8
144,6969765.959999999
145,24821799.1
146,144620000.0
147,5400866.36
148,322260000.0
149,17026264.3
150,151972.20440000002
151,6866821.859999999
152,24524363.2
153,14373389.6
154,11814000000.0
155,347180000.0
156,13938294.919999998
157,296960000.0
158,1828248.28
159,68813.44047599999
160,0.0
161,43845097.9
162,6378800000.0
163,131612.8292
164,224560000.0
165,122620000.0
166,1197443.258
167,24611138.7
168,9532249.78
169,233660000.0
170,102860000.0
171,5630254.8100000005
172,589008.302
173,58173.1682
174,170740000000.0
175,1200.328564
176,0.0
177,194300000.0
178,7767419.38
179,1190600000.0
180,1206600000.0
181,3011600000.0
182,232200000.0
183,0.0
184,61843310.6
185,0.0
186,0.0
187,168480000.0
188,150960000.0
189,1375368.516
190,268100.5068
191,0.0
192,0.0
193,1552000000.0
194,1229640000.0
195,1.5415779333333333
196,0.0
197,0.0
198,176520000.0
199,266675.1682
200,33782000000.0
201,12490000000.0
202,37934000000.0
203,260320000000.0
204,863304.174
205,35508.4784
206,4963946.96
207,659600000.0
208,53920000.0
209,120480000.0
210,27789.11785
211,1.53970106
212,29243919.1
213,351175000.0
214,322760000.0
215,23350.582560000003
216,274440000.0
217,16504000000.0
218,77726092.47999999
219,0.0
220,8021623.2
221,980869.322
222,28395304.1
223,499000000.0
224,48760000.0
225,249355788.9
226,532160000.0
227,7197205.428
228,12495003.36
229,67020000.0
230,19584000000.0
231,1.5425868
232,27429063.7
233,29760234.2
234,275634.988424
235,1499000000.0
236,289520000.0
237,6083131.016000001
238,7021975.159999999
239,1589243.0476
240,67920000.0
241,45050000.0
242,44215890.7
243,28654595.188
244,3484000000.0
245,82414.8131
246,162180000000.0
247,339800000.0
248,66790514.4
249,42335890.7
250,357647.46400000004
251,0.0
252,334240000.0
253,507460000.0
254,418600000.0
255,659600000.0
256,694160000.0
257,137600000.0
258,2338400000.0
259,2104834.18
260,700120000.0
261,3518400000.0
262,0.0
263,1027304.1799999999
264,0.0
265,1429636.688
266,235637580.8
267,221280000.0
268,761240000.0
269,303343.5112
270,11974447.7
271,4536200000.0
272,119080000.0
273,81807758.35599999
274,809200000.0
275,7488000000.0
276,0.0
277,853600000.0
278,27679764.3
279,4599000000.0
280,25930000000.0
281,42796070.9
282,358560000.0
283,0.0
284,282520000.0
285,25832524.9
286,299520000.0
287,122835.6676
288,376380.846
289,50561799.1
290,0.0
291,232240000.0
292,54066666.666666664
293,47100000.0
294,51330628.88
295,6151130.88
296,6455586.58
297,608460000.0
298,6460800000.0
299,136758000000.0
300,32126454.2
301,156180000.0
302,6162400000.0
303,798168.8960000001
304,681080000.0
305,544600000.0
306,519832.6
307,1771800000.0
308,1591600000.0
309,1063000000.0
310,413240000.0
311,15524601.36
312,51454169.7
313,232680.828157
314,1126400000.0
315,526280000.0
316,28385371.0
317,59180000.0
318,7265046.720000001
319,0.0
320,228300000.0
321,1254600000.0
322,532500000.0
323,248260000.0
324,1290199.6379999998
325,1027304.1559999998
326,14868.477986000004
327,919800000.0
328,163980000000.0
329,50670916.6
330,78040000.0
331,75010.06659999999
332,79338054.8
333,97979022.3
334,462.39765529999994
335,0.0
336,1235000000.0
337,315600000.0
338,421680000.0
339,1044986.0
340,3599831.1
341,50900000.0
342,833280000.0
343,1362780000.0
344,52000000.0
345,23457.7189
346,61400000.0
347,3039557.124
348,20997002.240000002
349,127600000.0
350,266620000.0
351,0.0
352,15957278.440000001
353,11959960.78
354,12329910.379999999
355,464333.37
356,51246135.6
357,670000000.0
358,332.5485711
359,478800000.0
360,96120000000.0
361,11176632.959999999
362,29210000000.0
363,24178220.64
364,12854000000.0
365,15246771.0
366,3550451.4899999998
367,864200000.0
368,4175.83576834
369,1591800000.0
370,23360068.6
371,840600000.0
372,1783924.3
373,196980000.0
374,0.0
375,0.0
376,168125000.0
377,4494267.236
378,16812930.64
379,54970000000.0
380,279440000.0
381,1081883.5133333334
382,832138.014
383,1015680000.0
384,188.465841
385,4285600000.0
386,110620000.0
387,27.7812276
388,439280000.0
389,297200000.0
390,29687473.560000002
391,5246978.619999999
392,91600000.0
393,6281236.14
394,4092400000.0
395,9414570.620000001
396,77320000.0
397,319121.418
398,1.54114448
399,399120000.0
400,9406615.78
401,0.0
402,12713703.2
403,12124913.84
404,464333.37
405,179400000.0
406,42281.667519999995
407,3400000000.0
408,68435.73779999999
409,201180000.0
410,65936968.0
411,213740000.0
412,993000000.0
413,1055600000.0
414,25698780.3
415,9504457.52
416,2.16381068
417,25417912.04
