,BC
0,0.0
1,0.0
2,116.27720260000001
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,5087.897440000001
10,135.6162
11,171.841496
12,2917.926674
13,7650.34556
14,4990.584280000001
15,1647.5049300000003
16,15796.750199999999
17,13396.1977
18,336.62327799999997
19,1404.54221
20,12231.626999999999
21,11541.071999999998
22,4117.416
23,17156.0606
24,5930.88836
25,19405.130400000002
26,4458.15432
27,0.0
28,2293.1369999999997
29,0.0
30,948.4771719999999
31,1605.92848
32,2246.7602
33,3218.7705
34,218.989798
35,1181.0500399999999
36,30300.036399999994
37,12134.76
38,618.964758
39,5684.04552
40,12086.664999999999
41,4953.8850600000005
42,0.0
43,6590.30696
44,61740.2112
45,1127.3302800000001
46,13997.9652
47,724.0711880000001
48,30522.3952
49,0.0
50,0.0
51,0.0
52,12115.0242
53,1072.06466
54,4745.6736
55,29.2209514
56,7456.0
57,9630.6846
58,0.0
59,0.0
60,803.984152
61,0.0
62,4775.106
63,0.0
64,0.0
65,1577.69444
66,0.0
67,13048.53142
68,12284.1948
69,34078.9188
70,24113.173600000002
71,3836.5966200000003
72,72716.6464
73,14317.3668
74,4633.40224
75,818.2748799999999
76,90623.456
77,12854.798
78,3938.1498399999996
79,15111.3736
80,479.146482
81,14911.425
82,4799.9077
83,0.0
84,1627.25826
85,13392.2274
86,0.0
87,0.0
88,0.0
89,383.929528
90,3800.2958599999997
91,11749.786199999999
92,606.448134
93,21876.4996
94,1070.93586
95,0.0
96,0.0
97,414785.458
98,5102.867360000001
99,4623.26356
100,0.0
101,0.0
102,194.61978800000003
103,15.621268
104,45925.4804
105,2155.06244
106,7073.628599999999
107,0.0
108,0.0
109,11861.4454
110,1719.9420999999998
111,23644.583599999998
112,78.29858920000001
113,4334.17754
114,243259.148
115,0.0
116,0.0
117,58746.913
118,0.0
119,12497.5456
120,82.60518499999999
121,183.61049799999998
122,5308.354420000001
123,1198.7622500000002
124,3288.6930399999997
125,41604.470400000006
126,5191.075360000001
127,865.3613679999999
128,2740.9336
129,0.0
130,0.0
131,122.15720200000001
132,15099.2084
133,370.53016399999996
134,4878.66866
135,35295.3028
136,77369.2882
137,2871.4384422000003
138,1571.6621400000001
139,672.818516
140,0.0
141,24755.065599999998
142,455.941561
143,578.097984
144,4270.234420000001
145,0.0
146,552.0040874
147,0.0
148,3947.5637799999995
149,258.811326
150,2664.8391600000004
151,588.107428
152,9043.737468
153,98.55226
154,20229.662
155,1828.49962
156,2167.4712200000004
157,2640.48052
158,2135.103
159,292.56405
160,0.0
161,7.006449480000001
162,132692.042
163,303.68038799999994
164,9846.760100000001
165,22701.7492
166,0.0
167,0.0
168,545.2214280000001
169,3948.81276
170,5325.64352
171,701.841272
172,0.0
173,0.0
174,198793.91
175,0.0
176,0.0
177,9602.480800000001
178,1848.6888
179,25112.508
180,4536.628479999999
181,61216.088
182,5795.288799999999
183,0.0
184,0.0
185,0.0
186,0.0
187,475.65046600000005
188,7773.631880000001
189,0.0
190,0.0
191,0.0
192,0.0
193,15008.807
194,12825.037326000001
195,0.0
196,0.0
197,0.0
198,11885.223680000001
199,0.0
200,176706.206
201,17906.1322
202,66489.805
203,282589.226
204,594.637942
205,242.863256
206,4506.2732
207,2628.264
208,1188.09243
209,20965.569600000006
210,0.0
211,0.0
212,9760.9458
213,303.0803025
214,19452.4904
215,69.74418
216,4468.347019999999
217,7761.683620000001
218,119.05972799999999
219,0.0
220,964.204746
221,7575.6391159999985
222,17847.473
223,1184.00406
224,557.05115
225,8651.46476
226,667.3065079999999
227,0.0
228,0.0
229,13397.380799999999
230,141678.07399999996
231,0.0
232,7402.4883
233,5960.75166
234,1835.6
235,13975.492799999998
236,5654.439759999999
237,26423.3374
238,0.0
239,332.263454
240,2891.2916800000003
241,236.40055
242,1104.35894
243,2502.58026
244,87117.09760000001
245,0.0
246,203963.3288
247,2502.58808
248,6574.466380000001
249,0.0
250,9452.4426
251,0.0
252,10719.61248
253,53.904845
254,7385.352800000001
255,1153.35032
256,1135.9519460000001
257,16543.7616
258,4753.746222
259,538.933712
260,10049.60308
261,26436.494400000003
262,0.0
263,0.0
264,0.0
265,4178.460344000001
266,7581.86712
267,788.984582
268,2167.37232
269,0.0
270,412.05877
271,5273.43642
272,0.0
273,19816.216
274,37595.095799999996
275,55454.594
276,0.0
277,213072.92199999996
278,19618.732
279,14400.9178
280,174020.251
281,0.0
282,34841.3124
283,0.0
284,12111.4152
285,0.0
286,13811.434
287,0.0
288,0.0
289,1739.69756
290,0.0
291,4104.6482000000005
292,0.0
293,32.481493
294,7817.733642000001
295,21730.988999999998
296,0.0
297,11943.7802
298,60667.565599999994
299,139534.01799999998
300,1169.4963400000001
301,323.273828
302,44102.044799999996
303,262.334886
304,3145.9339099999997
305,14114.247899999998
306,0.0
307,43480.4544
308,19089.7412
309,8782.6708
310,1895.3552
311,700.0614760000001
312,115.886516
313,1324.6532000000002
314,3252.13256
315,18049.779199999997
316,1916.8555399999998
317,2483.40772
318,804.72358
319,0.0
320,0.0
321,23109.2766
322,6508.303
323,4737.926659999999
324,0.0
325,0.0
326,52.8702034
327,203642.03
328,1403029.42
329,3713.86934
330,8659.319099999999
331,9409.379799999999
332,0.0
333,841.3959699999999
334,11213.804399999999
335,0.0
336,3323.4603199999997
337,4202.78102
338,27956.8968
339,0.0
340,1593.6654600000002
341,0.0
342,22333.182999999997
343,8306.78802
344,0.0
345,0.0
346,268.75627
347,1449.7405939999999
348,0.0
349,8222.7415
350,1572.53378
351,0.0
352,1862.37696
353,703.500312
354,2739.1267
355,0.0
356,1852.44401
357,49070.8694
358,0.0
359,10620.4164
360,208473.826
361,2024.3746800000001
362,131046.83599999998
363,2890.7022800000004
364,231553.21000000002
365,2664.98848
366,7442.5581999999995
367,2960.8924
368,0.0
369,16712.039800000002
370,12062.11426
371,59.2560908
372,0.0
373,4842.102
374,0.0
375,0.0
376,436.887625
377,0.0
378,0.0
379,118318.541
380,444.6707192
381,0.0
382,0.0
383,18716.629200000003
384,0.0
385,2876.5126
386,206.82506239999998
387,0.0
388,163.351866
389,1457.5555399999998
390,683.5919620000001
391,879.76314
392,14725.112599999999
393,1371.15714
394,44908.79059999999
395,803.965786
396,78.3355152
397,0.0
398,0.0
399,3812.91656
400,697.110942
401,0.0
402,764.331674
403,1918.3232200000002
404,0.0
405,29970.282199999998
406,0.0
407,35720.51119999999
408,0.0
409,10749.863499999998
410,1468.41114
411,87371.991
412,5628.755500000001
413,30967.564000000002
414,50188.0164
415,0.0
416,0.0
417,0.0
418,3796.2409
419,0.0
420,0.0
421,0.0
422,9998.5656
423,9291.6
424,0.0
425,146.08799400000004
426,0.0
427,16716.294799999996
428,0.0
429,16615.6222
430,0.0
431,71475.1374
432,9183.29528
433,0.0
434,0.0
435,17905.3026
