,DC
0,0.0
1,0.0
2,6.0
3,2.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.0
9,6.2
10,2.0
11,2.0
12,8.2
13,12.6
14,5.6
15,2.8
16,12.0
17,4.8
18,2.0
19,2.0
20,21.6
21,16.4
22,8.8
23,7.6
24,4.8
25,27.2
26,4.0
27,1.0
28,4.8
29,1.0
30,3.0
31,7.0
32,3.8
33,8.6
34,1.8
35,3.0
36,21.6
37,1.75
38,3.0
39,4.0
40,12.8
41,5.0
42,1.0
43,9.6
44,26.6
45,3.0
46,19.0
47,1.8
48,14.2
49,1.0
50,1.0
51,1.0
52,6.2
53,2.0
54,6.0
55,2.0
56,1.8
57,6.0
58,1.0
59,0.0
60,2.0
61,0.0
62,3.0
63,1.0
64,1.0
65,2.0
66,1.0
67,5.0
68,11.6
69,18.2
70,20.4
71,4.2
72,33.2
73,12.2
74,10.2
75,2.0
76,29.6
77,10.2
78,2.0
79,9.0
80,6.8
81,4.8
82,4.8
83,1.0
84,2.0
85,3.8
86,1.0
87,1.0
88,1.0
89,3.0
90,2.8
91,14.4
92,2.4
93,17.6
94,4.0
95,0.0
96,1.0
97,103.4
98,7.4
99,8.6
100,1.0
101,1.0
102,1.4
103,2.0
104,24.2
105,4.6
106,1.4
107,1.0
108,1.0
109,9.2
110,3.8
111,13.0
112,2.0
113,10.0
114,65.8
115,1.0
116,1.0
117,23.8
118,1.0
119,7.6
120,2.0
121,2.0
122,9.8
123,8.0
124,6.0
125,19.4
126,15.2
127,6.2
128,8.4
129,0.0
130,0.0
131,1.8
132,11.4
133,4.0
134,10.2
135,14.0
136,25.8
137,5.4
138,5.0
139,2.0
140,0.0
141,21.8
142,4.4
143,1.8
144,3.0
145,1.0
146,3.6
147,1.0
148,5.8
149,2.0
150,3.0
151,2.0
152,4.0
153,2.8
154,21.0
155,5.8
156,6.6
157,5.8
158,2.0
159,1.6
160,0.0
161,8.4
162,42.4
163,2.0
164,6.6
165,4.8
166,2.0
167,1.0
168,3.0
169,15.2
170,2.0
171,1.8
172,1.0
173,1.0
174,77.8
175,1.0
176,0.0
177,3.6
178,3.0
179,18.2
180,9.0
181,21.2
182,10.4
183,0.0
184,1.0
185,0.0
186,0.0
187,2.8
188,4.0
189,1.0
190,1.0
191,0.0
192,0.0
193,16.8
194,12.8
195,1.0
196,0.0
197,0.0
198,4.2
199,1.0
200,60.4
201,18.8
202,38.2
203,93.6
204,2.0
205,2.2
206,2.6
207,8.0
208,3.6
209,5.0
210,1.0
211,1.0
212,3.0
213,2.0
214,29.8
215,1.8
216,4.4
217,15.6
218,1.8
219,0.0
220,2.0
221,2.8
222,7.0
223,6.0
224,1.8
225,8.8
226,3.4
227,1.0
228,1.0
229,7.2
230,60.6
231,1.0
232,6.4
233,8.0
234,2.0
235,13.0
236,7.6
237,8.8
238,1.0
239,2.0
240,5.8
241,1.25
242,1.8
243,4.0
244,26.4
245,1.0
246,75.8
247,4.0
248,2.6
249,1.0
250,3.0
251,0.0
252,17.6
253,2.0
254,20.2
255,3.8
256,6.2
257,14.0
258,6.8
259,2.0
260,11.2
261,17.2
262,0.0
263,1.0
264,0.0
265,4.8
266,5.8
267,2.8
268,7.0
269,1.0
270,2.0
271,7.8
272,1.0
273,7.6
274,12.8
275,23.4
276,0.0
277,74.2
278,8.8
279,15.8
280,53.0
281,1.0
282,25.0
283,0.0
284,10.2
285,1.0
286,8.6
287,1.0
288,1.0
289,1.8
290,0.0
291,11.4
292,1.0
293,2.0
294,3.4
295,7.8
296,1.0
297,6.2
298,21.2
299,65.6
300,4.0
301,2.0
302,16.4
303,2.8
304,5.6
305,8.6
306,1.0
307,18.4
308,12.6
309,5.6
310,3.0
311,2.8
312,4.0
313,1.6
314,16.4
315,14.4
316,2.0
317,3.0
318,4.0
319,0.0
320,2.0
321,19.0
322,13.6
323,7.2
324,3.0
325,1.0
326,1.8
327,72.6
328,219.0
329,3.0
330,7.8
331,3.0
332,1.0
333,2.0
334,3.0
335,0.0
336,9.4
337,5.4
338,10.2
339,2.0
340,3.6
341,1.0
342,18.8
343,5.8
344,1.0
345,1.0
346,2.0
347,2.0
348,1.0
349,18.0
350,2.8
351,0.0
352,2.8
353,2.0
354,5.0
355,1.0
356,2.8
357,15.6
358,1.0
359,9.2
360,75.2
361,2.0
362,45.4
363,3.0
364,64.2
365,2.6
366,4.4
367,5.0
368,1.0
369,11.6
370,7.2
371,3.6
372,1.0
373,6.8
374,0.0
375,0.0
376,2.0
377,1.0
378,2.0
379,49.6
380,4.2
381,1.0
382,1.0
383,14.4
384,1.0
385,9.0
386,4.4
387,1.0
388,2.0
389,3.0
390,2.0
391,2.0
392,5.0
393,3.0
394,19.4
395,2.0
396,3.0
397,1.0
398,1.0
399,6.0
400,2.0
401,0.0
402,2.0
403,2.0
404,1.0
405,18.6
406,1.0
407,31.0
408,1.0
409,4.0
410,3.0
411,29.2
412,4.6
413,29.4
414,12.8
415,1.0
416,1.0
417,6.0
418,9.6
419,1.0
420,1.0
421,1.0
422,11.0
423,2.0
424,1.0
425,4.0
426,0.0
427,16.4
428,0.0
429,22.0
430,1.0
431,31.6
432,9.4
433,1.0
434,1.0
435,7.6
436,12.0
437,5.0
438,2.6
439,1.0
440,12.2
441,3.0
442,2.0
443,2.0
444,2.0
445,18.4
446,13.2
447,27.4
448,1.0
449,6.2
450,1.8
451,3.8
452,10.2
453,0.0
454,1.0
455,1.0
456,6.6
457,1.0
458,2.0
459,1.0
460,9.6
461,3.0
462,7.0
463,13.2
464,12.0
465,5.0
466,3.2
467,115.2
468,0.0
469,0.0
470,2.0
471,7.0
472,21.4
473,4.8
474,52.8
475,15.2
476,5.6
477,3.4
478,8.0
479,33.4
480,1.0
481,3.6
482,2.6
483,0.0
484,19.6
485,2.6
486,16.0
487,32.0
488,1.0
489,12.6
490,1.0
491,1.8
492,3.8
493,3.0
494,1.0
495,2.0
496,2.6
497,12.6
498,7.2
499,5.0
500,3.4
501,1.0
502,1.0
503,32.6
504,4.0
505,7.8
506,23.4
507,1.0
508,0.0
509,0.0
510,1.0
511,9.8
512,29.2
513,1.0
514,3.0
515,2.25
516,4.0
517,2.8
518,22.6
519,2.8
520,4.2
521,4.0
522,8.0
523,1.0
524,2.0
525,4.0
526,3.4
527,2.0
528,2.0
529,1.0
530,9.0
531,3.0
532,6.0
533,3.6
534,10.4
535,8.0
536,41.0
537,8.0
538,1.0
539,1.8
540,3.8
541,0.0
542,0.0
543,4.6
544,8.0
545,2.0
546,1.0
547,4.6
548,2.0
549,3.0
550,1.0
551,4.2
552,3.4
553,1.8
554,51.2
555,2.6
556,1.0
557,13.2
558,2.6
559,2.0
560,6.0
561,2.0
562,3.0
563,2.0
564,7.0
565,8.0
566,2.0
567,4.8
568,31.8
569,19.2
570,8.0
571,4.8
