ID,SC,DC,EC,IC,LAC,BC,NC
2935,0,0,0,0,0,0,0
2936,0,0,0,0,0,0,0
2937,0,0,0,0,0,0,0
2938,4162.2573,9,0.004318683,2.6007953,0,15017.79,0
2939,0,0,0,0,0,0,0
2940,3.6308281,2,5.84E-05,1.6189059,0,6522,0
2941,0,0,0,0,0,0,0
2942,152.4774,4,0.000839,2.0642233,0.5,1755.1671,0.6666667
2943,284234.3,6,0.04436645,2.3400774,2.3333333,186.42395,2.8
2944,75422.734,21,0.015604559,3.0303898,4,26306.059,5.8147426
2945,142.96356,4,0.000296,2.0642235,0.5,1140.2692,0.6666667
2946,2324.102,2,0.001930109,1.6189059,0,2570.0347,0
2947,2761.9358,1,0.004390243,1.275084,0,0,0
2948,2185.0916,2,0.001884006,1.6189059,0,2615.5667,0
2949,2.4336085,1,4.85E-05,1.275084,0,0,0
2950,67.73518,2,0.000471,1.6189059,0,566.9981,0
2951,0,0,0,0,0,0,0
2952,6.8114576,4,2.43E-05,2.0642235,1.5,2749.8606,2.6666667
2953,0,0,0,0,0,0,0
2954,453.49252,2,0.001167403,1.6189059,0,1839.9719,0
2955,0,0,0,0,0,0,0
2956,7.883211,1,0.000154,1.275084,0,0,0
2957,0,0,0,0,0,0,0
2958,0,0,0,0,0,0,0
2959,54.03564,3,0.000478,1.8712196,0,5186.914,0
2960,1.5426388,1,0,1.275084,0,0,0
2961,0,0,0,0,0,0,0
2962,28289.363,3,0.013878644,1.8712196,0,3796.1062,0
2963,5.692568,1,0.000109,1.275084,0,0,0
2964,0,0,0,0,0,0,0
2965,38.734924,4,0.000265,2.0642235,0,1494.665,0
2966,3.5275636,1,5.30E-05,1.275084,0,0,0
2967,2965.229,2,0.002652008,1.6189059,0,976.95416,0
2968,0,0,0,0,0,0,0
2969,55.83558,1,0.000363,1.275084,0,0,0
2970,10948.919,9,0.008094393,2.6007953,0.8888889,7456.1865,1.1916667
2971,951.5681,3,0.002154518,1.8712196,0,810.30054,0
2972,1551.1139,4,0.002771157,2.0642233,0,2199.866,0
2973,0,0,0,0,0,0,0
2974,161.01872,1,0.000835,1.275084,0,0,0
2975,732.2786,4,0.001460983,2.0642235,0.5,7568.2217,0.6666667
2976,0,0,0,0,0,0,0
2977,700.09595,2,0.001915339,1.6189059,0,283.88385,0
2978,2285.37,6,0.002680374,2.3400774,1,13549.096,1.2
2979,0,0,0,0,0,0,0
2980,0,0,0,0,0,0,0
2981,680.3639,1,0.001992725,1.275084,0,0,0
2982,0,0,0,0,0,0,0
2983,0,0,0,0,0,0,0
2984,0,0,0,0,0,0,0
2985,0,0,0,0,0,0,0
2986,2.4434752,1,5.78E-05,1.275084,0,0,0
2987,424.0136,2,0.001078044,1.6189059,0,5542.8906,0
2988,1.5890741,1,0,1.275084,0,0,0
2989,168.54153,2,0.000762,1.6189059,0,6522,0
2990,4522.0957,10,0.005363907,2.663722,1.4,6733.644,1.6468254
2991,71678.945,14,0.021569716,2.8474739,4.428571,21392.582,6.1043124
2992,0,0,0,0,0,0,0
2993,0,0,0,0,0,0,0
2994,248.1792,3,0.00105537,1.8712196,0,8161.0874,0
2995,16.672083,1,0.000266,1.275084,0,0,0
2996,0,0,0,0,0,0,0
2997,152155.42,10,0.032309487,2.6637223,3.4,5247.828,3.7777777
2998,18.517906,2,0.000184,1.6189058,0,172.40993,0
2999,0,0,0,0,0,0,0
3000,0,0,0,0,0,0,0
3001,2917.6907,2,0.003918399,1.6189058,0,4335.347,0
